year,premiers_ADJ airs_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,2.9091921760482364e-08
1803,3.510610468993036e-08
1804,5.19088700912107e-08
1805,2.842877755426798e-08
1806,7.492339904047185e-08
1807,5.693910232196231e-09
1808,9.064295980465431e-09
1809,1.3554183553310395e-08
1810,2.106114038724627e-08
1811,2.2563691359778204e-08
1812,5.3344164641089264e-09
1813,3.163315653864629e-08
1814,2.5173417128598885e-08
1815,2.697223555614414e-09
1816,3.0128852301913867e-08
1817,6.227493631882908e-09
1818,2.1458118837358597e-08
1819,1.5526575580793178e-08
1820,9.493184904840746e-09
1821,1.2819934447350079e-08
1822,1.2030739071633434e-08
1823,2.075364236020505e-08
1824,2.6105450245950124e-08
1825,1.1447076175841175e-08
1826,2.6423952803611428e-08
1827,1.2904182611350734e-08
1828,8.255071293206129e-09
1829,2.2290258527846163e-08
1830,2.0873670791843324e-08
1831,9.354723218280014e-09
1832,6.764984572527055e-09
1833,1.2741991461950875e-08
1834,8.401078055442213e-09
1835,1.8907719834260206e-08
1836,9.409050427677812e-09
1837,4.174734336004349e-09
1838,2.5248647617104325e-08
1839,1.2584655095793096e-08
1840,1.0191501864653674e-08
1841,1.2841097074556274e-08
1842,8.049918065466954e-09
1843,8.860366662588604e-09
1844,9.330554107123135e-09
1845,1.1160455892778032e-09
1846,1.1709002656346001e-09
1847,7.011190739092399e-09
1848,1.6090443422100975e-09
1849,2.011059585527164e-08
1850,3.394498016007219e-09
1851,6.449438760824933e-10
1852,1.2370036550635177e-08
1853,7.763511611358354e-09
1854,1.2469595134234623e-08
1855,1.4328730202350926e-08
1856,6.212626857404757e-09
1857,1.9526036343364694e-09
1858,8.808616946964776e-09
1859,1.7313389832906978e-08
1860,1.4646988510946812e-08
1861,8.017138064531082e-09
1862,1.2650361647104091e-08
1863,8.990317823531768e-09
1864,4.315255264231155e-09
1865,1.4120533631256649e-09
1866,1.9462451650298362e-09
1867,4.367530337390235e-09
1868,1.4819622196071691e-09
1869,2.441759683335931e-09
1870,2.8670243956696595e-09
1871,2.1242354542039266e-09
1872,1.2094679036067646e-08
1873,8.979006871356887e-09
1874,5.974609251779839e-09
1875,5.721527140956084e-10
1876,1.209202959984168e-09
1877,2.4739263970730008e-09
1878,2.4156354694326865e-09
1879,1.4051448005147904e-08
1880,7.701415505323439e-09
1881,6.972507571312292e-10
1882,1.2645231528551903e-08
1883,8.21514056781325e-09
1884,7.922036360241691e-09
1885,5.80107206715752e-09
1886,4.5174246565693466e-09
1887,0.0
1888,0.0
1889,2.5060546970934183e-09
1890,0.0
1891,7.0116419337296065e-09
1892,5.641661360300532e-09
1893,6.158416554491453e-10
1894,3.780923574225881e-09
1895,4.213029924926559e-09
1896,5.89702897624278e-10
1897,0.0
1898,0.0
1899,5.527578395003729e-09
1900,4.671947717582725e-09
1901,0.0
1902,3.928227076954727e-09
1903,3.7801539676252105e-09
1904,3.7622376325430196e-09
1905,3.096455536422127e-09
1906,1.0288369045596824e-09
1907,5.65712765521198e-09
1908,7.367083831866239e-09
1909,1.2102163715610459e-08
1910,6.412980813053082e-09
1911,2.128149656499545e-09
1912,3.125652625612929e-09
1913,7.954484182448596e-09
1914,2.0090231700464756e-09
1915,9.424609537234119e-09
1916,0.0
1917,1.0966424435210342e-09
1918,8.040463406189247e-09
1919,6.4454939163738345e-09
1920,7.572231730534895e-09
1921,6.815472630705699e-09
1922,2.951174193910333e-09
1923,2.1231896241147297e-09
1924,0.0
1925,2.1996355847875293e-09
1926,1.1146138456652466e-09
1927,5.574612327308159e-09
1928,5.713020723163709e-09
1929,5.570202965543558e-09
1930,8.402882833991043e-09
1931,1.4826963656844327e-08
1932,1.9727165678773417e-08
1933,1.1470662197865522e-09
1934,0.0
1935,0.0
1936,3.031178508194898e-08
1937,2.5182236296217297e-09
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,6.4263723231761105e-09
1945,1.3071024262956144e-08
1946,0.0
1947,1.1920870957027319e-09
