year,deux_DET allées_NOUN,deux_DET vallées_NOUN
1800,4.4018303668735825e-08,5.0306630416940834e-08
1801,2.143064325998978e-08,4.7623650800687756e-08
1802,4.4756802708434407e-08,7.161088433349505e-08
1803,6.241085515057421e-08,1.735801902214007e-07
1804,5.9324420931261557e-08,6.673997887673977e-08
1805,6.254331075261632e-08,1.5920115004064428e-07
1806,1.642551330505171e-07,8.645007198992971e-08
1807,6.832692278635477e-08,7.117387923472052e-08
1808,7.931259204951857e-08,9.970725756147658e-08
1809,6.325285539787728e-08,1.5135504272123512e-07
1810,8.424456154898508e-08,4.44624070894406e-08
1811,3.259199843341776e-08,2.4318643232490444e-07
1812,4.800974684471271e-08,9.335229123053068e-08
1813,1.0065095534805835e-07,5.463909147351842e-08
1814,4.720015622794449e-08,4.405347908686963e-08
1815,5.3944471556377493e-08,5.39444717784221e-08
1816,1.3905623319487859e-08,7.416332437060191e-08
1817,5.1376822796100896e-08,6.383181272440197e-08
1818,7.27191817873063e-08,7.27191817873063e-08
1819,2.5877625930981196e-08,1.0765091928988113e-07
1820,2.610625937649047e-08,9.018525393145183e-08
1821,3.35290586406245e-08,7.396115986324503e-08
1822,2.7069162911175226e-08,3.408709403629473e-08
1823,3.063632869615418e-08,1.0772128966607397e-07
1824,3.115811697540494e-08,6.400045560184253e-08
1825,4.0505037102178676e-08,9.862096561619182e-08
1826,1.7615968128659176e-08,7.222547537821811e-08
1827,2.7651819833884872e-08,1.4102427670081852e-07
1828,4.4027046897099353e-08,8.621963054622483e-08
1829,3.857929220529854e-08,5.3153691670360104e-08
1830,2.6092090266160994e-08,1.273294003567571e-07
1831,2.9623292263636358e-08,9.822460156350132e-08
1832,7.170883975504694e-08,8.117981709077071e-08
1833,7.297686066554121e-08,1.1004447308948784e-07
1834,5.320682450182801e-08,1.708219130591715e-07
1835,4.0084366048631637e-08,1.255472525940604e-07
1836,3.36037508930076e-08,7.997692241801246e-08
1837,2.713577429425129e-08,9.3931529221436e-08
1838,3.7241755457273484e-08,1.1677499145434922e-07
1839,4.6842882461817226e-08,9.718150462134645e-08
1840,4.0129036982250454e-08,1.445919348697089e-07
1841,4.6227948580224165e-08,7.447836569696165e-08
1842,3.5553803456878086e-08,1.0330728450469451e-07
1843,4.725528701676751e-08,5.729703866919067e-08
1844,5.1592475625028555e-08,9.714753801404186e-08
1845,6.194053003838462e-08,9.263178668561522e-08
1846,3.454155894644373e-08,8.78175194785058e-08
1847,4.368511064001268e-08,9.222412256093548e-08
1848,5.068489628001771e-08,7.160247683657417e-08
1849,4.5248841340495005e-08,8.630797609932017e-08
1850,1.5614691761811628e-08,7.875235752408116e-08
1851,3.740674614505224e-08,7.932809609201286e-08
1852,5.0131199635927715e-08,1.106792715255267e-07
1853,3.4040009921909586e-08,9.913406762152022e-08
1854,4.67609801990676e-08,1.1170678693162017e-07
1855,3.502578493908004e-08,8.17268315245201e-08
1856,3.6758044386075994e-08,9.836659842221707e-08
1857,2.9289054070957832e-08,8.152120001270191e-08
1858,2.8872688684344894e-08,1.2429937257252277e-07
1859,4.277425547094538e-08,6.416138198517274e-08
1860,2.3801356441310872e-08,1.1763362905981012e-07
1861,3.254015012998934e-08,9.384768184794723e-08
1862,2.3945327609631306e-08,1.0346188661358724e-07
1863,4.9446745364889466e-08,7.142307500984657e-08
1864,3.691940442251962e-08,8.390773587052536e-08
1865,5.977692474345986e-08,8.47231973466478e-08
1866,3.308616758346261e-08,9.147352209026849e-08
1867,5.726317553467197e-08,1.1646747388738277e-07
1868,5.977247496957716e-08,1.0373735204183276e-07
1869,3.467298570480892e-08,8.546158214439714e-08
1870,1.3188312220080434e-08,8.429051501224194e-08
1871,2.442870794538976e-08,9.559059499508749e-08
1872,3.023669659096839e-08,6.893966952858932e-08
1873,3.83104287737801e-08,9.57760706299382e-08
1874,2.449589792119511e-08,7.587753714233259e-08
1875,7.724061656944059e-08,1.1443054415138931e-07
1876,2.7207067265777596e-08,8.041199750508099e-08
1877,4.886004534299104e-08,1.2493327927742826e-07
1878,3.0799353234467475e-08,1.1655440945723683e-07
1879,3.360128841833898e-08,1.2096463963828796e-07
1880,4.556670951672004e-08,1.1808837463433974e-07
1881,3.067903264764027e-08,1.359638956976994e-07
1882,3.5939080156310865e-08,1.078172360280405e-07
1883,3.854796570834651e-08,8.088753622459421e-08
1884,4.159069000309046e-08,9.44042675143919e-08
1885,4.576401391176432e-08,1.218225120780403e-07
1886,2.968593371122097e-08,1.0906354130924001e-07
1887,5.3537181798901656e-08,8.87933735427282e-08
1888,2.9166828063864614e-08,6.974675881288306e-08
1889,5.575971628868359e-08,1.0525429816610199e-07
1890,4.1948072126984925e-08,9.110597520844976e-08
1891,2.1672348804457897e-08,9.433845349349212e-08
1892,3.635737133578232e-08,8.77591750381157e-08
1893,4.126139085958158e-08,7.698020715318776e-08
1894,3.528862002610822e-08,8.065969936410511e-08
1895,4.333402525702468e-08,7.643640320686984e-08
1896,3.4792470238187434e-08,1.2855523245924871e-07
1897,3.146425486821869e-08,1.252743393465039e-07
1898,2.998928083641772e-08,1.1146958822649822e-07
1899,4.2009594025671504e-08,1.0834053831842994e-07
1900,3.529916081657092e-08,1.152413777738559e-07
1901,4.3033289376381845e-08,7.768347121128727e-08
1902,2.7988617645746672e-08,8.34748279388009e-08
1903,5.130209235204575e-08,9.990407612292529e-08
1904,4.353446581006892e-08,1.2092906853666818e-07
1905,2.4255567776521048e-08,1.0063480326838459e-07
1906,2.2634412122357617e-08,1.2397484105974854e-07
1907,3.9599893808528464e-08,1.2445680752648514e-07
1908,5.991894758139438e-08,1.1836447644242298e-07
1909,6.161101406831904e-08,9.956779933872895e-08
1910,6.306097866115579e-08,1.1436482694193728e-07
1911,5.905615285684007e-08,1.2875305266391024e-07
1912,4.532196373752129e-08,8.178791333079971e-08
1913,4.295421507372055e-08,1.1719606929361248e-07
1914,5.960102011925983e-08,9.643310772133873e-08
1915,4.005459075528961e-08,1.4019107208440573e-07
1916,1.3184954461564757e-08,9.11959345817337e-08
1917,1.973956464951243e-08,1.217273117859463e-07
1918,1.8378202071289707e-08,1.2749877598139392e-07
1919,6.261336893409464e-08,1.1049418180419934e-07
1920,6.209229885811851e-08,6.739286195767136e-08
1921,4.770831041334134e-08,6.285380638182403e-08
1922,3.6889677090812256e-08,1.0919344539672693e-07
1923,5.6264524594951126e-08,1.0722107601779385e-07
1924,6.059063561991707e-08,1.1860294746313116e-07
1925,5.719052609265418e-08,8.578578691853522e-08
1926,7.133528345804052e-08,8.136681106662991e-08
1927,5.0171512278041064e-08,7.80445756909387e-08
1928,6.28432237359533e-08,7.769707699445405e-08
1929,6.461435608784427e-08,7.352668518478822e-08
