year,dernières_ADJ oies_NOUN,dernières_ADJ voies_NOUN
1800,0.0,4.087413785214267e-08
1801,0.0,2.3811825400343878e-08
1802,0.0,1.5664880947952042e-08
1803,0.0,2.3404069793286908e-08
1804,0.0,4.69651695311768e-08
1805,0.0,2.842877711017877e-09
1806,0.0,8.645007376628655e-09
1807,0.0,0.0
1808,0.0,6.798221985349073e-09
1809,0.0,2.259030518203531e-09
1810,0.0,5.3822915901946544e-08
1811,0.0,0.0
1812,0.0,8.00162425207418e-09
1813,0.0,2.0130190847567064e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,1.622322720606917e-08
1817,0.0,1.556873407970727e-09
1818,0.0,1.0729059418679299e-08
1819,0.0,1.035105001712111e-09
1820,0.0,8.306536791735653e-09
1821,0.0,2.2681422962023134e-08
1822,0.0,2.7069162911175226e-08
1823,0.0,3.063632902922109e-08
1824,0.0,2.105278085196005e-08
1825,0.0,7.044354433105582e-09
1826,0.0,7.927186018719112e-09
1827,0.0,2.3964910056406552e-08
1828,0.0,3.0268594741755805e-08
1829,0.0,1.628903412154159e-08
1830,0.0,1.0436835840010872e-09
1831,0.0,1.091384405071949e-08
1832,0.0,1.7588959622116818e-08
1833,0.0,3.01174338801502e-08
1834,0.0,2.42697808516823e-08
1835,0.0,3.1764969321557146e-08
1836,0.0,6.72075017860152e-09
1837,0.0,2.2961039292113128e-08
1838,0.0,2.019891809368346e-08
1839,0.0,1.8177836125232716e-08
1840,0.0,3.1848443882154243e-09
1841,0.0,7.0626033910059505e-09
1842,0.0,1.0733224087289273e-08
1843,0.0,2.008349753168659e-08
1844,0.0,2.5247381074677833e-08
1845,0.0,1.7298706467272496e-08
1846,0.0,1.5807152919933287e-08
1847,0.0,1.88762818709165e-08
1848,0.0,2.413566591030758e-08
1849,0.0,2.513824526317876e-08
1850,0.0,1.9009188889640427e-08
1851,0.0,1.0319102017319892e-08
1852,0.0,1.4323200403509873e-08
1853,0.0,1.6124216628554677e-08
1854,0.0,1.558699302961486e-08
1855,0.0,1.963566731433275e-08
1856,0.0,1.2425253714809514e-08
1857,0.0,1.5620829074691756e-08
1858,0.0,1.6149130033227266e-08
1859,0.0,4.073738679721828e-09
