year,autres_ADJ yeux_NOUN,autres_ADJ vieux_NOUN
1800,3.018398047061055e-07,2.829747991484055e-08
1801,5.738650088460417e-07,0.0
1802,2.2602185367759375e-07,8.951360541686881e-09
1803,3.8031615190448065e-07,1.1702035562777269e-08
1804,4.0291169511874614e-07,4.943701892301533e-09
1805,3.894742519605643e-07,0.0
1806,2.507052272449073e-07,0.0
1807,1.8505208743135881e-07,0.0
1808,2.4020383193601447e-07,0.0
1809,1.4457795316502597e-07,0.0
1810,3.8378078670575633e-07,0.0
1811,1.5293167621166504e-07,0.0
1812,1.2802598803318688e-07,0.0
1813,2.7894694198948855e-07,0.0
1814,1.321604372606089e-07,0.0
1815,2.454473531088297e-07,0.0
1816,2.201723674488676e-07,0.0
1817,5.184388669476903e-07,1.556873407970727e-09
1818,2.8491612624748086e-07,0.0
1819,3.5711121881831787e-07,0.0
1820,3.35821425778704e-07,1.1866481131050932e-09
1821,3.717780998613307e-07,0.0
1822,2.7770954602601705e-07,0.0
1823,2.480554428530013e-07,0.0
1824,3.4273929827577376e-07,8.421112696055388e-10
1825,2.6944655928673455e-07,0.0
1826,2.8714029554066656e-07,3.5231937367541377e-09
1827,2.0278000079088088e-07,9.217273055917019e-10
1828,1.990389364436851e-07,2.7516904310687096e-09
1829,2.7434163030193304e-07,1.714635211591542e-09
1830,1.847319879288989e-07,0.0
1831,1.980083226271745e-07,0.0
1832,2.9495333819795633e-07,0.0
1833,2.2703912350152677e-07,0.0
1834,1.8295681059044e-07,3.733812370398937e-09
1835,2.821031728217349e-07,1.5126175867408165e-09
1836,2.130477838591105e-07,2.016224964762614e-09
1837,1.746430626781148e-07,0.0
1838,2.0072674544735492e-07,5.049729523420865e-09
1839,1.3423633049569617e-07,6.9914751765765e-10
1840,1.3057861281140504e-07,6.369688665408546e-10
1841,1.6308193551139993e-07,1.2841097074556274e-09
1842,1.8179397898165917e-07,5.366612043644636e-09
1843,1.9374668625005143e-07,4.7255288571079745e-09
1844,1.5807056286121224e-07,1.6465684371524958e-09
1845,1.5401428754557855e-07,0.0
1846,1.5631518124337163e-07,3.5127007969038004e-09
1847,1.0301057074002529e-07,2.6966118227278457e-09
1848,1.3515972341338056e-07,1.6090443422100975e-09
1849,1.349085749779988e-07,3.3517659758786067e-09
1850,1.262753244191117e-07,4.073397619208663e-09
1851,9.158203084780325e-08,0.0
1852,1.9271215023763943e-07,1.3021090872200602e-09
1853,1.7736637403231725e-07,1.7915795513800958e-09
1854,2.1250266968309006e-07,2.0782658372020535e-09
