year,autres_ADJ allées_NOUN,autres_ADJ vallées_NOUN
1800,0.0,6.288328791015374e-08
1801,1.4287095950749062e-08,9.524730160137551e-08
1802,1.5664880947952042e-08,8.727576528144709e-08
1803,1.755305234496518e-08,1.5212646076179226e-07
1804,3.213406074564773e-08,4.69651695311768e-08
1805,5.685755422035754e-09,2.0184431548386783e-07
1806,3.458002950651462e-08,1.2679343619481642e-07
1807,0.0,5.4092147649953404e-08
1808,4.078933102391602e-08,9.064295625194063e-08
1809,9.713831161661801e-08,1.2424668227595248e-07
1810,4.212228077449254e-08,5.8503168531842675e-08
1811,0.0,2.1811567307850055e-07
1812,0.0,1.893717893608482e-07
1813,0.0,1.3803560250380542e-07
1814,1.5733386149463513e-08,4.090680150170556e-08
1815,2.4275012222574333e-08,1.2676950689183286e-07
1816,2.0858434979231788e-08,1.529618494089391e-07
1817,0.0,7.161617721074265e-08
1818,9.536941902865692e-09,9.060094652291184e-08
1819,1.449147024601416e-08,7.763287612760905e-08
1820,2.8479554714522237e-08,3.559944161679596e-08
1821,1.7750679148775816e-08,4.9307442462342976e-08
1822,9.023054303725075e-09,7.619468078701175e-08
1823,1.680056804787e-08,1.5515819029587874e-07
1824,6.736890156844311e-09,8.926379102547344e-08
1825,1.584979791857677e-08,5.6354835464844655e-08
1826,1.5854372037438225e-08,9.953022583886195e-08
1827,3.133872894522938e-08,6.175573180611238e-08
1828,1.834460228167245e-08,6.787502826455238e-08
1829,2.571952872898464e-09,7.287199754735241e-08
1830,2.1917355041978226e-08,1.753388350067553e-07
1831,4.053713453799901e-08,1.1225668572478753e-07
1832,2.841293600397421e-08,1.055337577327009e-07
1833,3.359252431778259e-08,1.9460496503143077e-07
1834,4.573920264761e-08,7.841006066655609e-08
1835,1.0588323107185715e-08,1.4521128832711838e-07
1836,9.409050427677812e-09,1.4113574620111535e-07
1837,4.174734336004349e-09,9.53231023004264e-08
1838,1.4517972601879592e-08,1.2876810573381192e-07
1839,2.0974425751774106e-08,1.7408773089755414e-07
1840,1.3376346252869098e-08,7.38883869644269e-08
1841,3.852329122366882e-09,2.2215098161026958e-07
1842,3.3541325272778977e-09,1.220904297660752e-07
1843,2.4809025944705354e-08,6.3794637128467e-08
1844,2.4698525891153622e-08,7.354672182380284e-08
1845,1.4508592549589139e-08,9.318980948025413e-08
1846,8.781752214304106e-09,9.191567262867295e-08
1847,1.6718992412734224e-08,1.866055328036964e-07
1848,1.206783295515379e-08,9.332457295840868e-08
1849,8.379414495607307e-09,7.625267528510449e-08
1850,6.788996032014438e-09,1.0115604176519355e-07
1851,7.094382858952031e-09,1.3156854583584732e-07
1852,2.148479971708639e-08,8.984552835045179e-08
1853,2.269334054005867e-08,6.389966955566706e-08
1854,8.832629738719788e-09,9.560022817822755e-08
1855,1.3798036491152743e-08,6.845948519185185e-08
1856,2.5885945831305435e-08,8.283502950234833e-08
1857,2.001418764052687e-08,7.322263684272912e-08
1858,2.5447114637699997e-08,1.0374593273354549e-07
1859,1.476730293603623e-08,8.351164315634207e-08
1860,4.57718396518203e-09,7.277722602339054e-08
1861,1.6034276129062164e-08,5.8006353498285534e-08
1862,1.2650361647104091e-08,8.855253241790706e-08
1863,9.489779628779615e-09,4.345320192555846e-08
1864,1.342523781033833e-08,7.14414483127257e-08
1865,1.9298061815220535e-08,5.9306238142653456e-08
1866,7.784980660119345e-09,4.6709885070939094e-08
1867,6.308654931785895e-09,7.133633062039735e-08
1868,1.432563490055827e-08,1.0027944541413092e-07
1869,2.24641887314192e-08,1.049956646070882e-07
1870,5.734048791339319e-09,7.912987598501786e-08
1871,6.37270636261178e-09,6.160282595146782e-08
1872,9.675742873582749e-09,5.442605299776915e-08
1873,2.3944017879529156e-09,6.405024438604912e-08
1874,1.7326366119618797e-08,5.317401985394099e-08
1875,1.830888685105947e-08,7.15190917044417e-08
1876,9.673623679873344e-09,6.046014533467314e-08
1877,2.3502300550148902e-08,8.102109205765373e-08
1878,1.0870359723469392e-08,1.020605964185961e-07
1879,1.4662380642960215e-08,9.102894438228759e-08
1880,1.5402831010646878e-08,7.187987560719478e-08
1881,2.7890029841159958e-08,7.94865897546515e-08
1882,7.320923423037584e-09,7.587139094766826e-08
1883,1.8326083761621703e-08,5.434631589196215e-08
1884,6.601696966868076e-09,4.8192386969958534e-08
1885,5.80107206715752e-09,7.734763057820615e-08
1886,8.38950331427668e-09,7.808691293575976e-08
1887,6.528924512139156e-09,9.597519184945114e-08
1888,6.974675947901687e-09,5.896771781976895e-08
1889,8.771191772893872e-09,6.390439466485986e-08
1890,1.7041404731799048e-08,7.406456603575862e-08
1891,5.099376032546843e-09,6.374219907456791e-08
1892,1.1283322720601063e-08,1.0593785759738239e-07
1893,1.3548516086814288e-08,8.80653558965605e-08
1894,1.0082462864602348e-08,7.813909008724806e-08
1895,2.467631965430428e-08,6.500103788553702e-08
1896,7.076434549446731e-09,7.902019166783347e-08
1897,9.905413378419325e-09,8.21566580322397e-08
1898,1.9804241802034994e-08,9.33628552246546e-08
1899,1.9346524382513053e-08,7.95971288880537e-08
1900,1.0901211489056095e-08,9.447716375898807e-08
1901,8.941982265753268e-09,9.724405836131211e-08
1902,5.892340837476695e-09,6.088751858257524e-08
1903,1.4040573148577096e-08,9.612391949076482e-08
1904,7.524475265086039e-09,7.631967768872983e-08
1905,4.64468330463319e-09,7.947569163890833e-08
1906,8.230695236477459e-09,7.356183573392627e-08
1907,2.3142794347563722e-08,5.708556294337086e-08
1908,1.817213934884876e-08,1.065771395580839e-07
1909,1.7603147384193107e-08,6.876229718955074e-08
1910,1.1222716089775986e-08,9.779795817621562e-08
1911,2.2345570727111408e-08,8.7786176550253e-08
1912,1.7712032729377825e-08,7.241095723031776e-08
1913,9.015082902408267e-09,6.94691660307889e-08
1914,1.4732836284281348e-08,8.839701592933125e-08
1915,9.424609537234119e-09,8.128725426104211e-08
1916,3.2962386153911893e-09,7.801097723358907e-08
1917,1.2063066989753679e-08,5.3735480065597585e-08
1918,1.722956355365568e-08,7.351280828515883e-08
1919,1.1049418269237776e-08,5.616787390749778e-08
1920,7.572231730534895e-09,7.042175553806374e-08
1921,5.300923255902035e-09,5.6038331308627676e-08
1922,1.3280283539529592e-08,7.451714512107799e-08
1923,4.246379248229459e-09,4.564857647437748e-08
1924,7.734974438733389e-09,6.574728672603669e-08
1925,1.0998178368026856e-08,7.808706214973427e-08
1926,1.671920735191179e-08,9.362756192565769e-08
1927,1.4493992672726108e-08,8.138933926815639e-08
1928,1.0283437212876834e-08,7.769708076921233e-08
1929,5.570202965543558e-09,5.681607362362229e-08
1930,1.3654684494213143e-08,5.671945757512731e-08
1931,9.124285327288817e-09,6.615106684648708e-08
1932,6.575722188983946e-09,3.06867029564728e-08
1933,1.1470662641954732e-08,9.176530113563786e-08
1934,7.188948103475923e-09,6.589868739581561e-08
1935,5.98414207075848e-09,5.38572777486479e-08
1936,9.699771652549316e-09,8.972288867425959e-08
1937,1.1332006444320086e-08,6.547381303789734e-08
1938,5.186085783037697e-09,5.575042294481136e-08
1939,3.058810094103137e-09,8.564668263488784e-08
1940,7.607348528892999e-09,8.875240187222744e-08
1941,5.9030051957620344e-09,1.2986611785947844e-07
1942,1.2136847082899749e-08,8.799214157306778e-08
1943,0.0,6.387117701400769e-08
1944,9.639558484764166e-09,8.032965581605822e-08
1945,0.0,5.8819608739213436e-08
1946,1.3921104269343232e-09,7.795818479650052e-08
1947,0.0,5.602809260984998e-08
1948,4.348755133776194e-09,6.08825709846883e-08
1949,6.8719057111366055e-09,7.460926176872107e-08
1950,9.571825110299415e-09,8.401935791546578e-08
1951,4.264560704569931e-09,9.275419188270462e-08
1952,5.272402070488624e-09,7.80315463355663e-08
1953,1.1851209791302608e-08,4.632745742583211e-08
1954,8.795282724349818e-09,1.1629317953065765e-07
1955,6.569925492527773e-09,5.349796339260138e-08
1956,5.232684952005684e-09,6.54085638984725e-08
1957,3.534015080575159e-09,7.33308127554011e-08
1958,1.4062814024384807e-08,7.196851470325782e-08
1959,9.300897829689347e-09,7.828255377262394e-08
1960,5.536666680683311e-09,6.090333215524879e-08
1961,3.47407969059077e-09,6.114379863531028e-08
1962,7.610347907416326e-09,6.4053757853344e-08
1963,7.1126584622049904e-09,9.117135135738863e-08
1964,8.517555549758526e-09,7.48328119470898e-08
1965,1.4774516721161035e-08,5.80036581543375e-08
1966,9.416426749453422e-09,7.20079718075084e-08
1967,6.902469706915326e-09,6.45873967641819e-08
1968,9.431973424511852e-09,5.88375463905777e-08
