year,les_DET oies_NOUN,les_DET voix_NOUN
1800,1.2576657759666432e-06,2.8328921541920238e-06
1801,1.1977348979286262e-06,3.883708690644028e-06
1802,1.163676898841004e-06,3.23591672213297e-06
1803,2.1687771649681054e-06,2.6134545159095524e-06
1804,1.3867083934471225e-06,3.6360927495593387e-06
1805,2.2146017630841897e-06,2.584175795572463e-06
1806,5.79215488016871e-07,4.636605748231659e-06
1807,5.523092792003581e-07,2.977914988377961e-06
1808,9.789439445739845e-07,2.642242303174669e-06
1809,1.5790623262290637e-06,2.5097829530196236e-06
1810,8.284048975681912e-07,2.5530782119531636e-06
1811,6.86939027438882e-07,2.4970483778474772e-06
1812,3.040617375660304e-07,2.688545787776775e-06
1813,4.486156939265129e-07,2.3494809937574246e-06
1814,4.6256154684343187e-07,3.7099322787170763e-06
1815,5.772058635500343e-07,2.5272984398583276e-06
1816,7.207747927395758e-07,3.434688885306514e-06
1817,6.896949305001954e-07,4.418406573281075e-06
1818,1.624856460047397e-06,3.5191315364002662e-06
1819,3.560761119292266e-07,4.252211244892834e-06
1820,6.028172503391716e-07,4.160388477281174e-06
1821,3.8361188581248484e-07,3.4456040038932656e-06
1822,7.128213184159904e-07,3.014702599557495e-06
1823,6.453394680860924e-07,2.991489331138908e-06
1824,4.7326652907742073e-07,3.477919513272809e-06
1825,8.04817498867294e-07,4.009998815446281e-06
1826,4.862007410011415e-07,3.3391068927635104e-06
1827,7.521294603796136e-07,3.061978096852158e-06
1828,6.741641236374107e-07,2.8296549929862636e-06
1829,5.332515518041703e-07,2.9946104094236148e-06
1830,5.604580937124126e-07,3.746824058126208e-06
1831,5.347783620379687e-07,3.5236125301985055e-06
1832,4.7354891563600177e-07,4.3539440097717375e-06
1833,5.444305370971847e-07,3.860823364121302e-06
1834,6.823541847111869e-07,4.2509452207184495e-06
1835,6.239547474251594e-07,3.7255772085131866e-06
1836,6.431757593183818e-07,3.6964124912053364e-06
1837,5.656765456052426e-07,3.738474880776721e-06
1838,5.655697066231369e-07,4.16476435027846e-06
1839,5.949745203182033e-07,4.0970045387389575e-06
1840,4.834593818614508e-07,3.5937782740802504e-06
