year,six_DET iles_NOUN,six_DET villes_NOUN
1800,3.144164484325529e-09,7.231578535993322e-08
1801,0.0,5.000483582762172e-08
1802,0.0,1.1412984690650774e-07
1803,0.0,5.460949736857401e-08
1804,9.887403784603066e-09,1.829169686828891e-07
1805,2.842877711017877e-09,1.4214388510680465e-07
1806,0.0,2.1612517908664586e-07
1807,2.8469551160981155e-09,1.1387820109121094e-07
1808,0.0,7.25143656232774e-08
1809,0.0,1.219876493152583e-07
1810,0.0,1.0998595456612748e-07
1811,2.5070767684098882e-09,8.524060746140094e-08
1812,0.0,5.3344166417446104e-08
1813,0.0,4.888760862797881e-08
1814,0.0,4.72001566720337e-08
1815,0.0,1.9689731800554e-07
1816,0.0,4.6352075955269356e-08
1817,0.0,6.85024303948012e-08
1818,0.0,1.2874872123980197e-07
1819,0.0,5.900098543065724e-08
1820,0.0,1.1510486697119404e-07
1821,0.0,7.987805217268829e-08
1822,1.0025615893027862e-09,1.4336630727029842e-07
1823,0.0,7.214361374963119e-08
1824,2.5263338088166165e-09,1.2294824447423025e-07
1825,0.0,6.163809995740621e-08
1826,5.284790383086602e-09,8.984144139745354e-08
1827,9.217273055917019e-10,3.96342727526644e-08
1828,9.172301251858528e-10,8.89713192009367e-08
1829,0.0,5.744028097609544e-08
1830,1.0436835840010872e-09,6.366470017837855e-08
1831,1.5591206103948707e-09,1.434390912713468e-07
1832,4.058990921151917e-09,1.285347051016572e-07
1833,5.791814139399776e-09,8.803557760561631e-08
1834,0.0,5.7874093295495754e-08
1835,7.563087933704082e-10,4.310960122211327e-08
1836,0.0,9.005805379214138e-08
1837,1.3915781860163179e-09,8.697363895748822e-08
1838,0.0,1.3255540309842218e-07
1839,0.0,9.298661940437825e-08
1840,6.369688665408546e-10,1.4777677659338906e-07
1841,1.2841097074556274e-09,5.457466212277495e-08
1842,6.708265054555795e-10,6.171603805782411e-08
1843,4.7255288571079745e-09,8.860366307317236e-08
1844,5.488561272137815e-10,9.604982076361068e-08
1845,0.0,7.477505459263512e-08
1846,5.854501328173001e-10,6.849766265304424e-08
1847,5.393223645455691e-10,5.2314271137277046e-08
1848,8.045221711050488e-10,9.252005295223853e-08
1849,8.379414939696517e-10,3.0165894004952065e-08
