year,nos_DET yeux_NOUN,nos_DET vieux_NOUN
1800,1.3702268873316825e-05,1.5720821977538435e-08
1801,1.178209149088616e-05,9.524730160137551e-08
1802,9.240042260216796e-06,2.6854081625060644e-08
1803,1.0352400678925733e-05,1.3652374120098898e-08
1804,1.034716825643045e-05,2.4718509905596875e-08
1805,1.0720491424365264e-05,3.980028751016107e-08
1806,1.086389291060641e-05,2.881669214360727e-08
1807,9.508830103754917e-06,1.1387820464392462e-08
1808,1.1658950370474486e-05,3.172503681980743e-08
1809,8.905097843125986e-06,2.0331274663831778e-08
1810,1.2830914585038045e-05,1.1700633351097167e-08
1811,8.218197663723004e-06,1.2535384286138651e-08
1812,8.932480156431666e-06,3.200649700829672e-08
1813,1.0576977913956398e-05,6.039057609541487e-08
1814,1.0604302318029113e-05,3.1466772298927026e-08
1815,1.0440952635804024e-05,1.6183340889597275e-08
1816,1.0628531470047164e-05,1.8540831092650478e-08
1817,1.1243739422184262e-05,4.514933016341871e-08
1818,1.1334655880546052e-05,4.172412215730503e-08
1819,1.095555158769912e-05,3.105315027340794e-08
1820,1.0494716008224714e-05,2.3732961373923445e-08
1821,1.274202922729728e-05,3.254291058851777e-08
1822,1.0748462756282606e-05,4.210758675071702e-08
1823,9.387563906670948e-06,3.854247898615881e-08
1824,1.1414818217758693e-05,2.6105449357771704e-08
1825,1.110894731937151e-05,4.931048058764986e-08
1826,1.049383278939331e-05,3.3470339944052796e-08
1827,9.785057443423284e-06,5.069500080834288e-08
1828,1.0599511199416156e-05,3.6689203342099574e-08
1829,1.0458417335712511e-05,6.772809157951087e-08
1830,1.1697605714289239e-05,7.72325876585711e-08
1831,1.0639438997372963e-05,4.2096254482260065e-08
1832,1.1097281159777594e-05,5.953186388296672e-08
1833,1.2620363676774105e-05,2.8959070919043484e-08
1834,1.164856138302639e-05,8.961149955410974e-08
1835,1.1613877489935476e-05,7.033671778344797e-08
1836,1.0860060143613737e-05,4.704525086163258e-08
1837,1.0456318179308255e-05,3.7572609690172953e-08
1838,1.00666353972656e-05,4.670999631528616e-08
