year,autres_ADJ oeufs_NOUN,autres_ADJ voeux_NOUN
1800,2.2009151834367913e-08,0.0
1801,4.0480102825313224e-08,9.524730337773235e-09
1802,3.5805442166747525e-08,1.5664880947952042e-08
1803,5.655983770225248e-08,7.801356893821776e-09
1804,9.887403784603066e-09,9.887403784603066e-09
1805,8.528632911009026e-09,8.528632911009026e-09
1806,8.645007376628655e-09,8.645007376628655e-09
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,2.259030518203531e-09,1.8072244145628247e-08
1810,0.0,0.0
1811,0.0,1.7549536934780008e-08
1812,0.0,2.1337665856435706e-08
1813,0.0,0.0
1814,0.0,1.5733386149463513e-08
1815,5.394447111228828e-09,5.394447111228828e-09
1816,0.0,4.6352077731626196e-09
1817,6.227493631882908e-09,4.670620334934483e-09
1818,3.5763532135746345e-09,5.960588467246453e-09
1819,1.7596784473994376e-08,1.3456364911235141e-08
1820,0.0,7.119888678630559e-09
1821,2.9584463767662328e-09,5.9168927535324656e-09
1822,2.0051231786055723e-09,1.0025615893027862e-08
1823,9.882686891060644e-10,2.9648061783404955e-09
1824,9.263223965660927e-09,5.052667617633233e-09
1825,3.522177216552791e-09,5.283265824829186e-09
1826,1.7615968683770689e-09,6.1655889282974385e-09
1827,9.217273055917019e-10,4.608636583469661e-09
1828,3.668920500743411e-09,3.668920500743411e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,0.0,6.262101504006523e-09
1831,0.0,3.1182412207897414e-09
1832,0.0,1.6235963684607668e-08
1833,3.4750886612755494e-09,1.1583628500844156e-09
1834,9.334530925997342e-10,1.8669061851994684e-09
1835,3.025235173481633e-09,3.025235173481633e-09
1836,2.688300027031687e-09,0.0
1837,6.262101948095733e-09,2.0177884252348122e-08
1838,4.418513555037862e-09,1.8936485712828244e-09
1839,3.4957374772659477e-09,6.9914751765765e-10
1840,0.0,3.1848443882154243e-09
1841,0.0,2.5682194149112547e-09
1842,0.0,5.366612043644636e-09
1843,5.906911071384968e-10,2.953455480181333e-09
1844,1.6465684371524958e-09,3.841992946007622e-09
1845,2.7901139176833567e-09,5.580227946389016e-10
1846,5.854501328173001e-10,4.6836010625384006e-09
1847,0.0,1.6179670936367074e-09
1848,5.63165514222419e-09,3.218088684420195e-09
1849,1.6758829879393033e-09,1.6758829879393033e-09
1850,3.394498016007219e-09,3.394498016007219e-09
1851,1.2898877521649865e-09,1.2898877521649865e-09
1852,1.9531636308300904e-09,3.2552727180501506e-09
1853,5.971931837933653e-10,2.388772735173461e-09
1854,1.558699391779328e-09,4.1565315633818045e-09
1855,0.0,2.7065379271107304e-08
1856,1.0354378465748937e-09,1.0354378465748937e-09
1857,9.763018171682347e-10,1.4644527812635033e-09
1858,0.0,3.4255731584664773e-09
1859,1.018434669930457e-09,1.018434669930457e-09
1860,4.577183909670879e-10,3.204028820036342e-09
1861,9.431927461278633e-10,4.715963619617014e-09
1862,4.517986262886353e-10,1.8071945051545413e-09
1863,4.994620828036034e-10,1.9978483312144135e-09
1864,9.589455896019672e-10,3.3563094525845827e-09
1865,4.706844358715045e-10,3.294791106611683e-09
1866,2.432806400776144e-09,2.919367858567057e-09
1867,0.0,9.7056229719783e-10
1868,4.93987406535723e-10,0.0
1869,4.883519144627257e-10,1.953407657850903e-09
1870,5.734048791339319e-10,5.734048791339319e-10
1871,0.0,1.0621177271019633e-09
1872,1.2094678591978436e-09,1.2094678591978436e-09
1873,0.0,0.0
1874,5.974609140757536e-10,2.9873046258899194e-09
1875,2.8607636259891933e-09,1.716458086775674e-09
1876,3.627608879952504e-09,4.232210137899983e-09
1877,1.8554447978047506e-09,2.4739263970730008e-09
1878,1.8117265465633636e-09,2.4156354694326865e-09
1879,3.0546627449723474e-09,5.498392852132383e-09
1880,6.417846254436199e-10,6.417846254436199e-10
1881,4.183504653809678e-09,6.972507571312292e-10
1882,1.3310770263785798e-09,6.655385131892899e-10
1883,2.5277355764075082e-09,0.0
1884,1.9805090900604227e-09,1.9805090900604227e-09
1885,0.0,3.2228177904158883e-09
1886,6.453463874400711e-10,6.453463874400711e-10
1887,1.3057849246322917e-09,9.793386546164129e-09
1888,1.9021844099853524e-09,1.9021844099853524e-09
1889,0.0,1.2530273485467092e-09
1890,1.9663159989136147e-09,7.865263995654459e-09
1891,3.824531802365527e-09,3.1871101313640793e-09
1892,0.0,1.2537024751679837e-09
1893,1.4164357686752282e-08,4.310891643655168e-09
1894,6.301539290376468e-10,0.0
1895,1.2037228991346183e-09,0.0
1896,2.358811590497112e-09,1.1794058174530164e-08
1897,0.0,2.330685422435863e-09
1898,5.6583546736987955e-09,1.13167097914868e-09
1899,0.0,1.6582735185011188e-09
1900,5.191053142894475e-10,2.07642125715779e-09
1901,2.235495566438317e-09,3.353243460679778e-09
1902,2.455141867585553e-09,9.820567692386817e-10
1903,2.1600881083827517e-09,5.400220270956879e-10
1904,5.374625189347171e-10,3.7622376325430196e-09
1905,6.192911072844254e-09,2.0643036169332163e-09
1906,5.144184522798412e-10,3.0865106026567446e-09
1907,3.599990305858114e-09,2.5714217422034835e-09
1908,1.4734167219643268e-09,1.4734167219643268e-09
1909,4.400786846048277e-09,2.2003934230241384e-09
1910,3.740905363258662e-09,2.137660271017694e-09
1911,7.448523575703803e-09,5.320374141248863e-10
1912,5.209421227725386e-10,5.730363294986773e-09
1913,5.30298971401777e-10,2.6514948014977335e-09
1914,2.0090231700464756e-09,3.3483718020477227e-09
1915,0.0,1.1780761921542648e-09
1916,0.0,2.197492410260793e-09
1917,2.1932848870420685e-09,2.1932848870420685e-09
1918,0.0,2.2972752589112133e-09
1919,0.0,4.603924352863942e-09
