year,des_DET oies_NOUN,des_DET voies_NOUN
1800,3.772997354545282e-07,2.474457398093932e-06
1801,4.643306181772999e-07,3.283650876539923e-06
1802,4.1400042505301826e-07,3.316479109116699e-06
1803,4.5442904728076883e-07,3.0951883593921536e-06
1804,3.3617172467970136e-07,2.6967893393958775e-06
1805,4.0368864784312564e-07,2.567118624119402e-06
1806,1.9595349609602408e-07,3.2591678689186665e-06
1807,2.9893028363758845e-07,3.5387650996199227e-06
1808,2.809931678449118e-07,2.982153363362272e-06
1809,5.195770000909761e-07,3.2778533238797536e-06
1810,3.9314129374190543e-07,5.057013785503273e-06
1811,3.183987451471637e-07,3.6954310473902297e-06
1812,1.520308643421231e-07,2.9285946663293316e-06
1813,2.0705340375570813e-07,2.714700016781535e-06
1814,3.27254436438551e-07,2.970463150120395e-06
1815,2.751168040049379e-07,3.271732118559356e-06
1816,2.2248996955909206e-07,4.231944750188177e-06
1817,1.9149542329621738e-07,3.767633558027228e-06
1818,3.31408723130977e-07,3.4130331965087635e-06
1819,2.1944226169523517e-07,3.880608499429172e-06
1820,2.385162769513727e-07,3.50179853114696e-06
1821,2.790801291174816e-07,4.376528409011371e-06
1822,2.1254305693219067e-07,4.073407893656622e-06
1823,2.15442573114899e-07,3.86116572670403e-06
1824,1.5158002586446173e-07,3.879606762069443e-06
1825,2.4391076713925486e-07,3.3513516939365218e-06
1826,2.3164998708136153e-07,3.826188367028749e-06
1827,2.2582319425534791e-07,4.165285641732908e-06
1828,2.1830077412410276e-07,3.838608018114087e-06
1829,2.3490502504275312e-07,3.6667473750640056e-06
1830,2.536151120224872e-07,4.189346039851216e-06
1831,3.3053355763534853e-07,4.314086936574313e-06
1832,2.1783250325757564e-07,4.5880126862130055e-06
1833,3.475088590221276e-07,4.670518869431817e-06
1834,2.623003139134994e-07,3.941038968946486e-06
1835,2.6243915129953166e-07,4.54692831652892e-06
1836,2.473235943822871e-07,3.977340078620273e-06
1837,2.9710193816256947e-07,4.453745990673497e-06
1838,2.1650715620324945e-07,4.1085859585621165e-06
1839,2.481973737644694e-07,4.45776468893655e-06
1840,1.9427551034567614e-07,4.491267567630075e-06
1841,2.2471919214339664e-07,4.832746718363978e-06
1842,2.508891068231378e-07,5.282087897739984e-06
1843,1.8665839540688012e-07,4.6327902332166104e-06
1844,2.3820356265247256e-07,5.10052007740569e-06
1845,2.985421990731041e-07,5.504895028707324e-06
1846,1.8266044810033577e-07,5.040140045764474e-06
1847,2.3244794267185398e-07,4.6489587219866735e-06
1848,2.260707319123867e-07,4.935743582734631e-06
1849,1.9188860278518405e-07,4.632140459648326e-06
1850,1.8058729089887038e-07,4.525544738953613e-06
1851,2.4636856132964624e-07,4.552013670888755e-06
1852,1.5950836518285882e-07,4.692150127993955e-06
1853,2.573902571079145e-07,4.815168615834864e-06
1854,1.8860262152031737e-07,5.0829183422251845e-06
1855,2.2819829226250476e-07,4.433415099924787e-06
1856,1.8948512314764798e-07,4.869146422947779e-06
1857,1.6694761151292425e-07,4.4182539511439245e-06
1858,1.942789422115787e-07,4.417521225263954e-06
1859,2.2762014584287726e-07,4.567679575018246e-06
1860,2.1970482655397916e-07,4.538735691284046e-06
1861,2.5371885348235423e-07,4.759350403560347e-06
1862,2.4442305335270476e-07,4.536961760948088e-06
1863,2.3075147836948418e-07,4.649492662878174e-06
1864,2.1672170014142011e-07,5.042135839516959e-06
1865,2.1557346707723468e-07,4.954895231890077e-06
1866,1.761351877682671e-07,4.680719449368098e-06
1867,2.4167001555497336e-07,4.899398675206612e-06
1868,2.4402978426874e-07,4.796123647565764e-06
1869,2.1389813420480408e-07,4.403469148428485e-06
1870,2.2534811972008129e-07,4.525311091185813e-06
1871,2.2729319937297987e-07,3.9563885607663e-06
1872,2.2737995664101618e-07,4.496196552850051e-06
1873,2.789478137366075e-07,4.561934183300309e-06
1874,2.168783148626119e-07,4.563406641011625e-06
1875,2.2428386659001376e-07,4.146962972129131e-06
1876,2.4788660191177314e-07,4.342247926558684e-06
1877,2.5172201389978e-07,4.289788162026298e-06
1878,2.451869884900759e-07,4.261181125286839e-06
1879,2.107717258503783e-07,4.249035939096757e-06
1880,2.2205747929326947e-07,4.482865406885139e-06
1881,2.175422397776572e-07,4.196752342977561e-06
1882,2.549012436681153e-07,4.345300851582579e-06
1883,2.6414836507004935e-07,4.127792180952383e-06
1884,2.983967073433291e-07,4.159069071363319e-06
1885,1.946581920653223e-07,4.181283969728611e-06
1886,2.110282685263698e-07,4.2554142467565725e-06
1887,2.5136359083077764e-07,4.033569446448837e-06
1888,2.390411708574902e-07,4.092232863683876e-06
1889,2.1802676442028712e-07,4.126845595919804e-06
1890,2.3005895988248426e-07,4.690974279242255e-06
1891,2.2692223011766544e-07,4.491913088600086e-06
1892,2.0811460554881478e-07,4.500791838779605e-06
1893,2.1492873392148226e-07,4.6699270868089116e-06
1894,2.0290956026514095e-07,4.54908129654541e-06
1895,1.7273423869035298e-07,4.497710513362563e-06
1896,1.8929463729833174e-07,4.331367726706503e-06
1897,2.1442305975227782e-07,4.543671344947597e-06
1898,1.8559404235674037e-07,4.688512987627291e-06
1899,2.2884174910586808e-07,4.5210064101297576e-06
1900,2.2944454647344514e-07,4.873360829549256e-06
1901,1.5201369540918108e-07,4.862202970912222e-06
1902,1.5663804786569813e-07,4.567546255884736e-06
1903,1.8900771436847208e-07,4.8709986515405035e-06
1904,1.795124813241955e-07,4.810826865764284e-06
1905,2.1417150541935825e-07,4.884142192906893e-06
1906,2.1142598782830646e-07,4.903951278834029e-06
