year,aucuns_ADJ vivres_NOUN
1800,1.5720821977538435e-08
1801,2.3811825844433088e-09
1802,1.5664880947952042e-08
1803,1.3652374342143503e-08
1804,2.4718509905596875e-08
1805,5.685755422035754e-09
1806,3.458002950651462e-08
1807,8.540865792383556e-09
1808,2.2660739951163578e-09
1809,2.25903047379461e-08
1810,7.020380277111826e-09
1811,5.264861258069686e-08
1812,0.0
1813,1.1502966579257645e-08
1814,0.0
1815,5.394447111228828e-09
1816,1.622322720606917e-08
1817,9.341240669868967e-09
1818,1.3113295338484932e-08
1819,1.1282644862831148e-07
1820,1.1273156985680544e-07
1821,1.2819934447350079e-08
1822,7.519211919770896e-08
1823,1.5021683452687284e-07
1824,1.288430269141827e-07
1825,1.2503728896717803e-07
1826,1.5766292449370667e-07
1827,1.8434546333878643e-08
1828,3.485474309172787e-08
1829,7.372931065674493e-08
1830,2.1917355041978226e-08
1831,4.677361609140007e-09
1832,8.117981842303834e-09
1833,2.3167257001688313e-09
1834,2.42697808516823e-08
1835,2.2689263801112247e-08
1836,1.290383977448073e-07
1837,7.166627824517491e-08
1838,1.1361891694150472e-07
1839,6.781731087812659e-08
1840,1.1465439264668476e-08
1841,4.237562123421412e-08
1842,4.628702754416736e-08
1843,2.5990408047960045e-08
1844,9.330554107123135e-09
1845,2.0646844234306627e-08
1846,1.9319854160926297e-08
1847,6.525800699819229e-08
1848,1.206783295515379e-08
1849,1.005529792763582e-08
1850,4.8880771430503955e-08
1851,2.644269869733762e-08
1852,2.6042181744401205e-09
1853,5.3150191803297275e-08
1854,5.0397943596180994e-08
1855,1.9104973603134567e-08
1856,1.2425253714809514e-08
1857,6.541222319356166e-08
1858,2.6425849952715907e-08
1859,1.3748867822016564e-08
1860,2.7920821210614122e-08
1861,2.6880993431177558e-08
1862,2.3041730301542884e-08
1863,1.3485475847119233e-08
1864,1.6781548595190543e-08
1865,3.7654753981541944e-08
1866,4.2330832172865485e-08
1867,2.135237053835226e-08
1868,2.0747471296544973e-08
1869,3.027781758646597e-08
1870,2.121598008386627e-08
1871,2.0180236148803488e-08
1872,2.1770421909650395e-08
1873,5.088103804951061e-08
1874,2.0911132381229436e-08
1875,3.3757011408397375e-08
1876,3.506688628363008e-08
1877,1.6699003069220453e-08
1878,1.7513357875031943e-08
1879,3.237942536316041e-08
1880,1.7328185109022343e-08
1881,2.1614773970668466e-08
1882,1.7304001787010748e-08
1883,1.8958017378167824e-08
1884,1.5183903911974994e-08
1885,1.8692343672910283e-08
1886,2.9040586824180536e-08
1887,1.1752064210668323e-08
1888,6.974675947901687e-09
1889,3.069916942877171e-08
1890,1.6385966361553983e-08
