year,dernières_ADJ îles_NOUN,dernières_ADJ iles_NOUN,dernières_ADJ villes_NOUN
1800,8.803660733747165e-08,9.432493452976587e-09,7.545995117652637e-08
1801,1.4287095950749062e-08,0.0,7.857902772911984e-08
1802,2.9091921760482364e-08,0.0,1.0741632650024258e-07
1803,7.996391104825307e-08,1.950339223455444e-09,9.361627917314763e-08
1804,4.2021465418429216e-08,0.0,1.9033252840472414e-07
1805,1.1371510844071508e-08,0.0,8.24434565060983e-08
1806,3.458002950651462e-08,0.0,2.0171682990621775e-08
1807,1.4804166426074516e-07,8.540865792383556e-09,1.4519470425966574e-07
1808,5.211970233176544e-08,2.2660739951163578e-09,1.744876954035135e-07
1809,6.777091243748146e-08,2.259030518203531e-09,1.219876537561504e-07
1810,3.7442028144596406e-08,0.0,5.8503168531842675e-08
1811,9.526891631139733e-08,0.0,1.504246114336638e-07
1812,2.400487453257938e-08,0.0,6.668020802180763e-08
1813,6.326631307729258e-08,5.751483289628823e-09,1.00650957790549e-07
1814,0.0,0.0,1.6677388714469998e-07
1815,5.664169577812572e-08,0.0,8.90083740046066e-08
1816,8.806894413737609e-08,0.0,3.476405652236281e-08
1817,5.7604317760251433e-08,0.0,5.1376822796100896e-08
1818,4.053200441944682e-08,0.0,1.490147241156592e-07
1819,5.175524897538253e-09,0.0,9.729986771844779e-08
1820,9.137190204455692e-08,0.0,9.255855104584043e-08
1821,1.4792232327920374e-08,9.86148829262845e-10,4.6348993976153e-08
1822,5.81485721795616e-08,1.0025615893027862e-09,7.318699601910339e-08
1823,3.261286707356703e-08,9.882686891060644e-10,9.38855251320092e-08
1824,3.789500624407083e-08,0.0,3.789500624407083e-08
1825,1.6730341556581152e-08,0.0,6.780191341704267e-08
1826,8.015265962058038e-08,4.403992281964975e-09,1.0305341646699162e-07
1827,8.295545583791863e-09,0.0,7.834682236307344e-08
1828,3.118582370120748e-08,9.172301251858528e-10,6.328887991458032e-08
1829,3.0006116702452346e-08,6.001223074036943e-09,8.830371456269859e-08
1830,4.174734158368665e-08,1.0436835840010872e-09,1.0958677876260481e-07
1831,2.6505050598757407e-08,0.0,1.6994414409055025e-07
