year,leurs_DET vivres_NOUN
1800,2.0751485863002017e-07
1801,2.6193009716735105e-07
1802,3.401517005841015e-07
1803,2.652461432717246e-07
1804,1.507829097135982e-07
1805,2.3595885245697445e-07
1806,2.4782355012575863e-07
1807,3.6441025308420194e-07
1808,2.3340562593787695e-07
1809,3.365955478784599e-07
1810,2.50393551670669e-07
1811,3.58511986320309e-07
1812,1.9203898915520767e-07
1813,2.243078540686838e-07
1814,3.681612383843458e-07
1815,2.75116810666276e-07
1816,1.7613788827475219e-07
1817,4.281401860817269e-07
1818,3.814776778909845e-07
1819,3.094963858529809e-07
1820,5.636578563894545e-07
1821,3.3430445522952823e-07
1822,4.3009893602175e-07
1823,9.013010222602702e-07
1824,4.1263453098849823e-07
1825,5.873230293218512e-07
1826,7.046387713316449e-07
1827,4.3044665848368524e-07
1828,4.301809326534567e-07
1829,2.6834041477741266e-07
1830,3.61114521840733e-07
1831,3.570386297724326e-07
1832,2.0159654168239172e-07
1833,2.2008894529079726e-07
1834,2.04426227723431e-07
1835,4.3639017377472555e-07
1836,5.605105570793967e-07
1837,4.752239624039589e-07
1838,6.937065961665212e-07
1839,4.7332287778090176e-07
1840,3.2612805389575783e-07
1841,3.2231154101225457e-07
1842,2.6028069299854906e-07
1843,2.918014154751347e-07
1844,2.5521811153339513e-07
1845,2.1316470411036903e-07
1846,3.3897563156415345e-07
1847,3.289866352673698e-07
1848,2.1802551131155923e-07
1849,2.7316891904050067e-07
1850,2.60697446741176e-07
1851,2.373393452881345e-07
1852,1.7838894805777272e-07
1853,2.1916989290104993e-07
1854,2.852419879184609e-07
1855,2.29790376948813e-07
1856,2.8267453000552223e-07
1857,3.01677260949873e-07
1858,2.417475895022392e-07
1859,1.9859476174666213e-07
1860,2.5082969035139513e-07
1861,2.2117869713511595e-07
1862,3.2168063068827024e-07
1863,2.7270631042242144e-07
1864,2.5076427734305184e-07
1865,2.400490757281659e-07
1866,2.2576443825528258e-07
1867,2.241998888763419e-07
1868,1.694376847716228e-07
1869,1.4748227616934173e-07
1870,2.3738962662278595e-07
1871,3.6324427643563695e-07
1872,3.1990425330974404e-07
1873,3.292302324098273e-07
1874,2.76026948853314e-07
1875,2.403041463594491e-07
1876,2.509096104219566e-07
1877,1.663715462063564e-07
1878,2.1559545881899567e-07
1879,2.2971062341170523e-07
1880,1.4055083696895565e-07
1881,2.0080821627743717e-07
1882,2.249520225650059e-07
1883,1.6367087596336205e-07
1884,2.152153220080777e-07
1885,1.8627887765632067e-07
1886,2.349060861384089e-07
1887,2.1153716212030105e-07
1888,1.8260969891770173e-07
1889,2.0361694880177694e-07
1890,1.7369123944677156e-07
1891,1.9377629578709588e-07
1892,1.410415251257291e-07
1893,2.2170299024404372e-07
1894,2.0038895343077456e-07
1895,1.9861427680289978e-07
1896,1.851667066343765e-07
1897,1.9985627530694217e-07
1898,1.8729155137897635e-07
1899,1.779880207664064e-07
1900,1.5313607315547983e-07
1901,1.5648469192663939e-07
1902,1.7087787407277233e-07
1903,1.7982733901966697e-07
1904,1.322157840988325e-07
1905,1.408887190246233e-07
1906,1.3940740362095028e-07
1907,9.617117119331553e-08
1908,1.1787333842327996e-07
1909,1.1772105068530436e-07
1910,1.2665637427744514e-07
1911,1.2396471937847764e-07
1912,1.2919365133257088e-07
1913,1.251505561961075e-07
1914,1.5804315012246661e-07
1915,1.73177198803387e-07
1916,1.4173825735319667e-07
1917,1.9958892139015916e-07
1918,1.8722792827219337e-07
1919,1.445632232255356e-07
1920,1.3251406016934197e-07
1921,9.314479143540666e-08
1922,7.746832153543437e-08
1923,1.0615948431436095e-07
1924,1.5341032622018247e-07
1925,1.1438105218530836e-07
1926,9.585679094925581e-08
1927,1.1595193982749663e-07
1928,8.798051709391075e-08
1929,1.2700062601567197e-07
1930,1.1659000165309408e-07
1931,1.916099892085299e-07
1932,8.767629156025691e-08
1933,8.144170493551428e-08
1934,1.0064527344866292e-07
1935,8.617164581892212e-08
1936,7.1535815493462e-08
1937,6.547381303789734e-08
1938,5.575042061334301e-08
1939,9.023489866422096e-08
1940,1.0143131934370331e-07
1941,1.0035108743977617e-07
1942,1.0316320242509391e-07
1943,9.290352687152392e-08
1944,1.5423293575622665e-07
1945,1.089252021913012e-07
1946,1.1554516277101357e-07
1947,8.463818335080475e-08
1948,7.827759418432834e-08
1949,7.362756093698408e-08
1950,6.274863295629984e-08
1951,7.56959492864695e-08
1952,7.592258555177978e-08
1953,7.972632376507249e-08
1954,5.863521579385633e-08
1955,6.569925403709931e-08
1956,5.755953580433015e-08
1957,4.505869244386673e-08
1958,7.362297016477726e-08
1959,7.440717819662268e-08
1960,8.927875128073026e-08
1961,7.017640724082952e-08
1962,6.151697889977825e-08
1963,5.6254663149957196e-08
1964,7.179082389674463e-08
1965,7.332538365378838e-08
1966,7.20079718075084e-08
1967,9.466244182965156e-08
1968,8.937917783669036e-08
1969,1.0037284903230415e-07
1970,7.08203629073978e-08
1971,5.343933318080474e-08
1972,6.05357328709033e-08
1973,6.726108303656275e-08
1974,8.269590356935197e-08
1975,5.1974468728843704e-08
1976,5.770661987147818e-08
1977,7.110905891893893e-08
1978,6.297026544643813e-08
1979,8.777959692451986e-08
1980,5.969408350958716e-08
1981,6.831593846179373e-08
1982,5.89712728649161e-08
1983,6.062703294951177e-08
1984,5.856998647191247e-08
1985,4.331201930440898e-08
1986,8.032610226971215e-08
1987,5.316410567335339e-08
1988,5.816657017154725e-08
1989,5.1039537485308983e-08
1990,4.467893710558002e-08
1991,4.454713686818934e-08
1992,6.667032326213018e-08
1993,6.979401234730176e-08
1994,6.118914774866369e-08
1995,5.856246837465662e-08
1996,5.925282176022506e-08
1997,5.0346392166389364e-08
1998,6.77074351029816e-08
1999,5.621347459738857e-08
2000,5.610900044583644e-08
2001,6.44038153918558e-08
2002,6.308959132894643e-08
2003,6.583738132448502e-08
2004,5.814324613440114e-08
2005,6.215174153112457e-08
2006,5.84740358355873e-08
2007,6.670780905437823e-08
2008,5.023778920643096e-08
2009,5.24501189147486e-08
2010,5.1489343011468236e-08
2011,5.3153211609924256e-08
2012,5.106379241670567e-08
2013,4.825186294965533e-08
2014,6.214827674710932e-08
2015,6.583228695511423e-08
2016,9.279603319090057e-08
2017,6.49027747101627e-08
2018,4.9306015048600216e-08
2019,4.92340633817534e-08
