year,des_DET iles_NOUN,des_DET villes_NOUN
1800,3.584347454399506e-07,5.549450307285042e-06
1801,3.0002900719416914e-07,5.060012895796717e-06
1802,2.7077865638602816e-07,5.74901127947669e-06
1803,4.1542226791868586e-07,6.352254970920512e-06
1804,3.4605912624385837e-07,6.708603464744556e-06
1805,4.4633179796527145e-07,6.8968213895459485e-06
1806,1.6425513926776603e-07,5.763338130293505e-06
1807,2.135216305987342e-07,6.0127690773015274e-06
1808,3.489753863661349e-07,6.632798488226399e-06
1809,2.756017205562955e-07,6.88552516692198e-06
1810,2.363527977777835e-07,4.77151828448541e-06
1811,3.6854028939714567e-07,6.275213081607944e-06
1812,4.267533113555544e-07,5.84385344382099e-06
1813,2.4156230171712423e-07,5.374761357757052e-06
1814,1.7621391412703247e-07,7.004503146390562e-06
1815,3.2096960111971384e-07,6.535372762073166e-06
1816,4.959672210702593e-07,4.663018827955057e-06
1817,2.522134935345477e-07,6.308450906544749e-06
1818,2.813397803613782e-07,5.736470527040183e-06
1819,2.546358294219786e-07,6.702304986561103e-06
1820,2.7530236756945214e-07,6.8564526429781836e-06
1821,2.0709126091755792e-07,6.1387763281572916e-06
1822,3.398683645627898e-07,6.47755024374419e-06
1823,4.882047340837303e-07,5.8367146706928e-06
1824,3.023179395711395e-07,5.539408036270288e-06
1825,2.888185297589274e-07,6.36985734558948e-06
1826,3.576041787134443e-07,6.761008563671567e-06
1827,2.5624019173164925e-07,5.42805203451735e-06
1828,3.4029238227262226e-07,5.924389256506402e-06
1829,4.2265756683423916e-07,6.291853893003463e-06
1830,2.974498249930235e-07,6.3476835521214525e-06
1831,2.946737971409874e-07,6.1055161637568744e-06
1832,4.383709959476789e-07,5.6000542301148926e-06
1833,5.189465461796772e-07,6.324661029566414e-06
1834,3.4071037724459075e-07,6.688191291459589e-06
1835,4.0462519734774105e-07,6.775014355753228e-06
1836,4.509623268145191e-07,6.892801124536163e-06
1837,5.114049805854393e-07,6.829865768054333e-06
1838,4.1597145616911746e-07,8.037906624736024e-06
1839,6.35525085890265e-07,6.581075595590846e-06
1840,4.4396729736995155e-07,7.047423551398424e-06
1841,4.6741593262566994e-07,5.655219197819861e-06
1842,4.04508388118785e-07,6.300402560555085e-06
