year,derniers_ADJ airs_NOUN,derniers_ADJ verres_NOUN
1800,0.0,3.458580977167003e-08
1801,0.0,0.0
1802,4.475680270843441e-09,4.0281122437590966e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,2.842877711017877e-09
1806,0.0,3.7461699520235925e-08
1807,0.0,2.8469551160981155e-09
1808,6.798221985349073e-09,3.6257183921861724e-08
1809,0.0,0.0
1810,9.360507036149102e-09,1.4040760554223652e-08
1811,0.0,0.0
1812,0.0,1.8670457180292033e-08
1813,3.4508900625951355e-08,2.8757416448144113e-09
1814,1.2586708564299443e-08,6.293354282149721e-09
1815,5.394447111228828e-09,3.236668177919455e-08
1816,0.0,1.8540831092650478e-08
1817,0.0,3.7364962679475866e-08
1818,0.0,0.0
1819,0.0,4.140420006848444e-09
1820,0.0,7.119888678630559e-09
1821,7.88919063410276e-09,1.577838126820552e-08
1822,9.023054303725075e-09,6.015369535816717e-09
1823,1.2847492847356534e-08,6.917880934764753e-09
1824,2.5263338088166165e-09,4.210556348027694e-09
1825,1.7610886082763955e-09,1.2327619813845558e-08
1826,2.642395191543301e-09,8.807984341885344e-10
1827,0.0,1.566936447261469e-08
1828,4.586150570418113e-09,2.2013523448549677e-08
1829,1.1145129263923081e-08,2.743416338546467e-08
1830,1.5655253093882493e-08,7.305785310052215e-09
1831,0.0,1.5591206103948707e-09
1832,2.705993873419743e-09,4.058990921151917e-09
1833,2.3167257001688313e-09,6.950177322551099e-09
1834,9.334530925997342e-10,1.5868701908061666e-08
1835,3.781543966852041e-09,1.8907719834260206e-08
1836,2.688300027031687e-09,8.736974699274924e-09
1837,6.957890930081589e-10,1.0436836284100082e-08
1838,1.2624323808552163e-09,1.5149188570262595e-08
1839,0.0,1.8876983531868063e-08
1840,2.5478754661634184e-09,5.095750932326837e-09
1841,7.0626033910059505e-09,4.687000298986277e-08
1842,1.341653010911159e-08,8.720745015011744e-09
1843,0.0,4.134837805480629e-09
1844,0.0,9.330554107123135e-09
1845,1.674068439427856e-09,7.812318791877715e-09
1846,0.0,7.610851504580296e-09
1847,0.0,2.6966118227278457e-09
1848,0.0,2.413566457803995e-09
1849,4.1897072478036534e-09,8.379414939696517e-10
1850,3.394498016007219e-09,5.431196825611551e-09
1851,6.449438760824933e-10,5.8044946626978344e-09
1852,0.0,3.2552727180501506e-09
1853,0.0,8.957897534855874e-09
1854,0.0,3.63696517347023e-09
1855,5.306937111981824e-10,1.326734277995456e-08
1856,0.0,5.694908100650764e-09
1857,1.4644527812635033e-09,3.905207268672939e-09
1858,3.4255731584664773e-09,7.829881631948865e-09
1859,0.0,1.5276520048956854e-09
1860,9.154367819341758e-10,1.8308735638683515e-09
1861,3.3011746669586728e-09,2.8295783494058924e-09
1862,4.517986262886353e-10,4.9697850279528666e-09
1863,0.0,1.2486552236623538e-08
1864,1.4384183844029508e-09,2.3973640850272204e-09
1865,0.0,5.177528628053096e-09
1866,0.0,5.352174259343201e-09
1867,4.367530337390235e-09,3.396968040192405e-09
1868,2.9639244392143382e-09,3.457911734727759e-09
1869,0.0,2.9301114867763545e-09
1870,0.0,3.4404292748035914e-09
1871,0.0,1.805600113868877e-08
1872,3.0236697590169115e-09,6.047339295989218e-10
1873,0.0,1.2570609442263958e-08
1874,6.572069999322139e-09,8.961913877669758e-09
1875,0.0,2.2886108563824337e-09
1876,4.232210137899983e-09,1.813804439976252e-09
1877,0.0,4.329371083855449e-09
1878,0.0,1.2078177569208037e-08
1879,2.443730107160036e-09,4.27652757650776e-09
1880,1.0268554007097919e-08,6.417846254436199e-09
1881,0.0,7.669758161910067e-09
