year,moindres_ADJ villes_NOUN
1800,3.144164484325529e-09
1801,3.333655484993869e-08
1802,4.4756802708434407e-08
1803,6.436119548425268e-08
1804,2.4718509905596875e-08
1805,1.421438877713399e-08
1806,5.4751712497136396e-08
1807,8.540865792383556e-09
1808,3.172503681980743e-08
1809,2.25903047379461e-08
1810,3.978215445954447e-08
1811,3.259199843341776e-08
1812,1.0668832928217853e-08
1813,3.163315653864629e-08
1814,3.4613449884091096e-08
1815,1.8880564667256294e-08
1816,6.952811659743929e-09
1817,3.113746771532533e-08
1818,2.8610825708597076e-08
1819,4.7614829412623294e-08
1820,2.254631326081835e-08
1821,4.437669787193954e-08
1822,1.4035862250239006e-08
1823,1.3835761869529506e-08
1824,3.789500624407083e-08
1825,3.434122675116669e-08
1826,2.3781558056157337e-08
1827,1.1982455028203276e-08
1828,3.5771975603893225e-08
1829,3.6864655328372464e-08
1830,3.235419043789989e-08
1831,2.6505050598757407e-08
1832,1.8941957335982806e-08
1833,6.139323005527331e-08
1834,1.8669062740173104e-08
1835,2.8739734148075513e-08
1836,2.083432448785061e-08
1837,2.0873672568200163e-08
1838,5.807189040751837e-08
1839,4.61437359433603e-08
1840,2.7389662093924017e-08
1841,2.6966304744746594e-08
1842,2.683306021822318e-08
1843,4.548321541619771e-08
1844,4.061535463506516e-08
1845,2.1204865419122143e-08
1846,4.27378594736183e-08
1847,2.3190860787281053e-08
1848,2.252662056889676e-08
1849,3.5193544078993e-08
1850,3.869727649430388e-08
1851,4.063146263888484e-08
1852,3.6459056218518526e-08
1853,1.0152284346531815e-08
1854,1.7665259477439577e-08
1855,1.963566731433275e-08
1856,4.038207634948776e-08
1857,2.147863931156735e-08
1858,3.52344677878591e-08
1859,3.055303920973529e-08
1860,3.112485202905191e-08
1861,2.2165028923382124e-08
1862,2.0782737308877586e-08
1863,3.49623441309177e-08
1864,3.212467802882202e-08
1865,1.2708479601997169e-08
1866,2.77339928800302e-08
1867,3.6396087921275466e-08
1868,2.4699369660652337e-08
1869,3.2231227464762924e-08
1870,9.17447806614291e-09
1871,2.0180236148803488e-08
1872,1.8746751706544273e-08
1873,2.573981916498269e-08
1874,2.5690820137924675e-08
1875,1.8881038954532414e-08
1876,1.5719638923883394e-08
1877,2.783167118991514e-08
1878,1.3889904337816006e-08
1879,2.6270098985037293e-08
1880,1.0268554007097919e-08
1881,2.9284532132578533e-08
1882,1.7304001787010748e-08
1883,2.9068958795619437e-08
1884,2.3766109080725073e-08
1885,1.4824961702686323e-08
1886,1.5488312854472497e-08
1887,7.1818169189441505e-09
1888,1.014498351992188e-08
1889,1.2530273707511697e-08
1890,2.2284913470116408e-08
1891,2.039750413018737e-08
1892,2.570090096298827e-08
1893,2.894455697344256e-08
1894,1.6384001710889606e-08
1895,1.9259566386153892e-08
1896,1.3563166589847242e-08
1897,2.0393496669157685e-08
1898,2.8857609635224435e-08
1899,1.713549302451156e-08
1900,1.86877908703309e-08
1901,3.1855812210324075e-08
1902,2.0132164380015638e-08
1903,1.5660639007819555e-08
1904,1.5048950530172078e-08
1905,2.0126959654476195e-08
