year,les_DET iles_NOUN,les_DET villes_NOUN
1800,1.3016840654245243e-06,2.9140116339476663e-05
1801,1.776362196892478e-06,3.413187096157344e-05
1802,1.4322177150916104e-06,3.242630441491201e-05
1803,1.2930749153650112e-06,4.2919164116028696e-05
1804,1.5696252999575222e-06,3.1595197924616514e-05
1805,9.324638874375069e-07,3.6656064594353666e-05
1806,9.653591570568665e-07,3.594594181777211e-05
1807,1.5601314018454104e-06,4.269009264135093e-05
1808,1.2259460362429309e-06,4.097741498299001e-05
1809,1.2447258184167254e-06,4.423181667334575e-05
1810,1.2355869429825361e-06,2.7386503802517836e-05
1811,1.7975740078668423e-06,4.1940885694202734e-05
1812,9.415245187938126e-07,3.410825934224704e-05
1813,1.4234921295042113e-06,3.1952365361576085e-05
1814,1.0446967912969285e-06,3.793004498220398e-05
1815,1.1544116735873189e-06,3.590004394027346e-05
1816,9.919344758912985e-07,3.0309623070934322e-05
1817,1.0804701418010154e-06,3.5963777008873876e-05
1818,9.250833867824326e-07,4.090990364602476e-05
1819,7.701181243824351e-07,4.025316184197436e-05
1820,1.1427421213738853e-06,3.605393067118712e-05
1821,8.332957381895767e-07,3.352610019646818e-05
1822,1.1990636892278417e-06,3.657445108729007e-05
1823,1.305502955517568e-06,3.697508623190515e-05
1824,1.0374810957003433e-06,3.476656524981081e-05
1825,1.7276279447031584e-06,3.62405619398487e-05
1826,1.7334113504574589e-06,4.684526493292651e-05
1827,1.2931834527663e-06,3.4465226917745895e-05
1828,1.4629820253020398e-06,3.5275753134556e-05
1829,2.082424478189182e-06,3.5801583635475254e-05
1830,1.3463518362399896e-06,3.881041902786819e-05
1831,1.0025145353864673e-06,3.6784332451134105e-05
1832,1.5789474296923345e-06,3.248680923206848e-05
1833,3.2874338788957402e-06,3.397362502255419e-05
1834,1.6662138371259516e-06,4.066868314112071e-05
1835,1.8983350216217332e-06,3.849536096822703e-05
1836,1.582064548699691e-06,4.3061861561000114e-05
1837,1.9983063177519966e-06,4.4219483015695005e-05
1838,2.006636307783083e-06,5.048340699431719e-05
1839,2.2260856979983146e-06,4.373447200123337e-05
1840,2.1440371433811833e-06,4.6605102170360624e-05
1841,1.8542543935851086e-06,3.810017597061233e-05
1842,1.5522925451705305e-06,4.13175455378223e-05
1843,2.031977416550035e-06,3.9666678276262246e-05
1844,1.69706311581308e-06,4.8726349632488564e-05
1845,1.697505346953676e-06,3.8028695144021185e-05
1846,1.7926482769325958e-06,4.114894818485482e-05
1847,2.0273127852021844e-06,4.2067144022439606e-05
1848,1.8849954379618339e-06,4.307894300836779e-05
1849,2.047929022808148e-06,3.457765524217393e-05
1850,1.8045151213286204e-06,3.708692679538217e-05
1851,1.46402260980949e-06,3.7995578850313905e-05
1852,1.8815476305888978e-06,3.679043970805651e-05
1853,1.894893941312148e-06,3.7387280599432415e-05
1854,1.5638949619756204e-06,3.435789039940573e-05
1855,1.675400088885226e-06,3.402595848456258e-05
1856,1.7731873018789202e-06,3.4980715327037615e-05
1857,1.5933246153565506e-06,3.434239260968752e-05
1858,1.379527233780209e-06,3.8255823938015965e-05
1859,1.737958751135693e-06,3.503007974359207e-05
1860,1.2376705669225885e-06,3.5257588478998514e-05
1861,1.5661715284664979e-06,3.328904404042987e-05
1862,1.3391311188826194e-06,3.4867557587858755e-05
1863,1.584793196229839e-06,3.3418010843888624e-05
1864,1.8023382288845369e-06,3.3204928286068025e-05
1865,1.3503936031611374e-06,3.562940128176706e-05
1866,1.5088265854501515e-06,3.2300372140525724e-05
1867,1.4306088687021656e-06,3.617382594711671e-05
1868,1.3851406670539745e-06,3.2222304071183316e-05
1869,1.1398133601403515e-06,2.8218439410920837e-05
1870,1.3733046682062877e-06,3.164564145663462e-05
1871,9.028000729216501e-07,2.9369679396040738e-05
1872,1.195558960276344e-06,2.9127009042895224e-05
1873,1.5952701986066131e-06,2.9489452117559267e-05
1874,1.118446856906985e-06,3.2628534313516866e-05
1875,1.1174142482417437e-06,2.9806295515300008e-05
1876,1.4177904859025148e-06,3.14906683342997e-05
1877,1.3810694170501847e-06,3.0327246008710063e-05
1878,1.5605004684005053e-06,3.2978858371279784e-05
1879,1.467459910031721e-06,3.3153474532809923e-05
1880,1.5678798668261607e-06,3.14044466449559e-05
1881,1.9369625974263727e-06,3.10123189137812e-05
1882,1.4442185900520599e-06,3.1576474611938465e-05
1883,1.4155319227882046e-06,3.0447838526015403e-05
1884,1.6174157337900397e-06,3.1572616535413545e-05
1885,1.6713533455003926e-06,3.1820813774174894e-05
1886,2.545246125862377e-06,3.18310644615849e-05
1887,1.4833716974749223e-06,2.826436741543148e-05
1888,1.6339764279393876e-06,2.7828957399833598e-05
1889,1.6571286636235527e-06,3.129247897959431e-05
1890,1.6890654102041935e-06,2.893171688356233e-05
1891,1.7503608304991758e-06,2.760101017429406e-05
1892,1.827898174155962e-06,2.7622827360573865e-05
1893,1.9509863804501038e-06,2.7938887797063217e-05
1894,1.595549704802579e-06,2.8632304520215257e-05
1895,2.5470776279234997e-06,2.7099414523945597e-05
1896,1.9660694228207376e-06,2.745067001796997e-05
1897,1.6926602910416477e-06,2.677374902759766e-05
1898,1.8276486102308809e-06,2.504501026123762e-05
1899,2.0247519501026545e-06,2.6467703833077394e-05
1900,1.9123840111490154e-06,2.639650563196483e-05
1901,1.8023683487911057e-06,2.594907402908575e-05
1902,1.8280986537888566e-06,2.195780757574539e-05
