year,belles_ADJ oies_NOUN,belles_ADJ voies_NOUN
1800,3.772997558826319e-08,0.0
1801,1.1905912700171939e-08,9.524730337773235e-09
1802,8.951360541686881e-09,0.0
1803,3.90067853572873e-08,9.751696339321825e-09
1804,1.4831105232815389e-08,0.0
1805,4.264316544322355e-08,8.528632911009026e-09
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,1.4234775136401367e-08
1808,6.798221985349073e-09,2.945896149242344e-08
1809,1.3554183553310395e-08,0.0
1810,0.0,0.0
1811,0.0,1.7549536934780008e-08
1812,0.0,1.3336041604361526e-08
1813,1.4378708002027452e-08,1.1502966579257645e-08
1814,0.0,0.0
1815,0.0,2.966945977789237e-08
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,4.768470951432846e-09,0.0
1819,2.070210003424222e-09,4.140420006848444e-09
1820,4.746592452420373e-09,5.933240565525466e-09
1821,0.0,2.9584463767662328e-09
1822,1.2030739071633434e-08,2.90742860897808e-08
1823,9.882686891060644e-10,2.7671523739059012e-08
1824,0.0,3.536867154707579e-08
1825,8.805443041381977e-10,8.805443485471187e-09
1826,8.807984341885344e-10,9.688783109140786e-09
1827,0.0,4.885154680778214e-08
1828,5.503380862137419e-09,4.586150570418113e-09
1829,0.0,1.2002446148073886e-08
1830,4.174734336004349e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,1.7588959622116818e-08
1833,1.1583628278799551e-08,3.243415847009601e-08
1834,3.733812370398937e-09,4.667265685043276e-09
1835,1.1344631900556124e-08,4.5378527602224494e-09
1836,1.3441500135158435e-09,9.409050427677812e-09
1837,0.0,1.1828414692161004e-08
1838,1.8936485712828244e-09,2.7142295522253335e-08
1839,5.5931801412612e-09,3.076248944466897e-08
1840,3.821813088222825e-09,1.0191501864653674e-08
1841,2.43980835534785e-08,3.146068650039524e-08
1842,1.0733224087289273e-08,3.4882980060046975e-08
1843,3.5441467538532834e-09,5.611565612184677e-08
1844,3.841992946007622e-09,3.0187088384536764e-08
1845,0.0,2.9017185099178278e-08
1846,4.6836010625384006e-09,4.507965911670908e-08
1847,1.0786447290911383e-09,4.2067142658197554e-08
1848,7.24069959545659e-09,1.930853166243196e-08
1849,8.379414939696517e-10,5.02764896381791e-09
1850,4.752297222410107e-09,2.1724787302446202e-08
1851,8.384270167027807e-09,4.127640806927957e-08
1852,4.557381805270211e-09,3.450589147746541e-08
1853,5.3747388761848924e-09,3.0456853039595444e-08
1854,1.0910895298366086e-08,2.8056588163849483e-08
1855,5.837630823180007e-09,3.449509122788186e-08
1856,1.0872097611080989e-08,2.2261913201759853e-08
1857,6.345961978126979e-09,3.7099468386259105e-08
1858,1.468102750479261e-09,4.061751113226819e-08
1859,1.2730433596175317e-08,2.036869339860914e-08
1860,4.119465657481669e-09,3.570203332969868e-08
1861,1.8863854922557266e-09,2.5937801240161207e-08
1862,1.3553959066214816e-09,2.3041730301542884e-08
1863,3.995696662428827e-09,2.5472566278494924e-08
1864,0.0,1.582260189536555e-08
1865,1.0825742080555756e-08,1.0355057256106193e-08
1866,3.8924903300596725e-09,2.3841502994059738e-08
1867,6.79393608038481e-09,3.494024269912188e-08
1868,3.951899252285784e-09,1.679557115608077e-08
1869,6.8369265804335555e-09,2.24641887314192e-08
1870,1.1468097582678638e-09,1.77755516972411e-08
1871,1.0621177271019633e-09,4.354682658913589e-08
1872,0.0,2.0560953828407946e-08
1873,5.986004469882289e-10,1.2570609442263958e-08
1874,4.182226565063729e-09,1.8521287614703397e-08
1875,1.7164581422868253e-09,2.5174719198162165e-08
1876,3.627608879952504e-09,1.813804395567331e-08
1877,7.421779191219002e-09,1.7317484335421796e-08
1878,2.4156354694326865e-09,1.509772218355465e-08
1879,9.163987790827832e-09,1.8327975581655664e-08
