year,bonnes_ADJ oies_NOUN,bonnes_ADJ voix_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,4.680253518074551e-09
1811,0.0,2.0056614147279106e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,1.2454987263765815e-08
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,1.6613073583471305e-08
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,2.2730180404550993e-08
1824,0.0,0.0
1825,0.0,2.4655239627691117e-08
1826,0.0,2.2019960965735663e-08
1827,0.0,1.8434546111834038e-09
1828,0.0,7.337841001486822e-09
1829,0.0,4.286587973467704e-09
1830,0.0,2.0873671680021744e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,2.705993873419743e-09
1833,0.0,2.3167257001688313e-09
1834,9.334530925997342e-10,0.0
1835,0.0,1.1344631900556124e-08
1836,7.392825018825988e-09,1.4113575197427508e-08
1837,0.0,9.045257876039159e-09
1838,0.0,1.64116205070286e-08
1839,0.0,2.0974426639952526e-09
1840,1.2739377330817092e-09,7.64362617644565e-09
1841,6.420548537278137e-10,9.630822361827995e-09
1842,0.0,8.720745015011744e-09
1843,0.0,1.7720733769266417e-09
1844,2.7442805805577564e-09,7.1351298203126134e-09
1845,0.0,2.2320911785556063e-09
1846,0.0,5.269050973311096e-09
1847,5.393223645455691e-10,4.314578916364553e-09
1848,0.0,4.82713291560799e-09
1849,0.0,1.005529792763582e-08
1850,0.0,5.431196825611551e-09
1851,0.0,7.094382858952031e-09
1852,0.0,3.906327261660181e-09
1853,0.0,5.971931837933653e-10
1854,0.0,9.871762074453727e-09
1855,0.0,1.539011762474729e-08
1856,0.0,2.019103817474388e-08
