year,ces_DET ans_NOUN,ces_DET vents_NOUN
1800,6.288328968651058e-09,1.7544437298511184e-06
1801,2.3811825844433088e-09,1.1001063455751137e-06
1802,2.2378401354217203e-08,1.2263363657893933e-06
1803,7.801356893821776e-09,1.098040996794225e-06
1804,4.943701892301533e-09,1.080198870795357e-06
1805,1.1371510844071508e-08,9.523640329689442e-07
1806,2.0171682990621775e-08,1.91054658671419e-06
1807,5.693910232196231e-09,1.0789960072088434e-06
1808,2.7192887053217873e-08,8.724384770175675e-07
1809,1.581321384946932e-08,1.3802676761542898e-06
1810,4.680253518074551e-09,9.1966981585756e-07
1811,2.2563691359778204e-08,1.083057171058499e-06
1812,1.0668832928217853e-08,6.641348306857253e-07
1813,1.1502966579257645e-08,9.259887860935123e-07
1814,6.293354282149721e-09,2.8005425534161077e-07
1815,3.776112933451259e-08,1.1274393898474955e-06
1816,4.6352077731626196e-09,8.505606245989838e-07
1817,1.71256075987003e-08,7.30173645990817e-07
1818,1.1921177378582115e-09,7.748765114001799e-07
1819,1.0351050350188018e-08,5.568865049099259e-07
1820,1.0679833017945839e-08,7.831877297803658e-07
1821,2.1695273910715684e-08,6.301491168869688e-07
1822,5.413832582235045e-08,6.255984175140838e-07
1823,7.510842370272997e-08,6.789406015172972e-07
1824,1.2631669044083083e-08,7.124261429680701e-07
1825,4.402721520690989e-09,6.287086193879077e-07
1826,1.7615968683770689e-09,5.866117476216459e-07
1827,6.452091305675367e-09,5.963575375744767e-07
1828,1.0089531543577834e-08,5.613448479380168e-07
1829,8.57317605795771e-10,4.23514890712795e-07
1830,3.7572609246083744e-08,5.615017784066367e-07
1831,1.5591206103948707e-09,5.488104690698492e-07
1832,2.3000947813045514e-08,4.058990867861212e-07
1833,1.50587169400751e-08,8.050621715938178e-07
1834,1.1201437333241415e-08,4.975304861432051e-07
1835,3.2521278114927554e-08,4.794997678914115e-07
1836,1.6801875613037254e-08,4.852381465525468e-07
1837,1.1132625044041333e-08,5.482817897473069e-07
1838,6.122797135965641e-08,4.5384445002127904e-07
1839,3.845311480343838e-08,3.670524399979058e-07
1840,1.5287252685958208e-08,6.223186019838067e-07
1841,1.8619591202195807e-08,5.001607163990229e-07
1842,4.293289501688946e-08,4.809826137375239e-07
1843,5.316220019757623e-09,5.948259556021185e-07
1844,1.152597861597826e-08,4.522574457155315e-07
1845,1.0044410192477926e-08,3.610407617316014e-07
1846,1.3465352610708692e-08,4.636765069676585e-07
1847,1.1325769655456952e-08,3.699751403019036e-07
1848,7.401603796530765e-08,3.6283948645632336e-07
1849,9.217356433666168e-09,4.960613608773201e-07
1850,1.0862393651223101e-08,4.711563335035862e-07
1851,1.6768540778144825e-08,3.011887912407474e-07
1852,2.864639925270751e-08,2.9557875791397237e-07
1853,1.7915795735845563e-08,5.02836670079887e-07
1854,1.7665259477439577e-08,3.4499210954663795e-07
1855,2.0697054736729115e-08,4.134104152342388e-07
1856,1.5013848608802505e-08,3.9139550267464074e-07
1857,2.0990488958094744e-08,5.599090968644305e-07
1858,1.6638498356869036e-08,6.753272785431363e-07
1859,1.680417249794175e-08,4.73572107750897e-07
1860,1.1900678331677739e-08,4.577183787546346e-07
1861,1.1789909160064838e-08,3.933113887910622e-07
1862,2.2589932147099034e-08,3.0360868663592555e-07
1863,1.1487627959994029e-08,5.20938947090599e-07
1864,1.5343129544653777e-08,4.794727814783073e-07
1865,8.943004337069738e-09,3.5819085297816855e-07
1866,3.1139921974343565e-08,4.4082453598548454e-07
1867,1.4073153309368536e-08,5.473971214087214e-07
1868,3.210918098073279e-08,3.349234702909598e-07
1869,2.8324410261681976e-08,3.271957851325169e-07
1870,1.1468097138589428e-08,5.349867606696534e-07
1871,7.434823867669138e-09,4.577727423793476e-07
1872,7.861540973763681e-09,4.160569559985561e-07
1873,6.824045062359119e-08,3.400050587742953e-07
1874,7.766991494406739e-09,3.841673716920013e-07
1875,1.77367336373635e-08,4.256816303893629e-07
1876,4.111290130559553e-08,4.62520119981491e-07
