year,vingt - six villes
1800,1.0334305855508319e-08
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,9.88383686006955e-09
1810,2.5642903356271063e-09
1811,2.7593034523931692e-09
1812,0.0
1813,0.0
1814,3.439378915004454e-08
1815,0.0
1816,0.0
1817,1.02367412324611e-08
1818,1.5639875172723805e-08
1819,3.391827263499181e-09
1820,2.589745307091107e-09
1821,0.0
1822,0.0
1823,1.0795871974167426e-09
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,1.0023107899215233e-09
1829,0.0
1830,1.141392091952298e-09
1831,3.422896455163027e-08
1832,1.1861017945591357e-08
1833,1.774329128068075e-08
1834,1.02287431857917e-08
1835,4.149802723674156e-09
1836,1.4686979410427625e-09
1837,7.590987838312913e-10
1838,3.4411216098817476e-09
1839,0.0
1840,0.0
1841,5.615832243677232e-09
1842,1.4670415993123243e-09
1843,1.9362533798528148e-09
1844,1.3763139961042725e-08
1845,7.320485551076672e-09
1846,1.0891228363618666e-08
1847,8.24683976663465e-09
1848,1.761803325450728e-08
1849,1.834842278114479e-09
1850,8.916080318499553e-09
1851,2.3999133347274437e-08
1852,4.280119370037028e-09
1853,2.614816807522402e-08
1854,2.273273569386447e-09
1855,2.0944035838965647e-08
1856,1.0775166536802772e-08
1857,5.884666975930486e-09
1858,3.752691490888083e-09
1859,4.4594083981053245e-09
1860,1.254495529678934e-08
1861,6.712996825086748e-09
1862,5.446193718228187e-09
1863,2.1930453009133544e-09
1864,7.3493557906090246e-09
1865,1.0835171870837712e-08
1866,0.0
1867,8.517330840618342e-09
1868,4.327929015168763e-09
1869,8.035968335207144e-09
1870,5.026630667259724e-09
1871,0.0
1872,1.9900534553585203e-09
1873,5.90438187231257e-09
1874,5.899647437246358e-09
1875,3.772182122219192e-09
1876,1.3945745891419392e-08
1877,4.084536264770122e-09
1878,3.988102292851181e-09
1879,6.048476386411039e-09
1880,4.240189976911779e-09
1881,4.610635429003196e-09
1882,2.9310533999904465e-09
1883,2.0899828534481912e-09
1884,1.6004653990986384e-08
1885,2.130625231799854e-09
1886,1.0667193350855086e-08
1887,2.881049621095144e-09
1888,6.98901936324603e-10
1889,4.1484371493538674e-09
1890,7.228974641115826e-10
1891,7.027207149512549e-10
1892,3.4585942998432984e-09
1893,6.792941764643956e-10
1894,6.958809639634467e-10
1895,1.062713195221221e-08
1896,2.6017416554502404e-09
1897,4.509288942244893e-09
1898,6.24259266501781e-09
1899,0.0
1900,1.1472008898394392e-09
1901,6.167346078278513e-10
1902,5.407152503522639e-10
1903,8.941488549574217e-09
1904,0.0
1905,2.848948021938469e-09
1906,7.378354371923024e-09
1907,3.410213889054603e-09
1908,4.339891557236797e-09
1909,0.0
1910,1.1796716492540327e-08
1911,2.935905185630361e-09
1912,1.149544348599818e-09
