year,certaines_DET oies_NOUN,certaines_DET voix_NOUN
1800,0.0,2.2009151834367913e-08
1801,0.0,2.8574191901498125e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,5.070882025393075e-08
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,1.4408345627714425e-08
1807,0.0,2.8469551160981155e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,2.106114038724627e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,5.293369653713853e-08
1818,0.0,2.3842354979208835e-08
1819,0.0,1.3456364911235141e-08
1820,0.0,1.0679833017945839e-08
1821,0.0,1.7750679148775816e-08
1822,0.0,1.5038423839541792e-08
1823,0.0,0.0
1824,0.0,8.421112696055388e-10
1825,0.0,1.3208164340028361e-08
1826,0.0,1.8496766784892316e-08
1827,0.0,9.217273055917019e-10
1828,0.0,1.1006761724274838e-08
1829,0.0,8.57317605795771e-10
1830,7.305785310052215e-09,6.262101504006523e-09
1831,0.0,2.494592976631793e-08
1832,0.0,1.6235963684607668e-08
1833,0.0,1.2741991461950875e-08
1834,0.0,1.8669061851994684e-09
1835,0.0,2.2689263801112247e-09
1836,0.0,1.344150035720304e-08
1837,0.0,8.349468672008697e-09
1838,0.0,2.3354998379687686e-08
1839,0.0,5.5931801412612e-09
1840,0.0,4.45878195476368e-09
1841,0.0,1.8619591202195807e-08
1842,0.0,1.8783142152756227e-08
1843,0.0,2.4218335781256428e-08
1844,4.390849017710252e-09,2.7991662321369404e-08
1845,8.928364714222425e-09,2.0088821273134272e-08
1846,0.0,2.6930706997774223e-08
1847,0.0,2.1033572217277197e-08
1848,0.0,1.2872355126258839e-08
1849,0.0,7.54147322368226e-09
1850,0.0,6.1100964288129944e-09
1851,0.0,1.5478652803935233e-08
1852,0.0,2.213585426069642e-08
1853,0.0,1.9707375065181054e-08
1854,0.0,2.3900057488646098e-08
1855,5.306937111981824e-10,1.3798036491152743e-08
1856,2.0708756931497874e-09,1.7084724746041502e-08
1857,0.0,2.636014961865385e-08
1858,0.0,1.3212924865335651e-08
1859,0.0,3.360834455179429e-08
