year,vous_PRON allez_VERB,vous_PRON valez_VERB
1800,7.85412271397945e-06,1.5091989702398223e-07
1801,8.507965503667947e-06,4.1908813486202234e-07
1802,7.017866664682515e-06,1.5888664961494214e-07
1803,7.857916671127896e-06,1.8528221978897363e-07
1804,1.1578149951674277e-05,4.37517604368054e-07
1805,9.560597845847951e-06,3.980028697725402e-07
1806,7.506748033847543e-06,3.6885366050398716e-07
1807,6.439812636926945e-06,1.4519471314144994e-07
1808,5.436311653284065e-06,2.3113955016640375e-07
1809,7.054952448015683e-06,1.8749953767382976e-07
1810,1.1522784006956499e-05,2.3869292320455315e-07
1811,6.352932359732222e-06,1.5042460077552278e-07
1812,8.257676768153033e-06,2.8005687369159205e-07
1813,7.451046485584811e-06,2.731954573675921e-07
1814,7.561465054095606e-06,1.3530711484577296e-07
1815,7.026267326182278e-06,7.2825036667723e-08
1816,7.573929565296567e-06,2.387132056469454e-07
1817,8.41334372125857e-06,3.3161404999759725e-07
1818,9.359316436530207e-06,3.8982249961350135e-07
1819,7.752936653560027e-06,1.7493274384605684e-07
1820,1.0073455769088469e-05,3.334481117889254e-07
1821,1.3410638075583847e-05,5.847862425412131e-07
1822,1.1918451946257846e-05,2.907428751086627e-07
1823,9.742352858665981e-06,3.528119094653448e-07
1824,8.478376230414142e-06,2.7958094506175257e-07
1825,8.876766969478922e-06,2.509551233487173e-07
1826,7.641807314939797e-06,1.3300055723419746e-07
1827,7.354462240982684e-06,2.1384074067043457e-07
1828,8.981517567008268e-06,2.0454232085853619e-07
1829,8.715490594113362e-06,2.1432940755516938e-07
1830,9.516307045487338e-06,2.557024743055081e-07
1831,9.429561487195315e-06,3.882210179995127e-07
1832,1.002570729724539e-05,3.9236912030560234e-07
1833,9.382738880958641e-06,2.3283092964732077e-07
1834,9.556692702972214e-06,1.4281831894891184e-07
1835,1.0822779131558491e-05,1.9437135989619492e-07
1836,8.421099778388452e-06,1.8952515379311308e-07
1837,8.163693678397976e-06,2.1847777276207125e-07
1838,7.231212748592952e-06,1.704283718595434e-07
1839,7.638186502845201e-06,2.048502238949368e-07
1840,8.829025318846107e-06,1.1465439353486317e-07
1841,8.351849828613922e-06,1.3739973425686003e-07
1842,9.725642485136632e-06,1.5093596594795144e-07
1843,8.566202495785546e-06,1.724817995096828e-07
1844,8.99904512152716e-06,1.4764230193975436e-07
1845,9.000907766676391e-06,1.9865611555758278e-07
1846,8.599091643191059e-06,1.9729669098467184e-07
1847,7.592040674353484e-06,1.386058485763897e-07
1848,1.153202060777403e-05,9.734718098286521e-08
1849,1.0693808917494607e-05,1.4831564332240532e-07
1850,1.0007658829636057e-05,1.6565149962843861e-07
1851,8.684814247317263e-06,1.928382200588885e-07
1852,7.72150679040351e-06,1.4974254636257456e-07
1853,8.17557474874775e-06,1.9528217087838584e-07
1854,8.710531574251945e-06,1.989939555357978e-07
1855,8.763345022089197e-06,2.186458019082238e-07
1856,8.326473562192405e-06,1.6825864612712849e-07
1857,8.192636641979334e-06,2.2113235509380047e-07
1858,9.720798061607638e-06,1.8791715739041592e-07
1859,8.67146218297421e-06,2.0521457955169353e-07
1860,9.857881195785012e-06,2.1833167807017162e-07
1861,9.330062766821356e-06,2.4192894620966854e-07
1862,9.43942859521485e-06,2.670129948256772e-07
1863,9.300483270635596e-06,2.2575685676429202e-07
1864,9.859399369815947e-06,2.1863958821199958e-07
1865,9.183523843603325e-06,2.2075100680751802e-07
1866,9.302078524342505e-06,2.1651977988312865e-07
1867,9.125226597461733e-06,1.9605357870489115e-07
1868,8.96438950803713e-06,1.8376331567537818e-07
1869,1.0215345355391037e-05,2.4759442496247175e-07
1870,8.935367986850906e-06,1.81195947135393e-07
1871,1.066260006155062e-05,1.8799483569864606e-07
1872,1.132182865148934e-05,2.1347107193037118e-07
1873,9.915218015521532e-06,2.262709770661786e-07
1874,1.0409561582491733e-05,1.8939511292614952e-07
1875,1.1136952934975852e-05,2.0483066975884867e-07
1876,9.218358627549605e-06,2.0012308610262153e-07
1877,9.599452823749743e-06,2.32549087542111e-07
1878,8.236712801590329e-06,1.739257520227966e-07
1879,1.0200740689469967e-05,1.6250805856543593e-07
1880,8.968298061517999e-06,3.170416178477353e-07
1881,1.0472706435393775e-05,2.600745396819093e-07
1882,9.955125278793275e-06,1.9566832420991886e-07
1883,9.472056945014629e-06,1.889482348360616e-07
1884,8.768373845668975e-06,1.564602136738813e-07
1885,8.048020617934526e-06,1.1731056925867733e-07
1886,8.090707751762238e-06,1.5036570388815562e-07
1887,8.078891369223129e-06,1.4102477052801987e-07
1888,7.997417242222582e-06,1.1603324523434821e-07
1889,7.99494091552333e-06,1.303148460252146e-07
1890,8.47416640681331e-06,1.2912141045262615e-07
1891,8.408233497902984e-06,1.185604929787587e-07
1892,8.41046312416438e-06,1.579665092066307e-07
1893,7.874151151554543e-06,1.0530892158300276e-07
1894,7.99980398369371e-06,9.956431945568056e-08
1895,8.250918654084671e-06,9.389038302387576e-08
1896,8.29476107355731e-06,1.2855523312538253e-07
1897,8.142832257362898e-06,1.3343173677071718e-07
1898,8.371536068807472e-06,1.1825961987455003e-07
1899,8.064736903179437e-06,1.0834053831842994e-07
1900,7.839009413146414e-06,1.1108853392727269e-07
1901,7.799085096849012e-06,1.179223882985525e-07
1902,6.228694928722689e-06,8.543893770251998e-08
1903,7.6078301844972884e-06,9.774398712636412e-08
1904,7.353025011980208e-06,1.0265534111653096e-07
1905,8.45796807880106e-06,1.1611707861902687e-07
1906,7.254329148054239e-06,1.2140275096328423e-07
1907,7.838721785446978e-06,1.1108541642101954e-07
1908,8.31547276902711e-06,1.4537712189621743e-07
1909,7.58970713832241e-06,1.2872301180522072e-07
1910,8.591256346335285e-06,1.4322323771409629e-07
1911,7.4208576279488625e-06,9.310654824901121e-08
1912,7.79068932388327e-06,1.0575125219958181e-07
1913,7.5625937370205065e-06,9.280231871855449e-08
1914,7.5211128205410205e-06,1.0045115317325326e-07
1915,7.471359140254208e-06,8.835571119192309e-08
1916,8.171375384335988e-06,7.141850399960958e-08
1917,8.532975016350974e-06,1.0527767457801929e-07
1918,7.842897730370169e-06,7.69587238380609e-08
1919,8.090936489679734e-06,9.852397653276057e-08
1920,7.694901796639897e-06,1.219129348584147e-07
1921,7.985462389115128e-06,1.0298936459207653e-07
1922,8.32895125313371e-06,1.2616269629006638e-07
1923,8.465156952297548e-06,1.0085150670136045e-07
1924,9.165944902633782e-06,1.392295452262715e-07
1925,9.140585461864248e-06,1.3087831618463497e-07
1926,8.447658046861761e-06,1.22607525909757e-07
1927,1.0148024557565805e-05,2.0291589564180867e-07
1928,7.767423085169867e-06,1.2340124477816516e-07
1929,9.196405699185561e-06,1.2254447234738564e-07
1930,7.814680884621339e-06,1.4600009556886562e-07
1931,7.167125886553549e-06,9.238338893879927e-08
1932,7.354945182669326e-06,1.1507513519859458e-07
1933,6.844544031991973e-06,7.45593045081705e-08
1934,7.472911420336459e-06,1.38986324671464e-07
1935,6.87338570060092e-06,1.2686381012372294e-07
1936,6.753465868314379e-06,9.699771297277948e-08
1937,6.938965043445933e-06,1.0954272866570136e-07
1938,6.723760179738747e-06,8.168085141591064e-08
1939,5.975385647616349e-06,9.788192478765723e-08
1940,4.861095817432215e-06,7.860927286884589e-08
1941,6.7618925640999805e-06,9.739958883869804e-08
1942,7.057576794977649e-06,9.406056289407161e-08
1943,6.526473043777514e-06,1.1903264240942235e-07
1944,7.926930265966803e-06,6.747690939334916e-08
1945,8.772835599302198e-06,1.0674670214427806e-07
1946,8.654750445202808e-06,1.3781892960196274e-07
1947,9.394838343723677e-06,1.5854758039779426e-07
1948,9.136734661296941e-06,1.108932536908469e-07
1949,7.661193421881762e-06,1.0995049137818569e-07
1950,8.723123528397991e-06,1.1911604858028113e-07
1951,8.904402648113319e-06,1.4179664908908762e-07
1952,7.396125511149876e-06,1.012301140690397e-07
1953,7.149511702664313e-06,1.0881565870590748e-07
1954,8.057455943344394e-06,1.1140691391631208e-07
1955,7.18374440111802e-06,1.295213873930834e-07
1956,8.488287221553037e-06,1.3256135389383417e-07
1957,6.889562200740329e-06,9.365139774786257e-08
1958,7.655961326236138e-06,1.6048151962877455e-07
1959,7.971644208737416e-06,1.0153479301777679e-07
1960,7.532634981544106e-06,1.1419374779109148e-07
1961,7.440783974743681e-06,1.0283275742040132e-07
1962,8.056821570789907e-06,1.0781326231779076e-07
1963,7.82715733294026e-06,1.1444913994296257e-07
1964,7.830675713194069e-06,1.7278470565429416e-07
1965,6.645249413850252e-06,1.0779925574411209e-07
1966,8.259868309323792e-06,8.917910676586871e-08
1967,7.795353667461313e-06,1.0452311371977885e-07
1968,7.665948487556307e-06,1.0060771327147222e-07
1969,7.5806478889717255e-06,8.03891131440082e-08
1970,7.1123879479273455e-06,1.1266876143167792e-07
1971,6.717426913382951e-06,9.917107313128781e-08
1972,6.505539431600482e-06,9.285565560901432e-08
1973,6.4603723330947105e-06,8.10440976550808e-08
1974,6.149312412162544e-06,6.469407409781525e-08
1975,5.286546070237819e-06,6.739546698497634e-08
1976,5.728953510697465e-06,6.056338541782225e-08
1977,5.808023615827551e-06,5.3478714789889636e-08
1978,6.14970031165285e-06,8.792075245622755e-08
1979,6.658960273853154e-06,8.836479992169188e-08
1980,6.538491788887768e-06,7.390696232789651e-08
1981,6.9840393734921236e-06,6.768337978968475e-08
1982,6.449595048252377e-06,5.77297694093204e-08
1983,6.5193005411856575e-06,5.810090897284681e-08
1984,6.525044454974704e-06,6.552879483479046e-08
1985,6.29648434369301e-06,4.752290916343327e-08
1986,7.281501439138083e-06,5.1552576429969577e-08
1987,6.2134784002410015e-06,8.494035252937238e-08
1988,6.538042498505092e-06,4.137622067190705e-08
1989,7.636721875314834e-06,4.664904018625293e-08
1990,6.558540917467326e-06,3.5416231725093894e-08
1991,7.276422820723383e-06,8.323280376032471e-08
1992,6.38382130091486e-06,5.3997451843201816e-08
1993,6.5523283865331905e-06,7.533322232688988e-08
1994,7.333202802328742e-06,6.751905967661287e-08
1995,6.531342023663456e-06,6.88651251579131e-08
1996,6.2108700831231545e-06,6.565853460926974e-08
1997,6.2448702919937205e-06,6.233362803698128e-08
1998,6.111788252383121e-06,5.8171176320342965e-08
1999,6.156974905024981e-06,6.261175400368302e-08
2000,6.416307314793812e-06,6.229424442949494e-08
2001,6.528005542350002e-06,3.680217908197392e-08
2002,6.667781008218299e-06,6.089898008099226e-08
2003,6.745414566466934e-06,6.875422897678618e-08
2004,7.297417596419109e-06,5.902420419090504e-08
2005,8.086031812126748e-06,6.035024391337629e-08
2006,8.881464736987255e-06,7.123949608001112e-08
2007,1.1631125744315796e-05,8.867744583085369e-08
2008,1.2510912256402662e-05,7.407945190607279e-08
2009,1.4912044662196422e-05,9.154929436760995e-08
2010,1.9540442735888064e-05,1.0486820656296914e-07
2011,2.4733069039939437e-05,1.384277865668082e-07
2012,2.757614856818691e-05,1.7157433163106361e-07
2013,2.7490174943523016e-05,1.8212986674370768e-07
2014,2.7560053240449633e-05,1.8016503844364706e-07
2015,2.8703320822387468e-05,2.1611610279137494e-07
2016,2.937843783001881e-05,2.433824555225783e-07
2017,2.818415487126913e-05,2.0628013075452145e-07
2018,3.0334816074173432e-05,2.0987324589327727e-07
2019,3.0663638426631223e-05,2.1504827074636523e-07
