year,toutes_DET voies_NOUN
1800,1.1318991832709457e-07
1801,1.285838564513142e-07
1802,1.6783801015662903e-07
1803,1.2482170674843474e-07
1804,1.4831105943358125e-07
1805,1.1087222873129576e-07
1806,4.178420169864694e-07
1807,6.263301202125149e-07
1808,5.665185085490521e-07
1809,2.43975299518695e-07
1810,1.8487001485212318e-07
1811,3.5600491088416675e-07
1812,2.853912874911657e-07
1813,2.530652523091703e-07
1814,1.6677388714469998e-07
1815,1.348611773366315e-07
1816,7.879853569647821e-08
1817,2.2574664493291152e-07
1818,1.776255418306505e-07
1819,2.1219652879267414e-07
1820,3.963404671125659e-07
1821,2.5837099393299923e-07
1822,2.666813685436864e-07
1823,6.413863786747243e-07
1824,7.730581614850962e-07
1825,6.727358226044089e-07
1826,9.389311230734165e-07
1827,6.627219519828031e-07
1828,5.842756145568728e-07
1829,3.9436608806342477e-07
1830,3.245855983990964e-07
1831,1.091384405071949e-07
1832,2.516574255650994e-07
1833,1.5985406887075726e-07
1834,2.0349277241038521e-07
1835,6.284925859745272e-07
1836,7.473473999652924e-07
1837,1.3025171483604936e-06
1838,7.681901337264208e-07
1839,3.5306948120705783e-07
1840,5.01931467056238e-07
1841,4.4815427813205133e-07
1842,8.304832341821111e-07
1843,2.7289930182305966e-07
1844,4.4018262101985783e-07
1845,3.950801366059409e-07
1846,3.050195083176277e-07
1847,4.4601959459100726e-07
1848,3.395083538748622e-07
1849,3.971842605920983e-07
1850,3.598167879204084e-07
1851,3.721326073957698e-07
1852,3.7826269227991816e-07
1853,4.7237980993486417e-07
1854,3.6057910968168017e-07
1855,4.2933120170118855e-07
1856,3.862183053371382e-07
1857,4.295727951131312e-07
1858,3.988345920191705e-07
1859,3.67145691626547e-07
1860,3.2269146643670865e-07
1861,2.4664490894110713e-07
1862,3.777036647889531e-07
1863,3.2564928531542137e-07
1864,4.377586613202311e-07
1865,3.459530475424799e-07
1866,2.9826207992300624e-07
1867,5.255594999198365e-07
1868,3.9420196173978184e-07
1869,5.279084120957123e-07
1870,4.4725580039539636e-07
1871,5.045059161545851e-07
1872,4.668545869890295e-07
1873,3.3461764203934763e-07
1874,5.3711739056439e-07
1875,4.090891962960086e-07
1876,4.449866750633191e-07
1877,4.100533148587715e-07
1878,4.6923717889058025e-07
1879,3.8427655546513506e-07
1880,4.4989102221393296e-07
1881,4.3857072284936294e-07
1882,4.3592772414058345e-07
1883,4.853252306702416e-07
1884,4.2250860943227053e-07
1885,4.447488608505523e-07
1886,7.30532089487923e-07
1887,4.4657845243989414e-07
1888,4.7681423431811254e-07
1889,4.0598085160326036e-07
1890,5.000996901038945e-07
1891,4.882652513416019e-07
1892,5.635392561487151e-07
1893,5.376297753656445e-07
1894,5.381514451840985e-07
1895,5.446845960932478e-07
1896,4.487639051475867e-07
1897,5.529551163618862e-07
1898,4.775651500921185e-07
1899,5.892398782236796e-07
1900,4.635610499903464e-07
1901,3.671801431792687e-07
1902,4.2523057963705924e-07
1903,3.8719580697232914e-07
1904,4.622177582902509e-07
1905,4.567271632005543e-07
1906,4.2336637839923696e-07
1907,3.898275329206058e-07
1908,3.8407061531131603e-07
1909,3.740668930163338e-07
1910,4.259288024499597e-07
1911,4.229697490032436e-07
1912,3.9226941961345574e-07
1913,4.0090601594044983e-07
1914,3.9108983740376857e-07
1915,2.415056199467358e-07
1916,3.9664738227251917e-07
1917,2.423579759103234e-07
1918,2.0216021656693783e-07
1919,4.3737280464029027e-07
1920,3.558948833415343e-07
1921,3.2865722765507144e-07
1922,3.63732232777636e-07
1923,2.898153965702477e-07
1924,2.1786845372240293e-07
1925,2.727548116254752e-07
1926,3.544471898209167e-07
1927,3.8241841693320566e-07
1928,3.5763509576014485e-07
1929,1.8715883332021122e-07
1930,2.468346842476876e-07
1931,2.7372855360141557e-07
1932,2.1042309938934523e-07
1933,2.5808989878584043e-07
