year,quelles_DET voies_NOUN
1800,1.4148740490327327e-07
1801,5.9529565277216534e-08
1802,4.923248297927785e-08
1803,1.4627543976075685e-07
1804,3.9549615138412264e-08
1805,1.0518647619583987e-07
1806,1.0950342499427279e-07
1807,1.3095993267597805e-07
1808,1.1330369886763947e-07
1809,9.93973401364201e-08
1810,1.5210823534062e-07
1811,4.763445815569867e-08
1812,1.8937177781452874e-07
1813,1.2078115219082974e-07
1814,6.92268957713793e-08
1815,9.979727244591174e-08
1816,2.016315363562171e-07
1817,9.808302403602198e-08
1818,9.894576891156248e-08
1819,1.500902300222151e-07
1820,1.6375743427943235e-07
1821,1.646868579285865e-07
1822,1.5439448475262907e-07
1823,9.685033397488496e-08
1824,1.1621135787009962e-07
1825,9.069606643485884e-08
1826,1.3388136776981696e-07
1827,1.4931982528221255e-07
1828,1.430879024155729e-07
1829,1.79179380666028e-07
1830,1.5655254093083215e-07
1831,1.4187997066095193e-07
1832,1.4206467513488974e-07
1833,1.5637898354015078e-07
1834,1.3908451190758342e-07
1835,1.4823653060602737e-07
1836,8.333730006082618e-08
1837,1.7394727391817355e-07
1838,1.0478188627871532e-07
1839,1.244482583651063e-07
1840,1.6497493904310545e-07
1841,1.996790528480119e-07
1842,1.7374406269254905e-07
1843,2.1501155889058765e-07
1844,2.014302007413704e-07
1845,2.1149064011183327e-07
1846,1.4987523089260435e-07
1847,1.5047094326092747e-07
1848,1.1826475798670799e-07
1849,2.2037860691881406e-07
1850,1.480001152742716e-07
1851,1.3801799370050105e-07
1852,1.8555054270841254e-07
1853,1.7617198810881973e-07
1854,1.6574169725558363e-07
1855,1.4169521733720103e-07
1856,1.5997514735133223e-07
1857,1.6792391743791768e-07
1858,1.6736372110415232e-07
1859,1.5887580540052681e-07
1860,1.341114876929339e-07
1861,1.7260426710130616e-07
1862,1.4457555952418488e-07
1863,1.293606732843955e-07
1864,2.1048856235772462e-07
1865,1.910978792984963e-07
1866,1.8489329400850352e-07
1867,2.0333279593387488e-07
1868,1.773414806116591e-07
1869,1.6115613288292252e-07
1870,1.6743421848985918e-07
1871,1.4975859752297538e-07
1872,2.304036264000331e-07
1873,1.4665711489669775e-07
1874,2.0851385951203838e-07
1875,1.3674450372036517e-07
1876,1.3119852204646065e-07
1877,1.3915835772593255e-07
1878,1.6607493935616446e-07
1879,2.1810290995460946e-07
1880,1.4889403399109824e-07
1881,1.4851440710561548e-07
1882,1.6305693506524221e-07
1883,2.129617255874905e-07
1884,1.6636276534143235e-07
1885,1.2891271383708158e-07
1886,1.4907501877381435e-07
1887,1.351487464162915e-07
1888,1.4710226636793777e-07
1889,1.4535116549252436e-07
1890,1.422301796338843e-07
1891,1.230224468962149e-07
1892,1.0969896924173383e-07
1893,1.1639406993779744e-07
1894,1.1594832161065938e-07
1895,1.3541883170375968e-07
1896,1.50963943568172e-07
1897,1.5091187677285234e-07
1898,1.4372221635028382e-07
1899,1.636163258211809e-07
1900,1.5313607226730142e-07
1901,1.4586608210187535e-07
1902,1.1981092540302996e-07
1903,1.5552634202720128e-07
1904,1.306033938774931e-07
1905,1.79594414007056e-07
1906,1.352920540043101e-07
1907,1.4451390040193246e-07
1908,1.232758604086115e-07
1909,1.35324194960873e-07
1910,1.33069354646409e-07
1911,1.388617598685471e-07
1912,1.771203210765293e-07
1913,1.6439268391010842e-07
1914,1.7679404029635748e-07
1915,1.578622101927607e-07
1916,1.834906209197129e-07
1917,1.458534510945242e-07
1918,1.6999836649489453e-07
1919,2.255922871841065e-07
1920,1.9687802232937202e-07
1921,1.7947411223850906e-07
1922,1.9256411398771434e-07
1923,1.5393124197515817e-07
1924,1.8306106830401347e-07
1925,1.8586920846885846e-07
1926,1.4044134322155344e-07
1927,1.4493991917774451e-07
1928,1.4168290696225938e-07
1929,1.5262357333512e-07
1930,1.7541017571787165e-07
1931,1.7336142210666594e-07
1932,2.0713524673254824e-07
1933,1.6403046299018342e-07
1934,2.0129055045003952e-07
1935,2.1064180000252009e-07
1936,1.7702082955040055e-07
1937,1.4731608066753665e-07
1938,1.7114083306069006e-07
1939,1.758815857400009e-07
1940,1.8764793763281773e-07
1941,1.5938114472646703e-07
1942,1.9115533689273434e-07
1943,2.670976331220487e-07
1944,2.217098398205053e-07
1945,2.3092142376057723e-07
1946,2.1995345100833674e-07
1947,1.8238931964731364e-07
1948,1.7829895515575345e-07
1949,1.7277934061254996e-07
1950,1.8186468797587452e-07
1951,2.1429418151086566e-07
1952,1.518451782089869e-07
1953,2.068574818103741e-07
1954,2.394271341188414e-07
1955,1.6330958008126117e-07
1956,1.9535357687061605e-07
1957,2.005553545458838e-07
1958,1.9274327422991178e-07
1959,2.0384466026257542e-07
1960,1.8478624985718284e-07
1961,1.8204176832625762e-07
1962,1.889903078478028e-07
1963,2.133797583070418e-07
1964,1.8799462342400375e-07
1965,1.8878549079559548e-07
1966,1.861129081959234e-07
1967,1.7058961487848023e-07
1968,1.877411857087452e-07
1969,2.0256239352534067e-07
1970,1.8532862222642166e-07
1971,1.7830239507077295e-07
1972,1.8468529372484e-07
1973,1.709093195856326e-07
1974,2.0870870587330614e-07
1975,1.5992144852816637e-07
1976,1.7426256437858e-07
1977,1.8453095584902712e-07
1978,1.5504943684518935e-07
1979,1.7146281861002421e-07
1980,1.7169154453711144e-07
1981,1.8027815507082323e-07
1982,1.9739856593758986e-07
1983,1.705135375118516e-07
1984,1.7397024976162356e-07
1985,1.5459983515597742e-07
1986,1.5465772218448137e-07
1987,1.8454666994571767e-07
1988,1.589086755515723e-07
1989,1.6958297344160655e-07
1990,1.5855573654022237e-07
1991,1.664656057442926e-07
1992,1.7191025136753524e-07
1993,1.7005366892419715e-07
1994,1.5086290083843323e-07
1995,1.594200602639262e-07
1996,1.4039182083536161e-07
1997,1.654238612758263e-07
1998,1.711758432776378e-07
1999,1.2796563453321141e-07
2000,1.4667864256523444e-07
2001,1.3625568229258533e-07
2002,1.1478800665543076e-07
2003,1.4667568493109684e-07
2004,1.427152440669488e-07
2005,1.3826510958381277e-07
2006,1.441261403556382e-07
2007,1.222310723747455e-07
2008,1.3453509861705015e-07
2009,1.2826437689739123e-07
2010,1.2518051661913887e-07
2011,9.177532422910417e-08
2012,9.157439517792909e-08
2013,1.0933369942733862e-07
2014,1.1866639582081007e-07
2015,8.91063303143369e-08
2016,7.808951751897553e-08
2017,7.873863605567522e-08
2018,7.666955958995914e-08
2019,7.193785478420978e-08
