year,quelques_DET îles_NOUN,quelques_DET iles_NOUN,quelques_DET villes_NOUN
1800,7.671761608207817e-07,3.458580977167003e-08,1.5783706075467308e-06
1801,1.1096311389735547e-06,6.667311325259107e-08,1.614441742958661e-06
1802,6.467358275585866e-07,4.699464284385613e-08,1.855169529108025e-06
1803,8.015894454871386e-07,5.460949736857401e-08,1.9600909695327573e-06
1804,8.552604526812502e-07,9.145848367531073e-08,1.8934378758217463e-06
1805,4.832891951078722e-07,2.2743021688143017e-08,2.5642757464083843e-06
1806,3.1410192491421185e-07,1.4408345627714425e-08,1.5532196897538597e-06
1807,6.177892508674176e-07,8.540865792383556e-09,1.6597748881963525e-06
1808,7.749973276460764e-07,9.064295980465431e-09,2.6173155731612496e-06
1809,7.138536375350668e-07,2.936739762482432e-08,2.631770570360459e-06
1810,3.8846104333245535e-07,3.510190094146992e-08,1.2098455073328296e-06
1811,3.6603321529327104e-07,3.008491944456182e-08,2.1159727623398794e-06
1812,4.214188962237131e-07,5.3344164641089264e-09,1.5949904650369717e-06
1813,6.527933322786339e-07,2.0130190847567064e-08,1.4838826558616347e-06
1814,2.769075950759259e-07,1.5733386149463513e-08,2.4323813505588987e-06
1815,3.7761128623969853e-07,2.4275012222574333e-08,2.1577788089643946e-06
1816,3.337349721022065e-07,2.3176038865813098e-08,1.1657546963306231e-06
1817,7.58197328032395e-07,5.2933695871004716e-08,1.866691256680042e-06
1818,5.626795589463995e-07,2.3842354535119625e-08,1.9014278294093856e-06
1819,4.864993479181123e-07,1.9666995143552413e-08,2.402478642693495e-06
1820,5.921374075512631e-07,2.966620371580575e-08,2.0315415696359196e-06
1821,4.5461460462803416e-07,9.861488403650753e-09,2.083732368873825e-06
1822,3.458837483094612e-07,2.3058916553964082e-08,2.326945434560912e-06
1823,4.0123709332817725e-07,4.150728605267773e-08,2.2423815408956216e-06
1824,4.606348618096945e-07,3.705289497446529e-08,1.6370642725860307e-06
1825,5.371320384028877e-07,2.377469621173134e-08,2.0049993594284388e-06
1826,7.759834321774406e-07,2.113916308665864e-08,2.0320019729069827e-06
1827,5.90827221258472e-07,4.4242909502667516e-08,1.8139593223054362e-06
1828,5.796894502196892e-07,5.411657844067719e-08,1.9014180594467689e-06
1829,4.946722569343365e-07,7.372931309923558e-08,2.170728279793366e-06
1830,5.395843976074843e-07,5.114049561605327e-08,1.8013979001807456e-06
1831,4.1940343287194537e-07,1.5591206325993312e-08,1.5949803682246966e-06
1832,4.356650065151513e-07,5.0060886991332154e-08,1.5830064512556419e-06
1833,8.305461882684995e-07,1.0077756618098732e-07,1.3066332584799056e-06
1834,4.2845498171573126e-07,5.8807546166050884e-08,2.0311939863404405e-06
1835,4.931133474883609e-07,4.9160071569076536e-08,1.9890921265641737e-06
1836,4.758291147766158e-07,4.032449923974113e-08,1.9281831811213124e-06
1837,4.2999767391194155e-07,4.5226292488820263e-08,2.0066557908648974e-06
1838,4.532132287238255e-07,6.249040485073465e-08,2.484466932628493e-06
1839,4.1039959697286577e-07,5.8728391039153394e-08,2.1596667068024544e-06
1840,3.9937946816337444e-07,6.560779208797385e-08,2.0695118223557074e-06
1841,3.158909738232296e-07,5.585877094205216e-08,1.634029615615873e-06
1842,3.300466300260041e-07,3.6224632182779715e-08,1.7636028317724595e-06
1843,3.5382397367555996e-07,3.7804230856863796e-08,1.7945195338597841e-06
1844,2.876006179874935e-07,3.677335985718955e-08,2.253054404377508e-06
1845,3.772234160592802e-07,3.9061595402678506e-08,1.6941572056339282e-06
1846,3.863970849948828e-07,4.683601084742861e-08,2.0760060976954264e-06
1847,3.510988584309871e-07,4.0988498817284835e-08,1.8541902591096004e-06
1848,3.588168828727589e-07,5.390298735141741e-08,1.807761279337683e-06
1849,3.276351243641784e-07,5.7817962639816756e-08,1.2527224839686824e-06
1850,2.389726541096593e-07,4.412847331991543e-08,1.744093076183617e-06
1851,2.631370996653004e-07,3.1602249261908355e-08,1.6787889407510193e-06
1852,2.3112435965089162e-07,4.036538281404489e-08,1.6836270262388098e-06
1853,3.636906455994904e-07,4.001194309211087e-08,1.4738727927010586e-06
1854,2.857615513107703e-07,3.325225317318825e-08,1.4953122615679604e-06
1855,3.0090333069665576e-07,4.8823821430232783e-08,1.3760888464275922e-06
1856,2.2727860571336578e-07,2.6403664143970218e-08,1.215604015669669e-06
1857,2.0258262711791986e-07,2.3431243612037633e-08,1.4341873963985563e-06
1858,1.7421486298019317e-07,1.517039577292323e-08,1.440208805547627e-06
1859,2.0725145688516022e-07,1.7822606501738392e-08,1.4288638894299766e-06
1860,2.489988166765045e-07,2.1970483377042882e-08,1.4152652738630422e-06
1861,1.711894812572723e-07,2.1693433105429705e-08,1.273310175520237e-06
1862,2.213813283802324e-07,2.25899317307654e-08,1.2799455504364232e-06
1863,2.0278161017017737e-07,1.8480097063733325e-08,1.3170815265084457e-06
1864,2.6275108844231454e-07,2.0617330287464597e-08,1.2907407267448434e-06
