year,aurions_VERB eu_VERB,aurions_VERB vu_VERB
1800,3.018398047061055e-07,2.6725399493443547e-07
1801,3.405091035801888e-07,1.0715321963061797e-07
1802,3.0210841828193225e-07,4.4756802708434407e-08
1803,1.794312112224361e-07,9.751695984050457e-08
1804,2.84262853256223e-07,4.943701981119375e-08
1805,1.5635826855486812e-07,7.107194477384837e-08
1806,2.1900684998854558e-07,1.498467980809437e-07
1807,1.6512339584551228e-07,5.4092147649953404e-08
1808,1.7222161829977267e-07,1.0197332755979005e-07
1809,2.0783080856290326e-07,4.743964154840796e-08
1810,2.667744638529257e-07,1.0998595456612748e-07
1811,1.7298829391165782e-07,1.2535384286138651e-08
1812,1.440292436427626e-07,5.067695596494559e-08
1813,4.112310421078291e-07,1.7254450312975678e-07
1814,3.681612383843458e-07,8.496028414128887e-08
1815,2.3196122356239357e-07,1.3216394734172354e-07
1816,3.3605255111979204e-07,8.57513455798653e-08
1817,3.1293154734157724e-07,8.095742032310227e-08
1818,2.6345801984462014e-07,2.992215399899578e-07
1819,2.598113439944427e-07,1.2421260464634543e-07
1820,2.7411570613367076e-07,8.543866414356671e-08
1821,2.98803087162014e-07,2.2484192641059053e-07
1822,2.2858404236103524e-07,6.215881853677274e-08
1823,3.9036612520249037e-07,8.30145694408202e-08
1824,3.772658487832814e-07,5.136878655775945e-08
1825,1.9283920948964806e-07,9.950150570148253e-08
1826,1.3388135755576513e-07,6.605988289720699e-08
1827,2.037017310385636e-07,1.0784209791836474e-07
1828,3.191960900039703e-07,1.3850174696017348e-07
1829,2.417635585061362e-07,2.1604404309982783e-07
1830,2.776198471110547e-07,9.080046936560393e-08
1831,3.9289838582590164e-07,5.76874619184764e-08
1832,2.489514372427948e-07,7.035583848846727e-08
1833,3.822597420821694e-07,1.4247862623051333e-07
1834,2.959046412343014e-07,1.0361329572106115e-07
1835,3.6680975767922064e-07,8.395027606411531e-08
1836,2.795831903767976e-07,8.938597773067158e-08
1837,2.574419681877771e-07,8.349469027280065e-08
1838,2.4112458163472184e-07,9.341999884782126e-08
1839,3.334933751375502e-07,1.0557127438914904e-07
1840,2.6497903604649764e-07,6.560779297615227e-08
1841,3.171751075115026e-07,1.0914932602190675e-07
1842,3.038844056391099e-07,1.1538215716200284e-07
1843,2.386392168318707e-07,8.801297468608027e-08
1844,2.0911419085223315e-07,1.2513919500634074e-07
1845,3.0077427481955965e-07,7.86812108799495e-08
1846,2.640380216689664e-07,1.3172628143820475e-07
1847,2.9932391498732613e-07,9.707802917091612e-08
1848,2.9204153406681144e-07,1.1504666730388635e-07
1849,3.1590394655722775e-07,9.133562173246901e-08
1850,2.980369231408986e-07,9.233034603539636e-08
1851,2.6313711032344145e-07,5.224045551699419e-08
1852,2.4023913169912703e-07,1.3672145371401712e-07
1853,2.645565757575241e-07,9.913406984196627e-08
1854,3.579812926091108e-07,1.1014808620757321e-07
1855,2.695924194995314e-07,8.119613426060823e-08
1856,2.72320164640405e-07,1.1855763659696095e-07
1857,3.050943178095622e-07,7.66396937024183e-08
1858,3.1221654239743657e-07,6.606462932268187e-08
1859,3.2182535392166756e-07,8.249320870845622e-08
1860,3.3001495580720075e-07,9.978261061860394e-08
1861,3.414357649944577e-07,9.337608020132393e-08
1862,2.909583258769999e-07,1.251482188990849e-07
1863,2.6970951694238465e-07,1.1138004651911615e-07
1864,3.893319160397368e-07,9.301772507797068e-08
1865,3.4454100727998593e-07,9.084209295906476e-08
1866,2.559312406447134e-07,1.109359715201208e-07
1867,3.2028555096985656e-07,1.358787216076962e-07
1868,2.855247203115141e-07,9.533957268104132e-08
1869,3.594270197027072e-07,1.0792577143092785e-07
1870,2.568853858520015e-07,1.2385545744564297e-07
1871,4.142259228956391e-07,1.2745412902859243e-07
1872,4.6987827317934716e-07,7.196333484671413e-08
1873,3.465896725174389e-07,1.0415647722084032e-07
1874,4.110531222067948e-07,6.512323835750067e-08
1875,3.513017645673244e-07,3.558789956059627e-07
1876,3.403906418952829e-07,9.975924086802479e-08
1877,2.4430022449450917e-07,8.287653230354408e-08
1878,2.7296681537336553e-07,1.050801401447643e-07
1879,3.48842462472021e-07,1.0080386658728457e-07
1880,3.324444435293117e-07,7.059630746653056e-08
1881,2.8657007078436436e-07,1.0946836681569039e-07
1882,2.9882679086767894e-07,8.319231170617059e-08
1883,2.7362736432223755e-07,6.888079440159345e-08
1884,3.347060442138172e-07,8.780256877116699e-08
1885,2.7265039648227685e-07,6.510092021017044e-08
1886,2.5491181077086367e-07,1.0390076710109497e-07
1887,3.0228920877561904e-07,5.157850324621904e-08
1888,2.808892247685435e-07,8.306205501185104e-08
1889,2.875697759918694e-07,6.265136676120164e-08
1890,3.0084635227467516e-07,8.848422083929108e-08
1891,2.849276370398002e-07,1.032623657692966e-07
1892,2.990080361087166e-07,6.644623340434919e-08
1893,3.023782539912645e-07,9.668713829569242e-08
1894,2.734868189691042e-07,7.183754746620252e-08
1895,3.4306103202652594e-07,7.884384700673763e-08
1896,3.2787480108709133e-07,7.902018950289857e-08
1897,3.1930389354783983e-07,8.215666014166345e-08
1898,3.072486833843868e-07,8.713866606058218e-08
1899,2.957254423563427e-07,6.743645997175918e-08
1900,2.553998115217837e-07,8.098042769688618e-08
1901,3.0402739525925426e-07,6.371162442064815e-08
1902,2.798861657993257e-07,5.9414436037741325e-08
1903,2.4300990730807825e-07,8.370341220143018e-08
1904,2.5959440108636045e-07,7.739460272659926e-08
1905,2.4874859150259e-07,6.5541641447453e-08
1906,3.168817670484714e-07,1.1780182518350557e-07
1907,2.658850064563012e-07,6.839981381290272e-08
1908,3.108909254478931e-07,6.237463878733251e-08
1909,2.75599262522519e-07,6.491160320365452e-08
1910,2.6026015120805823e-07,6.19921465272455e-08
1911,2.9102446319484443e-07,5.2671705219609066e-08
1912,2.464056194639852e-07,8.178790977808603e-08
1913,2.8424025799722585e-07,4.666630815108874e-08
1914,3.107289217041398e-07,8.504864723590799e-08
1915,4.217512810100743e-07,8.953379193599176e-08
1916,4.3620224232654436e-07,8.020847275247434e-08
1917,3.5969873124486185e-07,6.360526327853222e-08
1918,3.549290283899609e-07,7.925599732061528e-08
1919,3.80284149059662e-07,6.629650783906982e-08
1920,3.369643195583194e-07,8.708066445706208e-08
1921,3.241135857479094e-07,6.891200143854803e-08
1922,3.430739923260262e-07,7.968170478989123e-08
1923,3.1104727327146975e-07,5.944930947521243e-08
1924,2.977965323225362e-07,6.316896161706609e-08
1925,2.8925208539476444e-07,6.268961527666761e-08
1926,2.5859040420073143e-07,7.57937428375044e-08
1927,2.8542015684251965e-07,3.9022285847067906e-08
1928,2.4794508135528304e-07,9.02657291135256e-08
1929,2.9856289529561764e-07,5.013182757807044e-08
1930,2.762447763871023e-07,5.04172987803031e-08
1931,2.600421282750176e-07,6.044839295782367e-08
1932,2.32342173944744e-07,5.698959171240858e-08
1933,2.1564845553712075e-07,4.588265056781893e-08
1934,2.576039719315304e-07,8.02765853791243e-08
1935,2.14232287021332e-07,6.821922227118193e-08
1936,2.2794463916397945e-07,4.122403041151301e-08
1937,2.1530811977754638e-07,3.651424407280501e-08
1938,2.6578689471534744e-07,4.148868626430158e-08
1939,2.4011660570977256e-07,3.364691281149135e-08
1940,2.4850672275533725e-07,4.3108308034334186e-08
1941,2.0660517918713595e-07,4.427253941230447e-08
1942,2.0936060707299475e-07,4.5513175450651033e-08
1943,2.52581457971246e-07,3.4838823381733164e-08
1944,2.9239993182272883e-07,7.390327994016843e-08
1945,2.9191954808993614e-07,7.84261473540937e-08
1946,2.7006942104890186e-07,5.150808490839154e-08
1947,2.9206134399828443e-07,5.602809238780537e-08
1948,2.3918153146951227e-07,2.5005341797168512e-08
1949,2.1793758264720964e-07,3.337782672474532e-08
1950,2.605663667054614e-07,6.7002780212988e-08
1951,2.6866732127928117e-07,6.076999170545605e-08
1952,2.3409464233736799e-07,4.007025466989944e-08
1953,1.960836613079664e-07,5.0636987936059086e-08
1954,2.091322670594309e-07,5.374894840315392e-08
1955,2.1493042368092574e-07,4.129667274810345e-08
1956,2.258775708696703e-07,4.447782231409292e-08
1957,1.7846775790530955e-07,5.3893728590992396e-08
1958,1.9687939811774413e-07,6.121459961150322e-08
1959,1.8911825350187428e-07,4.2629114460623896e-08
1960,2.2285082934558886e-07,4.498541628095154e-08
1961,2.0288625535158644e-07,6.322824930293791e-08
1962,2.4162852696463233e-07,4.439369405417892e-08
1963,1.907485653873664e-07,6.142750663684637e-08
1964,1.782602652156129e-07,3.832900219435942e-08
1965,1.9371033488368994e-07,4.4323552828018364e-08
1966,2.2100908836364397e-07,4.154306054715562e-08
1967,1.888318479359441e-07,3.845661922241561e-08
1968,2.519684301205416e-07,4.581244184009847e-08
1969,2.525217439597327e-07,5.4046918052108595e-08
1970,1.8624835718128452e-07,5.5184699476740207e-08
1971,2.0604973371973756e-07,6.936836882687203e-08
1972,1.5903455619081797e-07,2.8215808356435446e-08
1973,1.615368745433443e-07,2.4809416743210022e-08
1974,1.7270505736632913e-07,3.206575982517279e-08
1975,1.4792733793456136e-07,2.341706917263764e-08
1976,1.794047506109564e-07,3.25671045686704e-08
1977,1.604361443696689e-07,2.4682483612537e-08
1978,1.615840830027082e-07,3.326731246033887e-08
1979,1.7087762671508244e-07,2.750427441355896e-08
1980,1.381491614438346e-07,3.979605622816962e-08
1981,1.6256662149771728e-07,2.7199863694704618e-08
1982,1.421518049937731e-07,2.110550845202397e-08
1983,1.4651533319920418e-07,2.7787390166622572e-08
1984,1.7107075223066204e-07,5.683028447833749e-08
1985,1.3595160908153048e-07,3.007778914820847e-08
1986,1.6185110496280686e-07,3.11713250766843e-08
1987,1.2588282061187783e-07,2.261002229886344e-08
1988,1.217300393818732e-07,2.0987938498251424e-08
1989,1.426911779844886e-07,1.7013178421620978e-08
1990,1.4220978528101114e-07,1.5801088437683575e-08
1991,1.365721402635245e-07,2.2273567878983158e-08
