year,bonnes_ADJ oies_NOUN,bonnes_ADJ voies_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,2.6193008650921e-08
1802,0.0,1.3427040812530322e-08
1803,0.0,5.851017803593095e-08
1804,0.0,7.4155526164076946e-09
1805,0.0,2.842877711017877e-09
1806,0.0,3.7461699520235925e-08
1807,0.0,1.4234775136401367e-08
1808,0.0,3.3991110370834576e-08
1809,2.259030518203531e-09,1.129515236897305e-08
1810,0.0,7.488405628919281e-08
1811,0.0,6.518399686683551e-08
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,4.405347908686963e-08
1815,0.0,1.8880564667256294e-08
1816,2.3176038865813098e-09,5.3304887615013286e-08
1817,0.0,6.227493543065066e-08
1818,0.0,4.172412104708201e-08
1819,0.0,8.69488232524418e-08
1820,0.0,2.3732962262101864e-08
1821,0.0,1.4792232327920374e-08
1822,0.0,6.316138012607553e-08
1823,0.0,3.5577674140085946e-08
1824,0.0,1.4821158345057484e-07
1825,0.0,6.60408261410339e-08
1826,0.0,8.015265962058038e-08
1827,0.0,4.424290978022327e-08
1828,0.0,4.677873732816806e-08
1829,0.0,4.2865881511033876e-08
1830,0.0,2.6092090266160994e-08
1831,0.0,3.897801548191637e-08
1832,0.0,2.841293600397421e-08
1833,0.0,5.90765054653275e-08
1834,9.334530925997342e-10,4.947301235347368e-08
1835,0.0,6.958040899007756e-08
1836,7.392825018825988e-09,4.973355061110851e-08
1837,0.0,4.6617870452791976e-08
1838,0.0,9.846972659488529e-08
1839,0.0,6.991475487438947e-08
1840,1.2739377330817092e-09,7.96211097053856e-08
1841,6.420548537278137e-10,5.8426991245141835e-08
1842,0.0,5.0311989241436095e-08
1843,0.0,9.273850309909903e-08
1844,2.7442805805577564e-09,9.714753446132818e-08
1845,0.0,9.932805511425613e-08
1846,0.0,5.503231292891542e-08
1847,5.393223645455691e-10,7.172987182002544e-08
1848,0.0,7.240699773092274e-08
1849,0.0,4.8600607982507427e-08
1850,0.0,6.517436190733861e-08
1851,0.0,6.578427758086036e-08
1852,0.0,4.687592536356533e-08
1853,0.0,5.01642283268211e-08
1854,0.0,8.365019965594911e-08
1855,0.0,5.678422709820552e-08
1856,0.0,4.7630141608578924e-08
1857,0.0,1.0592874843950995e-07
1858,4.893676130990343e-09,8.466059853162733e-08
1859,0.0,6.976277688863775e-08
1860,0.0,7.735440732403731e-08
1861,0.0,8.488734692946309e-08
1862,0.0,7.454677586338221e-08
1863,9.989241656072068e-10,6.642845562510047e-08
1864,4.794727948009836e-10,4.411149845395812e-08
1865,0.0,4.706844336510585e-08
1866,4.865612801552288e-09,5.20620595523269e-08
1867,5.338092634588065e-09,8.298307818677131e-08
1868,0.0,4.643481688049178e-08
1869,4.883519144627257e-10,3.90681549333749e-08
1870,0.0,6.536815533308982e-08
1871,0.0,3.823623728749226e-08
1872,0.0,5.805445724149649e-08
1873,0.0,7.362785225950574e-08
1874,0.0,8.842421550525614e-08
1875,0.0,8.58229043387837e-08
1876,0.0,5.501873445723504e-08
1877,0.0,4.08197848855707e-08
1878,0.0,5.6163525385954927e-08
1879,0.0,5.070739916845923e-08
1880,0.0,5.840239936105718e-08
1881,6.972507571312292e-10,3.765154232837631e-08
1882,0.0,4.725323421439498e-08
1883,0.0,4.865891156669022e-08
1884,0.0,6.007544328667791e-08
1885,0.0,3.4161868001092444e-08
1886,6.453463874400711e-10,6.066255764380912e-08
1887,6.528924623161458e-10,4.8966935395355904e-08
1888,0.0,3.9945874164004636e-08
1889,0.0,4.1976417008982025e-08
1890,6.554386478008212e-10,5.177965434199905e-08
1891,0.0,4.780665108228277e-08
1892,0.0,4.387958796314706e-08
1893,0.0,4.434059874824925e-08
1894,0.0,4.4740929183717526e-08
1895,0.0,3.189865793729041e-08
1896,5.89702897624278e-10,3.656158042986135e-08
1897,0.0,3.8456310136325556e-08
1898,1.6975064687230201e-09,6.563691812289107e-08
1899,0.0,5.03009616181771e-08
1900,5.191053142894475e-10,6.592637191715767e-08
1901,0.0,6.25938767484513e-08
1902,4.910283846193408e-10,3.83002145554201e-08
1903,5.400220270956879e-10,5.34621804604285e-08
1904,0.0,4.245953988402107e-08
1905,0.0,3.9221767167418875e-08
1906,0.0,3.755254596171653e-08
1907,2.5714217422034835e-09,3.5485619775954547e-08
1908,9.822778146428846e-10,4.0273391732625896e-08
1909,1.6502950117569526e-09,2.8605114721358404e-08
