year,en_ADP ombres_NOUN,en_ADP nombres_NOUN
1800,6.288328968651058e-09,1.1318992694242525e-06
1801,0.0,8.310327004323881e-07
1802,8.951360541686881e-09,7.272980155903497e-07
1803,5.655983770225248e-08,4.797834662895184e-07
1804,2.4718509461507665e-09,9.195285315399815e-07
1805,1.1371510844071508e-08,9.097208817365754e-07
1806,4.3225035994964855e-08,1.0374009207225754e-06
1807,0.0,1.5231209999910789e-06
1808,0.0,1.5590589539371535e-06
1809,0.0,4.992457434127573e-07
1810,0.0,9.290303069064976e-07
1811,2.5070767684098882e-09,8.925193242248497e-07
1812,0.0,8.855131454765797e-07
1813,2.5881675469463516e-08,1.2595747875820962e-06
1814,6.293354459785405e-08,9.219763796863845e-07
1815,0.0,8.19955971564923e-07
1816,0.0,1.395197500642098e-06
1817,1.0898113522728181e-08,6.710124580422416e-07
1818,2.384235475716423e-09,5.173790782464494e-07
1819,3.1053151161586356e-09,5.682726715861008e-07
1820,1.1866481131050932e-09,3.9278052099689376e-07
1821,0.0,6.774842518098012e-07
1822,5.012807946513931e-09,7.248520148550597e-07
1823,7.906149512848515e-09,4.7239242473295917e-07
1824,2.778967189698278e-08,4.917930027659168e-07
1825,2.1133062855227536e-08,4.798966244390357e-07
1826,0.0,9.125071898097303e-07
1827,1.8434546111834038e-09,5.788447309806877e-07
1828,3.668920500743411e-09,5.053938233468003e-07
1829,4.286587973467704e-09,6.961419155016024e-07
1830,9.39315203396518e-09,9.821062993964347e-07
1831,9.354723218280014e-09,6.563897727573931e-07
1832,1.6235963684607668e-08,7.441483005354854e-07
1833,1.853380560135065e-08,7.239767914057893e-07
1834,5.600718555598405e-09,6.235466389892252e-07
1835,2.4201881387853064e-08,5.884082341367503e-07
1836,1.747394939854985e-08,4.986796415806793e-07
1837,1.0436836284100082e-08,6.97180648323581e-07
1838,1.8936485712828244e-09,6.078611818338686e-07
1839,1.8876983531868063e-08,5.705043728543302e-07
1840,1.1465439264668476e-08,6.662694485015663e-07
1841,1.5409316489467528e-08,6.985556777472368e-07
1842,2.2137275124123335e-08,4.239623492274802e-07
1843,7.088293507706567e-09,7.265500627795518e-07
1844,1.3721403568922597e-08,5.653217929335597e-07
1845,2.0088821273134272e-08,8.325700298073002e-07
1846,1.8148954339380907e-08,7.856740689149433e-07
1847,1.4022381478184798e-08,1.0031396247001112e-06
1848,7.24069959545659e-09,7.10393063485526e-07
1849,1.1731181359664333e-08,7.583370802421996e-07
1850,6.788996032014438e-09,6.94514310950467e-07
1851,9.029214709244116e-09,6.430090500053609e-07
1852,2.2135854038651814e-08,8.867362879527718e-07
1853,1.5527023222716707e-08,6.706479513951535e-07
1854,1.4028294081924741e-08,7.845453176003048e-07
1855,3.874064091746732e-08,6.830028169702018e-07
1856,1.863788057221427e-08,7.698480537499108e-07
1857,1.4644527368545823e-08,7.097714078696526e-07
1858,1.2723557318849998e-08,6.699442423041546e-07
1859,1.7822607167872206e-08,7.246162567753345e-07
1860,1.0527522853465143e-08,5.32784205864445e-07
1861,1.4619487842537637e-08,6.126037108700189e-07
1862,9.487771457372673e-09,5.358331529592419e-07
1863,1.6981710260211003e-08,4.7398950298038756e-07
1864,1.4863656971897399e-08,6.012588631421067e-07
1865,2.729969672543575e-08,6.598995536677421e-07
1866,9.244664589402873e-09,5.415426969079817e-07
1867,6.308654931785895e-09,5.124568964731679e-07
1868,2.5687345583946808e-08,9.247444161530893e-07
1869,1.0255390314739543e-08,6.72460601869318e-07
1870,1.548193218070537e-08,8.159551310171764e-07
1871,3.18635318130589e-09,7.880913308611071e-07
1872,1.3908880269752899e-08,6.204570128787168e-07
1873,9.577607151811662e-09,7.171233331604299e-07
1874,3.5847653734322193e-09,8.053773044025547e-07
1875,1.2015206607429718e-08,7.872821328192003e-07
1876,2.478866001354163e-08,7.448690126921065e-07
1877,8.040260790487253e-09,1.0674992445558473e-06
1878,1.2078177569208037e-08,9.499486743891339e-07
1879,1.7717043832021773e-08,7.862701822958229e-07
1880,1.4119262203848848e-08,6.87993091830208e-07
1881,9.761510710859511e-09,6.805167611645402e-07
