year,en_ADP airs_NOUN,en_ADP nerfs_NOUN
1800,0.0,6.917161954334006e-08
1801,2.3811825844433088e-09,2.3811825400343878e-08
1802,0.0,3.5805442166747525e-08
1803,7.801356671777171e-09,5.655983770225248e-08
1804,2.4718509905596875e-08,9.887403784603066e-09
1805,3.1271653710973624e-08,9.665784261869703e-08
1806,4.3225035994964855e-08,4.8988376022407465e-08
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,2.259030518203531e-09,2.0331274441787173e-08
1810,9.360507036149102e-09,1.8721014072298203e-08
1811,1.2535384286138651e-08,5.0141535368197765e-09
1812,2.9339290108509886e-08,1.0668832928217853e-08
1813,4.3136125782439194e-08,2.300593315851529e-08
1814,0.0,0.0
1815,3.506390555685357e-08,2.697223555614414e-09
1816,1.228330006597389e-07,7.648093003354006e-08
1817,6.227493631882908e-09,1.0898113522728181e-08
1818,5.960588467246453e-09,3.9339884239097955e-08
1819,0.0,6.624672010957511e-08
1820,2.0173018810965004e-08,1.1866481131050932e-08
1821,1.676452932031225e-08,4.832129363308013e-08
1822,1.0025615893027862e-09,2.5064039732569654e-08
1823,1.2847492847356534e-08,5.929612001409623e-08
1824,1.7684335773537896e-08,3.03160057057994e-08
1825,4.4027217427355936e-09,3.522177394188475e-08
1826,7.0463874735082754e-09,1.4092774947016551e-08
1827,5.530363722527909e-09,3.133872894522938e-08
1828,1.0089530988466322e-08,8.530240336313e-08
1829,1.7146351893870815e-08,6.515613648616636e-08
1830,1.982998831806526e-08,3.444155893816969e-08
1831,0.0,6.704218691311326e-08
1832,2.976593194148336e-08,2.841293600397421e-08
1833,2.085053074640797e-08,4.6334513115198206e-08
1834,1.8669061851994684e-09,5.880754372356023e-08
1835,6.050470346963266e-09,6.958040899007756e-08
1836,1.1425274948351216e-08,5.443807538085821e-08
1837,2.5048407792382932e-08,1.2524203896191466e-07
1838,2.1461350030449466e-08,4.86036455527028e-08
1839,5.2436064379435265e-08,9.648235987924636e-08
1840,7.0066574764382494e-09,7.898413656448611e-08
1841,1.733548060656176e-08,9.823439484080154e-08
1842,6.708265054555795e-09,5.2995293486901573e-08
1843,1.3585895075607368e-08,1.4412863436064072e-07
1844,1.0977122322231025e-08,9.495210662180398e-08
1845,5.580227835366713e-09,1.545723193885351e-07
1846,9.952652035849496e-09,6.322861167973315e-08
