year,en_ADP os_NOUN,en_ADP noces_NOUN
1800,2.389564883742423e-07,0.0
1801,1.7620750725200196e-07,1.904946067554647e-08
1802,4.184761053238617e-07,0.0
1803,2.691468239390815e-07,1.950339223455444e-09
1804,1.7055771195373381e-07,4.943701892301533e-09
1805,3.5820258403873595e-07,0.0
1806,3.976703339958476e-07,1.729001475325731e-08
1807,2.391442421867396e-07,0.0
1808,1.3369836437959748e-07,0.0
1809,1.9201759471343394e-07,0.0
1810,2.223120389999167e-07,1.4040760110134443e-08
1811,2.8329966994533606e-07,5.0141535368197765e-09
1812,2.2137828636914492e-07,2.6672082320544632e-09
1813,3.134558426154399e-07,2.8757416448144113e-09
1814,2.454408161156607e-07,0.0
1815,1.6992508733437717e-07,5.394447111228828e-09
1816,2.2248997311180574e-07,0.0
1817,1.7748357095115352e-07,1.556873407970727e-09
1818,2.527289666431898e-07,9.536942124910297e-09
1819,3.105315045104362e-07,2.070210003424222e-09
1820,2.408895625194418e-07,8.306536791735653e-09
1821,2.692186171771027e-07,9.861488514673056e-09
1822,2.7871212182617455e-07,6.015369535816717e-09
1823,3.024102284143737e-07,1.1859224713361982e-08
1824,2.6442293687978236e-07,1.6842225392110777e-09
1825,2.764909083907696e-07,0.0
1826,2.589547420939198e-07,8.807984341885344e-10
1827,3.4564774864520587e-07,9.217273055917019e-10
1828,2.595761259271967e-07,3.6689205562545624e-09
1829,3.0349042390298564e-07,2.571952872898464e-09
1830,3.1832348668103805e-07,3.1310507520032616e-09
1831,3.492430096230237e-07,0.0
1832,3.9236911675288866e-07,1.352996914505411e-08
1833,5.421138098427036e-07,3.4750886612755494e-09
1834,4.5085783995091333e-07,1.8669061851994684e-09
1835,5.347102955965966e-07,0.0
1836,4.4222534256732615e-07,1.8146025126952736e-08
1837,5.621976129077666e-07,2.0873671680021744e-09
1838,4.778306674779742e-07,1.8936485712828244e-09
1839,5.411401957644557e-07,3.4957374772659477e-09
1840,4.955617782798072e-07,3.1848443882154243e-09
1841,6.670949801446113e-07,1.2841097074556274e-09
1842,5.903273176954826e-07,2.683306021822318e-09
1843,5.03268836382631e-07,1.1813821920725331e-08
1844,4.807979507859272e-07,1.097712254427563e-09
1845,5.864819740963867e-07,1.674068439427856e-09
1846,5.632030024571577e-07,4.0981511517657054e-09
1847,6.358610562529066e-07,1.0786447290911383e-09
