year,bien_ADV être_VERB,bien_ADV etre_VERB,bien_ADV naître_VERB
1800,4.974068360752426e-06,0.0,6.288328968651058e-09
1801,4.698073098552413e-06,0.0,2.6193008650921e-08
1802,4.844923751079477e-06,4.475680270843441e-09,0.0
1803,4.183477813057834e-06,3.900678446910888e-09,7.801356893821776e-09
1804,4.674270257964963e-06,7.4155526164076946e-09,7.4155526164076946e-09
1805,5.142765985510778e-06,1.421438877713399e-08,1.7057265822018053e-08
1806,4.80374228573055e-06,2.0171682990621775e-08,1.4408345627714425e-08
1807,4.264738890924491e-06,3.701041828563234e-08,5.693910232196231e-09
1808,4.937775429425528e-06,4.5321479902327155e-09,2.7192887941396293e-08
1809,4.210832685203059e-06,2.259030518203531e-09,2.259030518203531e-09
1810,4.3666764213412534e-06,7.020380277111826e-09,7.020380277111826e-09
1811,3.973716502514435e-06,7.521229861140455e-09,7.521229861140455e-09
1812,4.90232878291863e-06,5.3344164641089264e-09,2.6672082320544632e-09
1813,5.213719759922242e-06,5.751483289628823e-09,3.163315653864629e-08
1814,4.534361778496532e-06,3.1466772298927026e-08,6.293354282149721e-09
1815,4.2346409827587195e-06,8.091670444798638e-09,1.8880564667256294e-08
1816,4.197180714982096e-06,1.3905623319487859e-08,3.7081662185300956e-08
1817,5.193729521124624e-06,3.113746815941454e-09,2.3353100786493997e-08
1818,4.794697360921418e-06,5.960588467246453e-09,1.1921177378582115e-09
1819,4.6331301746249665e-06,2.070210003424222e-09,3.1053151161586356e-09
1820,4.67420704808319e-06,1.0679833017945839e-08,2.3732962262101864e-09
1821,5.552017682930455e-06,3.94459531705138e-09,2.9584464655840748e-08
1822,5.43388387086452e-06,7.017931125119503e-09,1.5038423839541792e-08
1823,6.071923053241335e-06,9.882686891060644e-10,3.9530747564242574e-09
1824,4.9061404752137605e-06,3.3684450784221553e-09,2.0210670470532932e-08
1825,5.159109150554286e-06,1.3208164117983756e-08,5.283265824829186e-09
1826,4.849676315643592e-06,0.0,5.284790383086602e-09
1827,4.304466528992634e-06,9.217273055917019e-10,1.1982455028203276e-08
1828,5.2548111852956936e-06,4.586150570418113e-09,1.1006761724274838e-08
1829,5.0410276344337035e-06,8.57317605795771e-10,6.001223074036943e-09
1830,5.212155883782543e-06,9.39315203396518e-09,1.5655253093882493e-08
1831,5.265150321065448e-06,3.1182412207897414e-09,7.171954763407484e-08
1832,6.168313120724633e-06,5.411987746839486e-09,2.976593194148336e-08
1833,5.1720899136853404e-06,2.3167257001688313e-09,2.548398292390175e-08
1834,4.805416665476514e-06,1.0267983796552471e-08,2.240287422239362e-08
1835,5.139118457009317e-06,1.0588323107185715e-08,3.327758690829796e-08
1836,4.858430202148156e-06,1.0753200108126748e-08,2.9571300075303952e-08
1837,5.120311925566057e-06,1.113262537710824e-08,1.3219993100221927e-08
1838,4.463960976863746e-06,1.199310784016916e-08,2.9035945203759184e-08
1839,4.285075192456134e-06,7.690622361167243e-09,2.7965899818127582e-08
1840,4.319922936701914e-06,1.4013315285943406e-08,1.592422194107712e-08
1841,4.9804193622549064e-06,1.2841097074556274e-08,1.7977535904378783e-08
1842,4.349638857092941e-06,1.475818312002275e-08,4.360372329870188e-08
1843,4.767467999045039e-06,1.2404512972352677e-08,2.126487963494128e-08
1844,4.81346842207131e-06,9.879410234336916e-09,1.975882035765153e-08
1845,4.4742268983100075e-06,1.1160455670733427e-08,1.6182660544927785e-08
1846,4.890850505034905e-06,7.025401593807601e-09,2.1661655580373917e-08
1847,4.409499524626881e-06,8.089835468183537e-09,7.011190739092399e-09
1848,4.725763119495241e-06,2.0917576726287024e-08,2.091757700384278e-08
