year,un_DET aval_NOUN
1800,1.8864987794131594e-08
1801,6.667311414076948e-08
1802,3.5805442166747525e-08
1803,2.3404070459420723e-08
1804,2.719036085174764e-08
1805,3.1271653710973624e-08
1806,3.458002950651462e-08
1807,1.6512340339502884e-07
1808,1.6542339498215597e-07
1809,1.6490922405409947e-07
1810,1.0062544930633521e-07
1811,1.0529722516139373e-07
1812,5.3344162864732425e-08
1813,1.35159851311073e-07
1814,1.6677388714469998e-07
1815,1.3486118000116676e-08
1816,8.806894946644661e-08
1817,1.7125607820744904e-08
1818,2.384235475716423e-09
1819,3.001804582680734e-08
1820,4.9839220750413915e-08
1821,2.070912508145284e-08
1822,7.719724237631453e-08
1823,8.597937295462543e-08
1824,6.06320114115988e-08
1825,3.610231558148769e-08
1826,2.7304752237000685e-08
1827,5.99122760291948e-08
1828,1.3850174457319397e-07
1829,7.973054039212002e-08
1830,2.1812987416325313e-07
1831,9.198811312671751e-08
1832,5.953186388296672e-08
1833,4.2859426230279496e-08
1834,6.907552574375586e-08
1835,2.571449897459388e-08
1836,3.427582484505365e-08
1837,4.522629182268645e-08
1838,9.531364497661343e-08
1839,1.7268943486303812e-07
1840,7.197748175258312e-08
1841,1.0208672440725763e-07
1842,7.848670291465965e-08
1843,3.18973185642335e-08
1844,6.256959750317037e-08
1845,1.3671558074523915e-07
1846,9.894107222407911e-08
1847,1.8552689073914053e-07
1848,7.642960347942207e-08
1849,1.7512977379396943e-07
1850,4.3042235198242906e-07
1851,1.8122923028940363e-07
1852,1.1523665222057389e-07
1853,5.135861447236323e-08
1854,6.078927583530458e-08
1855,6.04990830765928e-08
1856,4.297067124348075e-08
1857,3.124165909307308e-08
1858,6.508589034392998e-08
1859,5.4486256617636286e-08
1860,5.996110985506675e-08
1861,1.6694511684178792e-07
1862,7.454677586338221e-08
1863,3.8458580597922065e-08
1864,4.4590971248759104e-08
1865,3.3418593725631496e-08
1866,4.038458811805867e-08
1867,4.367530337390235e-08
1868,7.903798238118043e-08
1869,5.7137174991339634e-08
1870,2.1789384963000202e-08
1871,6.054071377548098e-08
1872,3.930770375859538e-08
1873,5.507124034576094e-08
1874,4.480956761199195e-08
1875,5.8359576171618244e-08
1876,2.1765654167893445e-08
1877,6.061119739442233e-08
1878,2.8987624745013818e-08
1879,8.61414879427258e-08
1880,5.2626337954109204e-08
1881,5.508281097910128e-08
1882,2.1297233088191092e-08
1883,3.349249677597754e-08
1884,6.601696789232392e-08
1885,3.674012388765746e-08
1886,3.226731948302586e-08
1887,4.831404215588364e-08
1888,8.242799420798974e-08
1889,4.6988524793345476e-08
1890,9.700491698794167e-08
1891,9.497587671880581e-08
1892,3.00888589599424e-08
1893,6.28158503546139e-08
1894,4.0329851458409394e-08
1895,2.2870734639468537e-08
1896,5.130415281495715e-08
1897,5.477110676110897e-08
1898,3.225262190653666e-08
1899,5.417026827103655e-08
1900,4.6719479174228695e-08
1901,2.7384819856202114e-08
1902,2.6024505217492333e-08
1903,7.560308556975315e-08
1904,3.9772224624812225e-08
1905,1.7546581076999246e-08
1906,2.777859675617833e-08
1907,5.9142700237213575e-08
1908,2.6521501439447093e-08
1909,3.0805508699494055e-08
1910,9.886678453696618e-08
1911,4.096687944432631e-08
1912,4.844761869460257e-08
1913,5.568139371803227e-08
1914,3.013534694007447e-08
1915,3.652036184575991e-08
1916,2.8567401777479517e-08
1917,1.3159709100207806e-08
1918,3.101321510712296e-08
1919,1.012863304339362e-08
1920,3.256059599721084e-08
1921,1.5145495524393482e-08
1922,1.2542490601674672e-08
1923,2.229349105320466e-08
1924,3.351822286390416e-08
1925,5.0591619782380803e-08
1926,2.6750733184144337e-08
1927,1.7838759802657478e-08
1928,3.5420729460611255e-08
1929,2.0052731031228177e-08
1930,4.516549623190258e-08
1931,3.9918746530531735e-08
1932,3.3974561830518724e-08
1933,3.785318680726846e-08
1934,6.230421689679133e-08
1935,5.0266791618014395e-08
1936,4.849885826274658e-08
1937,7.302848814561003e-08
1938,4.2785206488815675e-08
1939,2.4470480752825097e-08
1940,3.550096039361961e-08
1941,3.836953510472085e-08
1942,2.1239483061208375e-08
1943,1.7419411690866582e-08
1944,7.390327994016843e-08
1945,5.664110602765504e-08
1946,1.9489545977080525e-08
1947,3.337843779149807e-08
1948,1.522064252412747e-08
1949,3.5341231163776854e-08
1950,1.914365022059883e-08
1951,3.838104589704017e-08
1952,4.956057964022875e-08
1953,6.679773179030235e-08
1954,4.9839933069506515e-08
1955,2.815682265122632e-08
1956,4.0117249966442614e-08
1957,8.216584745923683e-08
1958,4.136121828368644e-08
1959,3.642851353902188e-08
1960,6.297958066170395e-08
1961,4.5857850128339095e-08
1962,4.439369477582389e-08
1963,5.0435216669697525e-08
1964,4.1979379972190145e-08
1965,3.2285055795444606e-08
1966,5.3729026117110834e-08
1967,4.7824254778561226e-08
1968,3.50330439657931e-08
1969,4.723428131958585e-08
1970,4.046877891128453e-08
1971,4.3162540208641076e-08
1972,2.872882304272295e-08
1973,4.575959128283458e-08
1974,4.7254802015839203e-08
1975,6.682431807902844e-08
1976,5.9420678044652675e-08
1977,6.288156706446557e-08
1978,4.574255485501055e-08
1979,4.7400984470868934e-08
1980,4.946081150203341e-08
1981,6.07252743645148e-08
1982,7.821452641110227e-08
1983,5.557478155449047e-08
1984,6.552879483479046e-08
1985,5.293691107688403e-08
1986,5.9345406144828416e-08
1987,7.332980089813645e-08
1988,5.516829637564058e-08
1989,7.683371316957732e-08
1990,7.519138695011307e-08
1991,6.682070063934731e-08
1992,6.060938517737924e-08
1993,4.929894714678085e-08
1994,3.586950114708998e-08
1995,5.2055526111871586e-08
1996,6.992900791757961e-08
1997,5.3223328966289785e-08
1998,6.436974264723005e-08
1999,7.129514045800533e-08
2000,7.73155481859078e-08
2001,6.089884285742642e-08
2002,4.9945924174288336e-08
2003,5.3753306583637084e-08
2004,6.210755945645907e-08
2005,5.7647995266307817e-08
2006,5.1885412577501455e-08
2007,5.112933579298762e-08
2008,5.0237788234985814e-08
2009,4.482101090275137e-08
2010,4.6765549654992355e-08
2011,4.971163458655781e-08
2012,3.812763005317521e-08
2013,5.2993377019916466e-08
2014,4.7206704545388334e-08
2015,4.300156430936397e-08
2016,6.027599597224764e-08
2017,4.628724714628163e-08
2018,4.749898763201088e-08
2019,3.7244420436621795e-08
