year,son_DET aîné_NOUN
1800,6.005354138416408e-07
1801,6.881617782283911e-07
1802,2.2378401354217203e-07
1803,3.764154605789827e-07
1804,3.806650432647274e-07
1805,4.036886234182191e-07
1806,4.408953895307377e-07
1807,4.811354394895773e-07
1808,7.251436926480892e-07
1809,5.286131159465413e-07
1810,5.148278887645574e-07
1811,6.794178304403431e-07
1812,6.454644143616406e-07
1813,5.866513199670464e-07
1814,3.618678681149845e-07
1815,3.614279648900265e-07
1816,4.1021588081946447e-07
1817,5.791569166468946e-07
1818,7.83221357103514e-07
1819,7.815042835090935e-07
1820,6.004439496720693e-07
1821,6.380383035242687e-07
1822,6.757265111900779e-07
1823,5.554069995028499e-07
1824,5.044246336183278e-07
1825,5.934868880785871e-07
1826,5.575454253836654e-07
1827,5.309149244681066e-07
1828,4.044984933671003e-07
1829,6.215552410537839e-07
1830,5.374970530880319e-07
1831,4.1628520985881323e-07
1832,4.045460881840768e-07
1833,3.8689319836748837e-07
1834,5.246006189452146e-07
1835,4.4546587929517045e-07
1836,4.993517466189701e-07
1837,3.7572611999436845e-07
1838,5.175972690452113e-07
1839,5.096785269387283e-07
1840,5.796416857606346e-07
1841,4.199038636798491e-07
1842,4.695785467134783e-07
1843,4.642832052148549e-07
1844,4.7640711831054006e-07
1845,3.8503574018022846e-07
1846,5.06414358447671e-07
1847,3.629639451219191e-07
1848,3.2422242313145944e-07
1849,2.8741392088527107e-07
1850,3.747525774144833e-07
1851,3.811618212168355e-07
1852,4.0430488201792514e-07
1853,4.1445207266121997e-07
1854,4.5098368195439775e-07
1855,5.911927907220615e-07
1856,6.129792122777644e-07
1857,5.916388960969243e-07
1858,6.151350682159773e-07
1859,4.7560899751886154e-07
1860,4.5314120233896915e-07
1861,5.281879165153214e-07
1862,5.313151740793387e-07
1863,5.184416291825755e-07
1864,5.379684862028e-07
1865,5.328147878458367e-07
1866,5.123490680603027e-07
1867,6.211598737593249e-07
1868,5.957488262708921e-07
1869,5.894407699713611e-07
1870,6.29025130649552e-07
1871,4.429031026376151e-07
1872,4.964865567558263e-07
1873,5.590928022769504e-07
1874,5.191935334991626e-07
1875,4.937677671179586e-07
1876,5.181434818979369e-07
1877,5.646737237796629e-07
1878,5.241928904275994e-07
1879,7.667202988059785e-07
1880,5.589944347406117e-07
1881,5.145710595400033e-07
1882,6.52227744701861e-07
1883,6.110800816472306e-07
1884,5.479408287101251e-07
1885,5.697942215832086e-07
1886,6.48573127648433e-07
1887,6.098015497002507e-07
1888,5.903112452187997e-07
1889,7.280088940575524e-07
1890,5.564674312452667e-07
1891,5.513700180870273e-07
1892,5.961355533656842e-07
1893,6.349327481558475e-07
1894,5.866733048254247e-07
1895,6.229265734347678e-07
1896,6.451349570113507e-07
1897,5.68687243962529e-07
1898,6.597641970529367e-07
1899,5.49441288910657e-07
1900,6.35384907354819e-07
1901,6.633833056213234e-07
1902,5.249093675274707e-07
1903,6.57746825005745e-07
1904,5.127392324055791e-07
1905,6.306447781767588e-07
1906,6.491960995447243e-07
1907,5.775413143283004e-07
1908,6.625464106235768e-07
1909,6.639687271103867e-07
1910,6.744317992968263e-07
1911,7.352756892231582e-07
1912,7.08481275424333e-07
1913,6.750706074143409e-07
1914,6.971310204662018e-07
1915,5.430931206973355e-07
1916,6.16396619079751e-07
1917,5.505145335149564e-07
1918,6.064806736816308e-07
1919,6.629650619593974e-07
1920,6.247090986732928e-07
1921,7.315273871100203e-07
1922,7.864879218999477e-07
1923,8.291055415554638e-07
1924,6.884127632389436e-07
1925,7.016837439977053e-07
1926,7.96948906867101e-07
1927,8.885932079039094e-07
1928,8.775199695776337e-07
1929,7.764863036996417e-07
1930,8.024752844448813e-07
1931,7.276617424167853e-07
1932,7.814149505236401e-07
1933,7.811521083311845e-07
1934,7.320745396555139e-07
1935,8.317957203018977e-07
1936,9.263281768312481e-07
1937,1.0009938513633188e-06
1938,8.751519970928712e-07
1939,7.647024986567885e-07
1940,7.100191954378943e-07
1941,9.238203055872418e-07
1942,9.315030240486522e-07
1943,1.0741969882488434e-06
1944,1.0539250610008821e-06
1945,9.019006927957207e-07
1946,9.647325391881623e-07
1947,9.727430487771471e-07
1948,1.0165215673652028e-06
1949,8.953111425569205e-07
1950,9.008151344858106e-07
1951,9.307403576741535e-07
1952,8.499111761040012e-07
1953,9.858051850386573e-07
1954,9.401179736912013e-07
1955,9.901816628854476e-07
1956,9.758957286720715e-07
1957,9.400480003307621e-07
1958,9.380724232954663e-07
1959,9.649680894341373e-07
1960,9.329283230385954e-07
1961,9.602356350058017e-07
1962,9.633431599098685e-07
1963,9.99651867061857e-07
1964,8.401960460702185e-07
1965,9.176616924122527e-07
1966,9.150551676384566e-07
1967,9.047165701048243e-07
1968,9.714932280857624e-07
1969,9.060807055760733e-07
1970,8.406469582666887e-07
1971,8.308788821409507e-07
1972,8.023549771252192e-07
1973,7.861828805744153e-07
1974,7.549517402338779e-07
1975,9.532460616412664e-07
1976,8.101781094893568e-07
1977,8.2686318947367e-07
1978,8.982173973492991e-07
1979,8.122538881494279e-07
1980,8.891575529190732e-07
1981,1.0253715370112104e-06
1982,8.764993086884942e-07
1983,9.605595696626779e-07
1984,1.0101872813805812e-06
1985,1.0238479717372684e-06
1986,1.0724134780204508e-06
1987,1.0156178156250917e-06
1988,1.0332062583273682e-06
1989,1.0756719994731156e-06
1990,1.1224221427852399e-06
1991,1.0925770954628433e-06
1992,1.0650721993243906e-06
1993,1.0934395753281478e-06
1994,1.2258929000807939e-06
1995,1.1224472693527332e-06
1996,1.0847003881764294e-06
1997,1.2063954990537695e-06
1998,1.2349455058568992e-06
1999,1.224356934059756e-06
2000,1.2723930673530504e-06
2001,1.203080714162752e-06
2002,1.3108615046775185e-06
2003,1.4342548304568936e-06
2004,1.356235276972484e-06
2005,1.3232016655706502e-06
2006,1.5129127852731017e-06
2007,1.481152999360802e-06
2008,1.487975191949431e-06
2009,1.5038878657946952e-06
2010,1.6613580591240407e-06
2011,1.4691700869207125e-06
2012,1.6479987650086514e-06
2013,1.6369375224201121e-06
2014,1.924431174415986e-06
2015,1.6799425281988078e-06
2016,1.5035857785505868e-06
2017,1.7377842951304956e-06
2018,1.8984106091579633e-06
2019,1.7308452129327634e-06
