year,bon_ADJ an_NOUN
1800,1.3834323553396644e-07
1801,1.166779455274991e-07
1802,8.056224487518193e-08
1803,3.120542824142092e-08
1804,6.673997243744623e-08
1805,5.685755466444675e-08
1806,1.0662176119780042e-07
1807,3.9857372513552036e-08
1808,3.852325791697808e-08
1809,3.6144488291256494e-08
1810,3.510190227373755e-08
1811,2.507076715119183e-07
1812,2.400487453257938e-08
1813,5.1763349162570194e-08
1814,1.0069366851439554e-07
1815,3.5063905334808965e-08
1816,1.8540831092650478e-08
1817,3.425121486433369e-08
1818,5.364529798157491e-08
1819,1.8631889808773394e-08
1820,1.1629151686065597e-07
1821,7.49473095806863e-08
1822,5.6143449000956025e-08
1823,1.126626291148014e-07
1824,2.0210670470532932e-08
1825,4.6668849229547504e-08
1826,4.84439142134363e-08
1827,3.871254605769536e-08
1828,2.9351363395324626e-08
1829,5.915491474439705e-08
1830,8.140731755368336e-08
1831,8.57516342378517e-08
1832,1.4612366427968482e-07
1833,9.614411311531512e-08
1834,6.720862266718086e-08
1835,1.3916081798015512e-07
1836,1.0753200463398116e-07
1837,1.2385046099794295e-07
1838,1.1425013313193233e-07
1839,9.857980054484017e-08
1840,9.681926937954444e-08
1841,1.4061001163412357e-07
1842,1.2007794580881637e-07
1843,1.1754752771153676e-07
1844,7.629100307049441e-08
1845,1.4285383187484513e-07
1846,1.5865699154460344e-07
1847,9.977463655275187e-08
1848,1.5044565060406967e-07
1849,1.3742240234648762e-07
1850,1.249175332063146e-07
1851,1.3285843669663677e-07
1852,1.0351766932537032e-07
1853,1.8632428044895732e-07
1854,1.4963514161081548e-07
1855,1.841507177857693e-07
1856,1.972509142689205e-07
1857,1.6938836022717396e-07
1858,1.9770451054057503e-07
1859,1.680417205385254e-07
1860,1.6386318502092934e-07
1861,2.0703080760853254e-07
1862,2.5571801476331757e-07
1863,1.8530042567022065e-07
1864,1.8459702566531178e-07
1865,1.74623919768635e-07
1866,1.6494427779178977e-07
1867,2.052739329627684e-07
1868,1.9808895634909618e-07
1869,2.3538562921032735e-07
1870,1.5883315729325886e-07
1871,1.6887672416032729e-07
1872,1.4815981774773945e-07
1873,1.711997255071651e-07
1874,1.7087382664371376e-07
1875,2.6662317065273555e-07
1876,1.6324239293652454e-07
1877,1.8987384420299236e-07
1878,1.8117265554451478e-07
1879,2.1138265182685245e-07
1880,2.413110191668011e-07
1881,3.012123261925126e-07
1882,2.881781799857208e-07
1883,2.3507941193656734e-07
1884,2.535051635277341e-07
1885,2.7329495377870217e-07
1886,2.342607352545656e-07
1887,2.6246276618735465e-07
1888,3.436613038587666e-07
1889,2.7503950406071453e-07
1890,2.680744151106751e-07
1891,2.728166226262374e-07
1892,2.7706824035078625e-07
1893,2.758970669702876e-07
1894,1.865255701005708e-07
1895,2.3592969533581254e-07
1896,2.677251256244517e-07
1897,3.0007575269053177e-07
1898,2.7103521205162906e-07
1899,3.012530243040601e-07
1900,2.9952377644804073e-07
1901,2.755248198482718e-07
1902,2.4011288601855085e-07
1903,2.781113366268073e-07
1904,3.009790034980142e-07
1905,3.2925641590964005e-07
1906,3.6369383238366026e-07
1907,3.4765621848009687e-07
1908,3.811238045159371e-07
1909,3.6306490969195693e-07
1910,3.5004185860998405e-07
1911,3.7774655936573254e-07
1912,3.88622819258444e-07
1913,3.128763985671412e-07
1914,3.1407729039756305e-07
1915,3.4399824500042087e-07
1916,3.603887535064132e-07
1917,3.739550784587209e-07
1918,3.216185433529972e-07
1919,3.0201743328461816e-07
1920,2.377680798915094e-07
1921,2.6125978003221917e-07
1922,3.187268049487102e-07
1923,3.7898936255942317e-07
1924,2.7974824057253045e-07
1925,3.51941690013291e-07
1926,3.689371688153642e-07
1927,3.523155118756449e-07
1928,3.1307351910925263e-07
1929,3.408964310835927e-07
1930,3.3296424462037066e-07
1931,3.7181461642887825e-07
1932,3.5399303754957145e-07
1933,3.4526692971326156e-07
1934,2.7318003148479875e-07
1935,3.1237222941626896e-07
1936,2.970555197379099e-07
1937,3.2107350023125036e-07
1938,2.813451409622303e-07
1939,3.3799850740479087e-07
1940,3.37259137950241e-07
1941,3.9254984329772924e-07
1942,3.974817524010632e-07
1943,4.238723398941602e-07
1944,3.663032099865404e-07
1945,3.3113261110884196e-07
1946,3.522039477843464e-07
1947,3.409369035978216e-07
1948,3.065872427043814e-07
1949,4.044607422315494e-07
1950,3.243785364759333e-07
1951,2.686673177265675e-07
1952,3.1528962907145797e-07
1953,3.7277442999084087e-07
1954,2.9806235346541143e-07
1955,2.9376953492032953e-07
1956,3.409966424783306e-07
1957,3.3838194823943013e-07
1958,3.6149703319665605e-07
1959,3.363824632174328e-07
1960,2.858304277708612e-07
1961,3.355960913609124e-07
1962,3.443682317083585e-07
1963,3.427008294920597e-07
1964,3.218419166728381e-07
1965,3.316058290181445e-07
1966,3.60593755743821e-07
1967,3.135693482647639e-07
1968,3.817703593256283e-07
1969,3.283690830357955e-07
1970,3.4996297770817364e-07
1971,3.776722223847173e-07
1972,3.621883664095549e-07
1973,4.156955561995801e-07
1974,3.3865940096688973e-07
1975,3.7181735734748145e-07
1976,4.3079992906314146e-07
1977,4.807207574231143e-07
1978,4.669304871640634e-07
1979,4.2075688000409173e-07
1980,5.037043635525151e-07
1981,4.2760715501799496e-07
1982,4.89771920797466e-07
1983,4.8754240111748e-07
1984,4.5290255457075546e-07
1985,4.6079174609303664e-07
1986,4.915478086786607e-07
1987,4.772548081177774e-07
1988,5.211005245087108e-07
1989,5.389335981931254e-07
1990,5.301537271407142e-07
1991,4.7067565844827186e-07
1992,4.771611585852042e-07
1993,4.769257699877016e-07
1994,4.757983802505805e-07
1995,5.151328252850362e-07
1996,5.076525582126123e-07
1997,4.814074046066708e-07
1998,4.691839166071077e-07
1999,4.263997794851093e-07
2000,4.2634002994645925e-07
2001,3.859847694798191e-07
2002,4.521420677860988e-07
2003,4.125253738607171e-07
2004,4.0832416203784305e-07
2005,3.9137584195714226e-07
2006,4.307312764240123e-07
2007,4.122302854625559e-07
2008,3.746546965999187e-07
2009,3.9957454589512054e-07
2010,3.5900826844681433e-07
2011,3.491286300061347e-07
2012,3.788933327086852e-07
2013,3.313480654298928e-07
2014,3.47337412165416e-07
2015,3.1719193316348537e-07
2016,3.35971343190522e-07
2017,3.0237647052899774e-07
2018,2.9196389306207493e-07
2019,2.961696701220262e-07
