year,aucun_DET air_NOUN,aucun_DET nerf_NOUN
1800,9.118076782499429e-08,4.7162465932615305e-08
1801,1.04772034603684e-07,1.3096504858367553e-07
1802,5.147032311469957e-08,1.7455153056289419e-07
1803,2.7304748684287006e-08,1.5212646431450594e-07
1804,6.179627121127851e-08,5.9324420931261557e-08
1805,2.55858996212055e-08,1.449867568226182e-07
1806,2.881669125542885e-09,2.0171682990621775e-08
1807,3.9857372513552036e-08,1.1387820464392462e-08
1808,8.611080914988634e-08,1.8128591960930862e-08
1809,1.2876473931555665e-07,2.710836710662079e-08
1810,8.658469141664682e-08,7.488405806554965e-08
1811,4.512738271955641e-08,1.7549536934780008e-08
1812,1.0668832928217853e-08,1.0668833283489221e-07
1813,2.8757416448144113e-09,3.738464116054274e-08
1814,2.8320094713762956e-08,1.4160046646338742e-07
1815,1.8880564667256294e-08,4.8550024445148665e-08
1816,6.257530316133852e-08,1.1588019788177917e-07
1817,4.514932783195036e-08,1.1365175822675155e-07
1818,4.053200441944682e-08,8.464035983202223e-08
1819,8.591371170041384e-08,1.6251147982870862e-07
1820,9.8491796052258e-08,3.797273961936298e-08
1821,3.747365440176509e-08,1.1833785507064931e-08
1822,2.5064039732569654e-08,4.6117833107928163e-08
1823,5.237824041159911e-08,6.127265717026376e-08
1824,5.052667617633233e-08,8.505323467744574e-08
1825,4.57883047033647e-08,1.3560382683408534e-07
1826,4.844391554570393e-08,4.668231667892542e-08
1827,3.96342727526644e-08,3.686909155753426e-08
1828,9.355747465633613e-08,6.512333783348367e-08
1829,8.230248838003718e-08,5.1439055681612444e-08
1830,4.0703660886265425e-08,8.453836675137438e-08
1831,2.8064171431196883e-08,1.2472964883158966e-08
1832,2.3000948701223933e-08,7.17088379786901e-08
1833,4.054269808762001e-08,4.865124125785769e-08
1834,8.121041616959701e-08,7.28093429991361e-08
1835,4.0084366048631637e-08,3.403389570166837e-08
1836,4.771732520225669e-08,3.629205025390547e-08
1837,2.7135774516295896e-08,4.1051556820548285e-08
1838,2.7773513266993177e-08,3.850418650586107e-08
1839,4.824117727508792e-08,9.648235455017584e-08
1840,6.11490094115652e-08,3.184844299397582e-08
1841,4.044945489667384e-08,5.6500828460315233e-08
1842,4.695785449371215e-08,3.6224629962333665e-08
1843,2.8353174030826267e-08,7.738053664496647e-08
1844,1.8661107548112454e-08,3.183365487879897e-08
1845,2.4553003186156275e-08,4.296775601986269e-08
1846,4.2152407786488766e-08,2.1076203893244383e-08
1847,4.530307862182781e-08,3.9909854976372117e-08
1848,2.735375304041554e-08,3.700802103656642e-08
1849,2.0948537127196687e-08,3.9383248662261394e-08
1850,4.073397619208663e-08,4.820187182730251e-08
1851,3.353708066811123e-08,3.9341576218987484e-08
1852,3.059956199535918e-08,5.6641745516117226e-08
1853,3.3442816516071616e-08,2.5082113275232132e-08
1854,4.468271425084325e-08,4.8839247313026135e-08
1855,8.384960636931282e-08,3.1841622671890946e-08
1856,4.40061072026765e-08,6.419714482230887e-08
1857,6.541222319356166e-08,4.149282695209422e-08
1858,4.7468656561022726e-08,5.627727522883319e-08
1859,4.1755821911237945e-08,3.5135997000779184e-08
1860,4.21100927461282e-08,2.334363846667742e-08
1861,4.291527133659656e-08,3.0182167876091626e-08
1862,4.066187744844463e-08,3.7499287230957634e-08
1863,4.844782353075061e-08,3.845858032036631e-08
1864,3.9796240969280916e-08,1.294576512655965e-08
1865,3.153585836912498e-08,2.259285342143258e-08
1866,5.93604774223877e-08,3.600553633020809e-08
1867,3.105799351033056e-08,1.747012134956094e-08
1868,4.1494942593089945e-08,3.902500544938903e-08
1869,4.639343076373592e-08,3.2231226132495294e-08
1870,6.594156332084822e-08,4.0711747750776794e-08
1871,2.8677177965619194e-08,2.7615060460561835e-08
1872,3.2655632531408685e-08,3.32603660169184e-08
1873,2.573981916498269e-08,2.9331421513845157e-08
1874,2.449589792119511e-08,5.436894312538243e-08
1875,2.9751941965638906e-08,8.58229043387837e-09
1876,2.6602464231473277e-08,2.1161051577678336e-08
1877,4.020130428550317e-08,3.030559758698814e-08
1878,3.32149880932775e-08,7.2469061862534545e-09
1879,2.9324762063076548e-08,4.215434401544371e-08
1880,5.455169227452927e-08,2.502960061434578e-08
1881,2.5101027034679646e-08,1.743126887276958e-08
1882,4.059785041476971e-08,2.994923420374107e-08
1883,4.170763850952497e-08,1.3902546058819354e-08
1884,1.9805090900604227e-08,2.772712726084592e-08
1885,4.060750324885731e-08,5.607703190690927e-08
1886,3.7430090527035276e-08,1.936039140115753e-08
1887,3.0685946228459215e-08,7.965288295608275e-08
1888,4.9456794215529953e-08,1.9655905347804037e-08
1889,2.8819629349641218e-08,1.6915869593958632e-08
1890,1.5730527991308918e-08,2.4251229135963115e-08
1891,2.7409146396983886e-08,2.8046568623096846e-08
1892,2.6954603882245465e-08,2.3193495124473884e-08
1893,1.9091091429945806e-08,1.7243565908486858e-08
1894,2.457600345451283e-08,3.087754318897851e-08
1895,2.768562623600701e-08,1.444467434552621e-08
1896,2.063960063969361e-08,1.415286948747152e-08
1897,3.3212266714599536e-08,2.505486840220783e-08
1898,1.7540900287826844e-08,3.621346988946783e-08
1899,3.0954439012020885e-08,2.1557555740514545e-08
1900,3.166542394961169e-08,3.4260950743103535e-08
1901,2.0119459875900247e-08,2.0678333767509827e-08
1902,2.6024503885224703e-08,1.718599307309887e-08
1903,4.266173991851474e-08,2.484101258026783e-08
1904,1.4511488011237361e-08,8.061937784020756e-09
1905,1.90948084011211e-08,1.186974607492175e-08
1906,2.7264178470431943e-08,9.259531807970234e-09
