year,son_DET an_NOUN
1800,1.1947824818392405e-07
1801,1.5715804924099075e-07
1802,1.1860552717735118e-07
1803,1.4042442475492578e-07
1804,9.887403673580764e-08
1805,1.7910129024301114e-07
1806,1.0950343032334331e-07
1807,2.021338083579849e-07
1808,1.4049658636494655e-07
1809,9.713831272684104e-08
1810,9.828532210320873e-08
1811,1.3036799018095735e-07
1812,1.0668832839400011e-07
1813,8.914798788062228e-08
1814,1.2272040805783035e-07
1815,1.7262230644909948e-07
1816,1.3442102897442965e-07
1817,1.1053801518556838e-07
1818,1.7762553694566918e-07
1819,1.7079232339511918e-07
1820,1.0798497562802822e-07
1821,1.400331290923873e-07
1822,1.1128433641260926e-07
1823,1.462637607696493e-07
1824,1.3221146666353434e-07
1825,1.5673689013340208e-07
1826,1.1538459276927426e-07
1827,1.4747636600809244e-07
1828,1.2199160820403065e-07
1829,8.74463982336593e-08
1830,6.053364831615227e-08
1831,7.639690879912564e-08
1832,7.71208219507713e-08
1833,1.1583628245492861e-07
1834,1.0641365477681575e-07
1835,1.550433026409337e-07
1836,8.468145001883087e-08
1837,9.393152344827627e-08
1838,1.1677499323070606e-07
1839,1.1326189996996305e-07
1840,9.427138925044432e-08
1841,6.741575964142044e-08
1842,7.714504635103481e-08
1843,7.560846043697111e-08
1844,8.232841669508772e-08
1845,7.812318997268974e-08
1846,6.557041376531458e-08
1847,7.065122886729114e-08
1848,6.75798647598036e-08
1849,6.703532084983976e-08
1850,6.992665557703504e-08
1851,6.384944617465749e-08
1852,6.64075603395986e-08
1853,1.361600512339578e-07
1854,8.78067258902604e-08
1855,8.384960636931282e-08
1856,6.885661679723043e-08
1857,6.882927949813933e-08
1858,7.780944633051234e-08
1859,7.027199155906771e-08
1860,6.316513795345813e-08
1861,5.4233584068086316e-08
1862,4.9246050931595065e-08
1863,6.842630428938179e-08
1864,6.376988459511068e-08
1865,5.64821325821363e-08
1866,5.936047775545461e-08
1867,8.589476685472164e-08
1868,1.0027944497004171e-07
1869,5.71371735480497e-08
1870,7.511604183108034e-08
1871,7.22240054429335e-08
1872,6.228759585891197e-08
1873,5.028243821314504e-08
1874,6.03435516555173e-08
1875,6.122034090783046e-08
1876,6.227395332736307e-08
1877,6.061119739442233e-08
1878,6.52221585073498e-08
1879,5.254019630474005e-08
1880,6.096953786283166e-08
1881,6.414706832380546e-08
1882,6.988154366283084e-08
1883,6.192952090033899e-08
1884,5.0172896060018957e-08
1885,6.832373844467554e-08
1886,4.0656823463436353e-08
1887,5.8760320276185496e-08
1888,7.355113318396889e-08
1889,3.696430755928404e-08
1890,4.653614438243636e-08
1891,4.398211705947119e-08
1892,5.955086601616699e-08
1893,4.3108915770417866e-08
1894,5.6713853835432815e-08
1895,4.333402414680165e-08
1896,4.8945341502015793e-08
1897,3.7290966981018414e-08
1898,2.4330925163518202e-08
1899,4.2009595802028343e-08
1900,3.062721309898819e-08
1901,5.58873880507349e-08
1902,3.830021277906326e-08
1903,4.3201761279476614e-08
1904,4.245953988402107e-08
1905,3.767354206374307e-08
1906,3.7552547016428406e-08
1907,5.2457003574257755e-08
1908,4.2729083382653243e-08
1909,4.950885273968808e-08
1910,3.7409056519166484e-08
1911,3.617854271720233e-08
1912,4.1675368378513156e-08
1913,7.424185671789374e-08
1914,6.76371111341112e-08
1915,3.062998121805549e-08
1916,3.515987700986045e-08
1917,3.9479127189601115e-08
1918,4.020231880730307e-08
1919,3.9593748335509105e-08
1920,3.256059644130005e-08
1921,4.695103461571648e-08
1922,3.246291635505827e-08
1923,2.866305903737043e-08
1924,3.996403508121915e-08
1925,4.289289257108919e-08
1926,4.0126098888038086e-08
1927,3.2332752919472796e-08
1928,2.5137290693422187e-08
1929,3.7877380565376484e-08
1930,3.886333299618627e-08
1931,2.737285687004487e-08
1932,3.835837958376942e-08
1933,3.6706119699303486e-08
1934,2.156684431042777e-08
1935,2.992071124197082e-08
1936,2.9099315845826368e-08
1937,2.392312392629492e-08
1938,2.852347158466273e-08
1939,3.823512795264605e-08
1940,1.7750480196809804e-08
1941,5.31270463177691e-08
1942,4.2478965012193726e-08
1943,4.354852944921106e-08
1944,2.8918675454292497e-08
1945,1.742803235060819e-08
1946,2.7842208538686464e-08
1947,2.980217805870211e-08
1948,3.261566305923225e-08
1949,2.4542519905246252e-08
1950,2.4461331626923766e-08
1951,3.624876732111204e-08
1952,4.007025555807786e-08
1953,2.2625038065271497e-08
1954,2.9317608785106586e-08
1955,2.5341140741375057e-08
1956,1.8314397332019894e-08
1957,1.943708272111877e-08
1958,2.4816729671250926e-08
1959,1.705164498488898e-08
1960,2.9067500517676592e-08
1961,3.474079651732964e-08
1962,1.775747771048941e-08
1963,2.7157423310164575e-08
1964,2.2510682928800207e-08
1965,3.666269171587189e-08
1966,3.4342264032538594e-08
1967,4.585212198815469e-08
1968,4.805814923791729e-08
1969,3.0883953477944814e-08
1970,3.495030997946458e-08
1971,3.442726392854922e-08
1972,3.026786543625093e-08
1973,3.19765822709428e-08
1974,3.431598794012558e-08
1975,3.1413141421410273e-08
1976,3.4281162297755685e-08
1977,2.4094806150287695e-08
1978,3.0891073921068823e-08
1979,3.39414459871179e-08
1980,2.842575275163739e-08
1981,3.921840530107801e-08
1982,4.469401748696811e-08
1983,3.599730202807905e-08
1984,3.131464598737921e-08
1985,2.827312228781409e-08
1986,4.07625022069702e-08
1987,4.399788133824245e-08
1988,2.9383113941960914e-08
1989,2.4147736810142817e-08
1990,7.79157096619798e-08
1991,3.0479618662315744e-08
1992,2.7549721615116596e-08
1993,3.877445237110422e-08
1994,3.059457520659947e-08
1995,3.958388955505043e-08
1996,4.2704737523990843e-08
1997,4.363353844905049e-08
1998,5.6263925851673946e-08
1999,3.9760751607831324e-08
2000,3.843687301774423e-08
2001,2.716351366061076e-08
2002,3.811662852015729e-08
2003,3.5418845301116164e-08
2004,3.611928783842089e-08
2005,4.4136746257805726e-08
2006,3.62374311668745e-08
2007,3.8347003267213964e-08
2008,2.3415917621560922e-08
2009,2.384096209340214e-08
2010,1.936755145148794e-08
2011,1.2619107203626356e-08
2012,8.170206400315294e-09
2013,8.646287685820653e-09
2014,2.9016966135442246e-08
2015,6.871383573248124e-09
2016,9.113895860224375e-09
2017,6.540589680970044e-09
2018,5.162933414126769e-09
2019,1.0459050070465992e-08
