year,en_ADP âge_NOUN,en_ADP age_NOUN,en_ADP nage_NOUN
1800,4.2100364225916564e-06,1.19478254401173e-07,1.3834323908668011e-07
1801,5.441002031147946e-06,4.0480102825313224e-08,1.1191558257905854e-07
1802,4.701701982412487e-06,2.9091921760482364e-08,1.4545960880241182e-07
1803,5.601374141406268e-06,6.4361191931539e-08,9.946730017418304e-08
1804,5.465262347570388e-06,6.673997310358004e-08,1.4336735887354735e-07
1805,6.021215085638687e-06,3.4114532976303735e-08,1.449867568226182e-07
1806,4.4752323447028175e-06,9.509507847837995e-08,6.339671898558663e-08
1807,4.714557690022048e-06,5.124519120158766e-08,8.256169792275614e-08
1808,4.844865998165915e-06,6.571614541428517e-08,1.0877155176558517e-07
1809,5.209324172028573e-06,3.614448895739031e-08,4.969867006821005e-08
1810,5.553120900003705e-06,5.148278958699848e-08,8.424456154898508e-08
1811,6.355439381877659e-06,4.011322829455821e-08,1.855236746450828e-07
1812,5.7131601352011785e-06,4.800974817698034e-08,1.8403736135041981e-07
1813,5.426524694485124e-06,7.764502640839055e-08,1.6391727797326894e-07
1814,4.679108769778395e-06,1.1957373402537996e-07,1.1013369771717407e-07
1815,5.9824419622600544e-06,9.979726955933188e-08,6.74305908887618e-08
1816,4.704736056737602e-06,2.7811246638975717e-08,6.952811837379613e-08
1817,5.699713710782817e-06,6.227493631882908e-08,1.1676550570882682e-07
1818,5.396716915129218e-06,3.337929710411913e-08,1.323250700124845e-07
1819,5.5398818403773475e-06,3.726378050572521e-08,9.729986771844779e-08
1820,5.395689186116215e-06,1.0917162995838225e-07,7.594547923872597e-08
1821,5.794610387965804e-06,1.6271455649530253e-07,1.479223215028469e-07
1822,5.358691851142794e-06,3.709477880420309e-08,1.1830226753772877e-07
1823,4.653757059713826e-06,4.743689674402418e-08,1.1760397067295258e-07
1824,5.1132997214153875e-06,4.968456579490521e-08,1.212640228231976e-07
1825,5.177600542083383e-06,8.012952967817455e-08,2.086890020791543e-07
1826,5.237227469478967e-06,3.5231937256519075e-08,1.0217262058631604e-07
1827,4.344100943853846e-06,5.622536392024813e-08,1.3457218983603525e-07
1828,4.391697984829079e-06,6.51233387216621e-08,8.621963348831585e-08
1829,4.560072284220951e-06,4.9724419248775575e-08,5.744027831156018e-08
1830,4.086021363036707e-06,3.6528926106171866e-08,8.453837097022188e-08
1831,3.872855813824572e-06,7.639691101957169e-08,1.512347012067039e-07
1832,4.5108918129699305e-06,4.7354892895867806e-08,2.3271547888725763e-07
1833,4.610284122463781e-06,1.0888610679771205e-07,1.332117278707301e-07
1834,3.896233010891592e-06,4.480574977705487e-08,1.4935250192138483e-07
1835,4.853990049014101e-06,5.142899794918776e-08,1.8151411040889798e-07
1836,4.899426585325273e-06,7.728862810862935e-08,1.303825456488994e-07
1837,4.727886789623881e-06,6.192522983283766e-08,1.2037150731725177e-07
1838,4.5106708057574e-06,7.258986212121954e-08,8.332053624826585e-08
1839,4.505306606006343e-06,8.11011120482874e-08,8.529599426765344e-08
1840,4.551779511530185e-06,7.516232763959962e-08,1.044628916702095e-07
1841,4.6041755012993235e-06,9.117178922934954e-08,1.7078659197977686e-07
1842,4.3154268496437e-06,6.976595834373711e-08,1.1001554867107188e-07
1843,4.632199761545053e-06,6.084118464588784e-08,9.982679927134086e-08
1844,4.046716185257537e-06,5.817875081692847e-08,9.00124064173724e-08
1845,4.081378847331507e-06,6.696273535666819e-08,8.426144404438674e-08
1846,4.122154223296093e-06,9.015932223022105e-08,1.0303922692855849e-07
1847,4.080513008375419e-06,5.716817241818717e-08,6.148275133455172e-08
1848,3.5801235753751826e-06,6.677534170052013e-08,9.654266364123032e-08
1849,3.713756768775056e-06,7.457679385147742e-08,5.53041381579078e-08
1850,3.661305527202785e-06,7.535785506718184e-08,5.838536765168101e-08
1851,3.5117193419864634e-06,6.320449852381671e-08,8.061798695280231e-08
1852,4.030027412227355e-06,1.0547083917344935e-07,9.049658444837405e-08
1853,3.882950295519549e-06,8.480143276479168e-08,6.927440665549511e-08
1854,4.1134076127491426e-06,9.144369528257812e-08,9.975676107387699e-08
1855,3.97330359191983e-06,6.63367138997728e-08,1.0720012966203285e-07
1856,4.294478458177764e-06,8.024643349813232e-08,9.422484481547144e-08
1857,4.201514911983395e-06,8.396195760873582e-08,1.532793874048366e-07
1858,3.6208309666108107e-06,9.542668594209047e-08,1.2527810611118184e-07
1859,3.590491360228043e-06,4.735721281790006e-08,1.3137807264307355e-07
1860,3.6782250845135422e-06,5.81302364022207e-08,1.2449940811620763e-07
