year,son_DET air_NOUN,son_DET nerf_NOUN
1800,3.744699938579288e-06,1.4463157071986643e-07
1801,3.2907943818827334e-06,7.857902772911984e-08
1802,3.01660844570506e-06,1.0070280609397742e-07
1803,3.2161094338789553e-06,3.315576790896557e-08
1804,5.203246075780044e-06,7.909923027682453e-08
1805,4.591247318330716e-06,1.3077237781544682e-07
1806,3.316801098662836e-06,1.988351669979238e-07
1807,2.9067411730920867e-06,3.4163463169534225e-08
1808,3.6189201750858047e-06,9.744118045773575e-08
1809,3.3411062361210497e-06,6.551188391767937e-08
1810,4.701314708199789e-06,7.254392908606633e-08
1811,3.123817577943555e-06,5.766276700569506e-08
1812,3.5740591215471795e-06,1.5469807124190993e-07
1813,3.830487941058891e-06,5.176335093892703e-08
1814,2.712435588136941e-06,1.0069366851439554e-07
1815,2.5192067028001475e-06,1.888056444521169e-08
1816,2.336144632408832e-06,4.6352077731626196e-09
1817,3.154225424850665e-06,5.916118794857539e-08
1818,3.2509049674445123e-06,2.98029441125891e-08
1819,3.006980080044741e-06,4.2439304182018134e-08
1820,2.8004895398225926e-06,3.5599444281331216e-08
1821,3.0501582557462825e-06,1.972297702934611e-08
1822,3.708475276198442e-06,2.4061478143266868e-08
1823,3.294887733318319e-06,6.621399961659336e-08
1824,3.3566554122899106e-06,6.06320114115988e-08
1825,3.051086025607219e-06,7.308517524506897e-08
1826,2.971813813701374e-06,3.435113882233054e-08
1827,2.367917545598175e-06,5.7147094167930845e-08
1828,2.8690957378785242e-06,2.384798314380987e-08
1829,3.1334958237039245e-06,1.3802812759422523e-07
1830,3.266729635242882e-06,5.114049628218709e-08
1831,2.6598597173688177e-06,8.575163690238696e-08
1832,3.1470708279357495e-06,1.1229874274931717e-07
1833,2.992051236105908e-06,4.9809603552830595e-08
1834,2.660341408500244e-06,7.467624874024636e-08
1835,3.758854660418365e-06,8.697551123759695e-08
1836,3.0209770613964793e-06,3.5619975857770214e-08
1837,2.594597589222758e-06,7.097048637660919e-08
1838,2.1821143860734082e-06,1.3949878052699205e-07
1839,2.5903414666572644e-06,9.158832625644209e-08
1840,2.4211187366063314e-06,8.72647376581881e-08
1841,2.19454339855929e-06,6.484754200286602e-08
1842,2.563898988228175e-06,1.3684861244200874e-07
1843,2.5187068644072497e-06,7.383638944702398e-08
1844,2.2870834754940006e-06,1.3227432305029652e-07
1845,2.1913555343644475e-06,5.9150414788433636e-08
1846,2.2832555970353496e-06,1.0655192284048098e-07
1847,1.7231349573876287e-06,6.795461438002803e-08
1848,1.861664259195095e-06,8.36703070161704e-08
1849,1.814981274605998e-06,5.6142081650278897e-08
1850,2.033983264482231e-06,1.2423862472132896e-07
1851,1.946440590927523e-06,9.158203084780325e-08
1852,2.186241260915267e-06,3.711010876372711e-08
1853,2.1325768670976686e-06,5.0761421732659073e-08
1854,1.806012946303781e-06,3.688921862421424e-08
1855,2.283574971784219e-06,9.181000848457188e-08
1856,2.1438741697465957e-06,1.3667780124348994e-07
1857,2.5906168019673714e-06,9.518942789554785e-08
1858,2.563307546665783e-06,2.6376912648506945e-07
1859,2.6056650312966667e-06,1.2781354996604932e-07
1860,2.5115007389331367e-06,8.879736509981306e-08
1861,2.4782389971278462e-06,1.188422891762464e-07
1862,2.169085220771194e-06,6.325181112210032e-08
1863,2.2745503827081848e-06,3.9457503930862003e-08
1864,2.256878445905386e-06,5.418042547944424e-08
1865,2.1660896720732126e-06,6.307171673824996e-08
1866,2.137950218639162e-06,1.2164032625605614e-07
1867,2.274512837630027e-06,1.0385016224745414e-07
1868,2.023866386480222e-06,1.2053292408609195e-07
1869,2.680563682133652e-06,8.546158625222233e-08
1870,2.18409924457319e-06,6.995539880705337e-08
1871,1.8183455026132833e-06,1.0302541642026597e-07
1872,2.324597190295208e-06,1.5178821843875312e-07
1873,1.9173172347564105e-06,1.1792429094326096e-07
1874,2.140702434871855e-06,6.273339447915305e-08
1875,2.025420656082133e-06,1.3960525802048096e-07
1876,2.0943396350503463e-06,8.52488066804824e-08
1877,2.3663106958338176e-06,9.648312726540098e-08
1878,1.957268594310335e-06,1.0749577938895527e-07
1879,2.1663667695293043e-06,9.04180126326537e-08
1880,2.0954267370143498e-06,6.417846520889725e-08
1881,2.084779836764028e-06,1.0319310894679745e-07
1882,2.3786346616816445e-06,8.319231170617059e-08
1883,2.396925211201051e-06,6.635305993540896e-08
1884,2.157434650484902e-06,5.2813577511301446e-08
1885,1.948515688354746e-06,9.668453770927954e-08
1886,2.0980211843379948e-06,7.679621916167889e-08
1887,1.9488839910764e-06,8.814047935956637e-08
1888,2.1298123726865015e-06,5.960177729136262e-08
1889,1.9992051534245547e-06,9.147099433448602e-08
1890,1.9145362699646284e-06,5.89894781910516e-08
1891,2.028276767873649e-06,1.0644947323612541e-07
1892,2.09305632381529e-06,6.26851246465776e-08
1893,2.0390516652923907e-06,9.237624754021567e-08
1894,2.2338957421652594e-06,6.301539601238915e-08
1895,2.025263782456932e-06,1.0231644953506702e-07
1896,2.1264687148914163e-06,7.135405022395958e-08
1897,1.76607687762953e-06,9.847146031916054e-08
1898,2.0652996397529932e-06,7.016359715450449e-08
1899,1.971687261459465e-06,1.1386811671343366e-07
1900,1.78520316040931e-06,6.800279805929677e-08
1901,1.8141046993491727e-06,7.377135391450906e-08
1902,1.4102335725851844e-06,1.2914046232381793e-07
1903,1.7631719160249304e-06,4.75219366080637e-08
1904,1.7343915459377968e-06,1.0050549015261367e-07
1905,1.5234560208909897e-06,7.431493287413105e-08
1906,2.2264030548058145e-06,7.922044120700633e-08
1907,1.7902237487987804e-06,8.485691527226891e-08
1908,1.8741860472459848e-06,6.384805528725224e-08
1909,2.0535172211566532e-06,7.921416056433372e-08
1910,2.053757199860229e-06,6.199214819258003e-08
1911,1.769024429165711e-06,8.459394684745547e-08
1912,1.8456979020697872e-06,6.87643602059751e-08
1913,2.1302108592635705e-06,6.681766695493252e-08
1914,1.8221840178966886e-06,8.170027143705738e-08
1915,1.4737732669800607e-06,6.243803685190841e-08
1916,1.5470346852453076e-06,9.778840937002542e-08
1917,1.4530512828514475e-06,9.431124969871973e-08
1918,1.8320770394097963e-06,7.466144325007917e-08
1919,1.949301491777078e-06,5.616787668305534e-08
1920,2.0384448760069063e-06,7.193619788736783e-08
1921,2.056000909078648e-06,1.1586303472199688e-07
1922,2.298226874586362e-06,1.1214461625996819e-07
1923,2.239965013473011e-06,8.811237250938575e-08
1924,2.1206722067290684e-06,5.543398540197586e-08
1925,2.283221647303435e-06,1.3637741158589733e-07
1926,2.3562936775078924e-06,1.3486827266095958e-07
1927,4.604630063909099e-06,1.0368778902147824e-07
