year,en_ADP aîné_NOUN
1800,1.5720821977538435e-08
1801,1.4287095950749062e-08
1802,1.3427040812530322e-08
1803,2.5354410126965377e-08
1804,2.4718509905596875e-08
1805,1.9900143755080535e-08
1806,3.688536480694893e-07
1807,5.4092147649953404e-08
1808,5.6651849433819734e-08
1809,3.388545621874073e-08
1810,0.0
1811,7.521229861140455e-09
1812,8.00162425207418e-09
1813,2.0130190847567064e-08
1814,3.1466771410748606e-09
1815,5.933891955578474e-08
1816,7.416332437060191e-08
1817,2.9580593974287694e-08
1818,5.960588467246453e-09
1819,4.243930362690662e-08
1820,3.085285271708926e-08
1821,9.861488337037372e-08
1822,6.917674966189225e-08
1823,1.1859224713361982e-08
1824,1.51580028528997e-08
1825,1.4088708866211164e-08
1826,1.4092774947016551e-08
1827,3.7790819362726324e-08
1828,1.0089530988466322e-08
1829,9.001834655464336e-08
1830,3.1310506187764986e-08
1831,1.4032085715598441e-08
1832,6.629684889958298e-08
1833,3.4750886612755494e-09
1834,3.080395316601425e-08
1835,1.739510224751939e-08
1836,1.2097349788575684e-08
1837,8.349468672008697e-09
1838,8.837026399532988e-08
1839,1.6080392128969834e-08
1840,4.8409635411417185e-08
1841,1.4767261191650505e-08
1842,2.6162233268678392e-08
1843,1.5357969118667825e-08
1844,1.3721403568922597e-08
1845,1.2276501593078137e-08
1846,2.4588905134237393e-08
1847,1.5640349459999925e-08
1848,2.815827571112095e-08
1849,8.379414495607307e-09
1850,4.752297400045791e-08
1851,2.3217978650791338e-08
1852,1.3021090872200602e-08
1853,2.388772735173461e-08
1854,1.1430461910322265e-08
1855,1.963566731433275e-08
1856,3.675804194358534e-08
1857,3.4658715009072694e-08
1858,4.257498176230001e-08
1859,1.3748867822016564e-08
1860,1.4646988510946812e-08
1861,1.1789909493131745e-08
1862,1.8071945717679228e-08
1863,1.048870412745373e-08
1864,1.5343129433631475e-08
1865,6.118897744045171e-08
1866,2.968023871119385e-08
1867,1.5043715606566366e-08
1868,2.5687345583946808e-08
1869,3.41846337903462e-08
1870,2.064257564882155e-08
1871,6.37270636261178e-09
1872,1.3304146229131675e-08
1873,3.052862140862089e-08
1874,1.7326366119618797e-08
1875,1.716458086775674e-08
1876,2.8416270225761764e-08
1877,1.4225077116236662e-08
1878,9.058632954861423e-09
1879,2.993569481191116e-08
1880,1.6686399817444908e-08
1881,1.3945014920579979e-08
1882,2.4624924321869912e-08
1883,3.222862687835004e-08
1884,2.178559910248623e-08
1885,2.127059772760731e-08
1886,4.001147502208369e-08
1887,1.828098916689669e-08
1888,1.1413106904001324e-08
1889,3.821733329800736e-08
1890,1.4419650362640368e-08
1891,1.784781566982474e-08
1892,3.447681962143179e-08
1893,2.0322774574310642e-08
1894,1.449354058991048e-08
1895,1.3842813118003505e-08
1896,1.9460195233023114e-08
1897,1.631479840114025e-08
1898,1.4711722506888236e-08
1899,9.39688327150634e-09
1900,9.863001082521805e-09
1901,1.117747761014698e-08
1902,9.329538919189417e-09
1903,1.1880484152015924e-08
1904,1.1286712897629059e-08
1905,9.805441791854719e-09
1906,5.658602919567102e-09
