year,bien_ADV ôter_VERB,bien_ADV oter_VERB,bien_ADV noter_VERB
1800,2.829747991484055e-08,0.0,2.2009151834367913e-08
1801,6.191074675143682e-08,0.0,1.1905912700171939e-08
1802,5.370816325012129e-08,0.0,4.475680270843441e-09
1803,1.1702034896643454e-08,0.0,3.900678446910888e-09
1804,2.4718509905596875e-08,0.0,1.9774807569206132e-08
1805,1.1371510844071508e-08,0.0,1.1371510844071508e-08
1806,5.76333825108577e-09,0.0,8.645007376628655e-09
1807,1.1387820464392462e-08,2.8469551160981155e-09,1.9928686256776018e-08
1808,3.3991110370834576e-08,0.0,2.2660739951163578e-09
1809,1.581321384946932e-08,0.0,1.581321384946932e-08
1810,3.978215445954447e-08,0.0,0.0
1811,0.0,0.0,2.5070767684098882e-09
1812,1.600324850414836e-08,0.0,2.6672082320544632e-09
1813,2.300593315851529e-08,0.0,0.0
1814,6.293354282149721e-09,0.0,7.552024783308298e-08
1815,1.6183340889597275e-08,0.0,1.3486118000116676e-08
1816,2.0858434979231788e-08,0.0,0.0
1817,5.60474440192138e-08,0.0,0.0
1818,2.98029441125891e-08,0.0,1.9073883805731384e-08
1819,3.622867339458935e-08,0.0,9.315945348475907e-09
1820,3.085285271708926e-08,0.0,5.22125169766241e-08
1821,3.0570614484304315e-08,0.0,8.875339574387908e-09
1822,2.2056354964661296e-08,0.0,8.02049271442229e-09
1823,4.15072847204101e-08,0.0,6.028439258898288e-08
1824,3.03160057057994e-08,0.0,1.51580028528997e-08
1825,1.937197424695114e-08,0.0,1.0566531649658373e-08
1826,4.051672775062798e-08,1.7615968683770689e-09,4.844391554570393e-08
1827,1.6591091167583727e-08,0.0,4.3321183085254233e-08
1828,2.109629271274116e-08,0.0,6.420610709767516e-09
1829,6.858540846366168e-09,0.0,1.457439946506156e-08
1830,2.1917355041978226e-08,1.0436835840010872e-09,2.817945699007396e-08
1831,4.2096257146795324e-08,0.0,1.7150327380477393e-08
1832,1.488296597074168e-08,0.0,2.3000948701223933e-08
1833,1.7375443306377747e-08,0.0,4.40177885252524e-08
1834,2.42697808516823e-08,0.0,4.1071935186209885e-08
1835,1.8907719834260206e-08,0.0,2.4201881387853064e-08
1836,3.36037508930076e-08,2.016224964762614e-09,5.981467410265395e-08
1837,2.365682938432201e-08,0.0,4.5922078584226256e-08
1838,8.2058102535143e-09,0.0,3.787297231383491e-08
1839,2.516931019158619e-08,0.0,6.711816524784808e-08
1840,1.7198159341091923e-08,0.0,1.1274349276391149e-07
1841,1.5409316489467528e-08,6.420548537278137e-10,6.420548714913821e-08
1842,1.1404051036834062e-08,6.708265054555795e-10,3.287049921141261e-08
1843,8.860366662588604e-09,0.0,5.434358030242947e-08
1844,3.841992946007622e-09,0.0,3.1284798751585186e-08
1845,6.696273757711424e-09,0.0,2.17628883802945e-08
1846,9.367202125076801e-09,0.0,6.6741314697083e-08
1847,1.3483059113639229e-08,0.0,5.015698079091635e-08
1848,1.528592186161859e-08,0.0,5.148941895072312e-08
1849,5.02764896381791e-09,0.0,6.703531596485846e-08
1850,1.6293590476834652e-08,0.0,4.277067588986938e-08
1851,2.579775504329973e-09,0.0,5.7400004749297295e-08
1852,5.208436348880241e-09,6.510545436100301e-10,3.385483537954315e-08
1853,1.3138249599364826e-08,0.0,4.777545470346922e-08
1854,9.352196350675968e-09,0.0,4.676098086520142e-08
1855,1.0083180512765466e-08,0.0,7.90733594158155e-08
1856,2.0708757375587084e-08,0.0,4.918329921110853e-08
1857,1.9526035899275485e-08,0.0,7.322263684272912e-08
1858,6.361778659424999e-09,0.0,8.221375935590913e-08
1859,1.8331824946926645e-08,0.0,1.0031581609837303e-07
1860,1.0985241161165504e-08,0.0,5.53839250017063e-08
1861,3.206855225812433e-08,0.0,3.8670901147952463e-08
1862,1.671654992208005e-08,0.0,4.653525920161883e-08
1863,7.491931519609807e-09,0.0,5.8437063188421234e-08
1864,1.965838514195184e-08,9.589455896019672e-10,7.815406632971644e-08
1865,8.943004559114343e-09,4.706844358715045e-10,6.448377121159865e-08
1866,6.3252967308358166e-09,0.0,8.028261078152354e-08
1867,2.038180824115443e-08,0.0,4.513114504334226e-08
1868,1.778354707937524e-08,0.0,7.16281718382561e-08
1869,1.3185501579471293e-08,0.0,4.150991372853241e-08
1870,5.734048791339319e-09,0.0,1.0665331018344659e-07
1871,1.5931766128574054e-08,0.0,9.346636176132961e-08
1872,1.4513614310374123e-08,6.047339295989218e-10,7.014913261382816e-08
1873,7.781805422268917e-09,0.0,6.883905001586754e-08
1874,8.364453130127458e-09,5.974609140757536e-10,5.197910013521323e-08
1875,1.1443054503956773e-08,0.0,4.806082642971887e-08
1876,5.441413541973361e-09,0.0,7.376138078107886e-08
1877,1.0514186854493346e-08,0.0,4.7004601100297805e-08
1878,9.662541877730746e-09,0.0,8.152769748193123e-08
1879,1.221865097988939e-08,1.221865053580018e-09,6.109325467740234e-08
1880,7.701415505323439e-09,6.417846254436199e-10,5.39099098695317e-08
1881,1.8128519130300447e-08,0.0,7.460582907015123e-08
