year,un_DET or_NOUN,un_DET nord_NOUN
1800,4.4961552170263985e-07,2.2009152278457123e-08
1801,5.762461718905598e-07,4.7623650800687756e-08
1802,6.019789964284428e-07,1.1189200677108602e-08
1803,3.335080056565687e-07,2.3404069793286908e-08
1804,6.67399774556543e-07,1.2359254952798437e-08
1805,4.264316615376629e-07,0.0
1806,4.2072369854651015e-07,1.152667650217154e-08
1807,4.128084847287994e-07,2.8469551160981155e-09
1808,5.053345026873046e-07,2.2660739951163578e-09
1809,2.6430655797327063e-07,1.581321340538011e-08
1810,3.5803939590906e-07,1.1700633795186377e-08
1811,7.420947225611485e-07,7.521230305229665e-09
1812,4.4275655497472144e-07,2.6672082320544632e-09
1813,4.486157074712338e-07,5.463909147351842e-08
1814,2.5488085952929396e-07,3.1466771410748606e-09
1815,2.8051123601713357e-07,5.394447111228828e-09
1816,3.3373494900956757e-07,4.1716869958463576e-08
1817,3.596377702308473e-07,0.0
1818,4.1128063266171466e-07,0.0
1819,4.3370898339389896e-07,0.0
1820,5.339916668845035e-07,2.3732962262101864e-09
1821,3.9939027973723285e-07,1.577838115718322e-08
1822,4.210758675071702e-07,1.0025615893027862e-09
1823,3.3996441639594366e-07,1.9765373338032077e-08
1824,3.9747652991195537e-07,7.57900142644985e-09
1825,3.971254782797473e-07,2.641632912414593e-09
1826,3.1796822663743285e-07,8.807984341885344e-09
1827,3.659257501453794e-07,1.4747636611911474e-08
1828,3.3754069272973197e-07,2.7516904310687096e-09
1829,2.700550321144135e-07,5.143905579263475e-09
1830,2.661393030400916e-07,1.0436835617966267e-08
1831,3.3677005895071943e-07,1.7150327158432788e-08
1832,3.084832966848694e-07,2.976593194148336e-08
1833,3.312917766784551e-07,5.791814139399776e-09
1834,4.2005388944943434e-07,1.8669061851994684e-09
1835,4.00843653380889e-07,1.0588323107185715e-08
1836,3.803944532698722e-07,1.1425275392440426e-08
1837,3.0266826422931103e-07,3.4789453540184923e-09
1838,4.336455154962948e-07,2.5248647617104325e-09
1839,2.712692359629898e-07,4.194884994923598e-09
1840,3.044711236466213e-07,5.095750932326837e-09
1841,3.890852333654493e-07,7.0626033910059505e-09
1842,3.0790937222135994e-07,2.0124795163667386e-09
1843,3.142476772133307e-07,5.906911071384968e-10
1844,2.969311720946166e-07,6.037417232818143e-09
1845,2.818015216732306e-07,3.3481367678334095e-09
1846,2.359364073001302e-07,3.5127007969038004e-09
1847,2.389198110464008e-07,2.1033573105455616e-08
1848,2.622742316660265e-07,8.045221600028185e-09
1849,2.1702684072089085e-07,7.541473445726865e-09
1850,2.4033045598059743e-07,2.7155984128057753e-09
1851,2.8313036226634836e-07,3.8696632564949596e-09
1852,2.994851013848887e-07,9.114763388495817e-09
1853,3.039713381003395e-07,1.134667049207394e-08
1854,3.0342679568917674e-07,8.832629738719788e-09
1855,3.157627688210596e-07,1.4328730202350926e-08
1856,3.05454175508757e-07,2.0191037619632368e-08
1857,4.0760602182388084e-07,7.810414592857029e-09
1858,2.8089699988242955e-07,2.9362056119808244e-09
1859,2.8261562801112916e-07,1.1711998704200255e-08
1860,2.3984443742186556e-07,1.0069804323720177e-08
1861,2.801282459330423e-07,1.7920662287451705e-08
1862,3.203252283423552e-07,7.680576730173527e-09
1863,3.156600310028068e-07,5.993544882620938e-09
