year,en_ADP hectares_NOUN,en_ADP nectar_NOUN
1800,2.829747991484055e-08,9.432493897065797e-09
1801,3.333655484993869e-08,1.4287095950749062e-08
1802,4.2518962573012686e-08,2.2378401354217203e-09
1803,9.55666195068261e-08,9.751696339321825e-09
1804,2.2246657849223084e-08,2.2246657849223084e-08
1805,3.1271653710973624e-08,0.0
1806,6.051505163640059e-08,2.881669125542885e-09
1807,2.8469552049159574e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,4.743964066022954e-08,6.7770917766551975e-09
1810,2.574139479349924e-08,2.3401267590372754e-09
1811,2.2563691359778204e-08,2.5070767684098882e-09
1812,8.00162469616339e-09,1.3336041604361526e-08
1813,8.339650503508267e-08,0.0
1814,1.5733385705374303e-08,3.1466771410748606e-09
1815,1.0788894222457657e-08,8.091670444798638e-09
1816,3.476405652236281e-08,9.270415546325239e-09
1817,6.227493631882908e-09,6.227493631882908e-09
1818,1.4305412410209328e-08,1.7881765401739358e-08
1819,1.0351049795076506e-08,0.0
1820,2.4919611263385377e-08,5.933240565525466e-09
1821,2.6626017834985305e-08,9.861488514673056e-09
1822,3.709477880420309e-08,7.017931125119503e-09
1823,1.581229902569703e-08,1.9765373782121287e-09
1824,2.3579115548955087e-08,8.421112696055388e-10
1825,1.4088708866211164e-08,0.0
1826,3.523193625731835e-08,5.284790383086602e-09
1827,1.6591091167583727e-08,7.373818444733615e-09
1828,3.5771975603893225e-08,2.7516904310687096e-09
1829,4.029392641768936e-08,2.2290258527846163e-08
1830,4.0703660886265425e-08,1.1480519646056564e-08
1831,2.0268567268999504e-08,0.0
1832,2.3000947924067816e-08,1.3529969367098715e-09
1833,4.9809603552830595e-08,2.3167257001688313e-09
1834,7.934351486937885e-08,3.733812370398937e-09
1835,5.52105419160398e-08,0.0
1836,5.779845224651581e-08,6.048674894287842e-09
1837,4.592208013853849e-08,1.3915781860163179e-09
1838,4.670999720346458e-08,7.574594285131298e-09
1839,4.47454411300896e-08,6.9914751765765e-10
1840,1.2675680949314483e-07,3.1848443882154243e-09
1841,1.0722315879618805e-07,3.2102742686390684e-09
1842,1.1806546229564674e-07,5.366612043644636e-09
1843,4.489252369843655e-08,6.497602011990011e-09
1844,3.841992773923053e-08,2.195424508855126e-09
1845,6.75207607603312e-08,5.580227946389016e-10
1846,1.153336754988743e-07,6.439951683034906e-09
1847,7.280852010183025e-08,3.775256551818984e-09
1848,9.010648127638632e-08,1.6090443422100975e-09
1849,9.217356389257247e-08,2.513824481908955e-09
1850,6.381656092457888e-08,6.788996032014438e-10
1851,6.449438449962486e-08,6.449438760824933e-10
1852,1.386746126819105e-07,9.114764054629632e-09
1853,3.822036354073077e-08,2.388772735173461e-09
1854,4.9878380536938494e-08,3.63696517347023e-09
1855,5.041590256382733e-08,1.2205955357558196e-08
1856,5.1254172461767666e-08,9.836659486950339e-09
1857,3.5146864751922635e-08,5.369659827891837e-09
1858,1.8106600552236785e-08,1.468102750479261e-09
1859,3.258990921573002e-08,4.073738679721828e-09
1860,4.577183884690861e-08,2.288591982591015e-09
1861,3.725611519289629e-08,7.073945429425521e-09
1862,5.4215835626481024e-08,1.8071945051545413e-09
1863,4.24542753174606e-08,1.4484400345793347e-08
1864,2.8768368243170528e-08,2.8768367688059016e-09
1865,8.142841068092821e-08,2.8241067262513297e-09
1866,9.098695807896462e-08,9.731225825149181e-10
1867,3.9307774812868956e-08,9.7056229719783e-10
1868,4.396487962576856e-08,1.975949626142892e-09
1869,3.955650629272611e-08,0.0
1870,2.1789385851178622e-08,2.2936195165357276e-09
1871,3.7174120004479505e-08,0.0
1872,3.8098239008022006e-08,0.0
1873,3.651462809894923e-08,1.1972008939764578e-09
1874,2.2106053876314036e-08,0.0
1875,3.604562104353448e-08,1.6592428764283795e-08
1876,4.7763515365062403e-08,3.02300739996042e-09
1877,7.174386629227314e-08,6.80329748092845e-09
1878,3.321498698305447e-08,1.8117265465633636e-09
1879,5.681672687884998e-08,1.5273313280772527e-08
1880,5.840240135945862e-08,3.8507077526617195e-09
1881,7.321132727833302e-08,6.2752567586699115e-09
1882,2.994923375965186e-08,6.655385131892899e-10
1883,4.549924076391321e-08,8.847074184359371e-09
1884,5.6114422442021805e-08,7.2618666635548834e-09
1885,8.95943386147735e-08,7.090199094506033e-09
1886,7.421483472214163e-08,4.5174246565693466e-09
1887,1.0968593211480027e-07,8.48760173255414e-09
1888,4.69205490016833e-08,1.268122939990235e-09
1889,7.392861522959038e-08,3.759081934617825e-09
1890,5.4401406324178225e-08,6.554386366985909e-09
1891,5.673055980537356e-08,5.736798147637501e-09
1892,7.396844581286643e-08,6.8953633913793055e-09
1893,7.328515794213786e-08,5.542574843531156e-09
1894,5.545354642144673e-08,5.041231432301174e-09
1895,7.52326836384043e-08,4.213029924926559e-09
1896,3.0074847279237815e-08,2.358811590497112e-09
1897,4.661370667236042e-08,1.3401440845939305e-08
1898,4.6398508368739044e-08,1.1882545614128048e-08
