year,un_DET aîné_NOUN,un_DET néné_NOUN
1800,5.345079756580162e-08,0.0
1801,4.0480102825313224e-08,0.0
1802,4.699464284385613e-08,0.0
1803,8.191424427650418e-08,0.0
1804,4.2021466750696845e-08,0.0
1805,1.0518647619583987e-07,0.0
1806,1.4696512096179504e-07,0.0
1807,1.0249038240317532e-07,0.0
1808,2.6513066586630885e-07,0.0
1809,1.6716825257390155e-07,0.0
1810,1.4976811257838563e-07,0.0
1811,3.259199843341776e-08,0.0
1812,1.173571630985748e-07,0.0
1813,1.552900528167811e-07,0.0
1814,2.8320094713762956e-08,0.0
1815,5.3944472000466703e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,4.203558034987509e-08,0.0
1818,1.9073883805731384e-08,0.0
1819,1.1593175663904276e-07,0.0
1820,6.17057045460001e-08,0.0
1821,1.1044866865539404e-07,0.0
1822,8.622029668003961e-08,0.0
1823,2.470671778276312e-08,0.0
1824,3.452656116564867e-08,0.0
1825,1.1359021234724764e-07,0.0
1826,1.5766292493779588e-07,0.0
1827,1.447111911967447e-07,0.0
1828,6.053718948351161e-08,0.0
1829,7.201467672190986e-08,0.0
1830,8.871310241964636e-08,0.0
1831,2.9623292041591753e-08,0.0
1832,5.547287473817164e-08,0.0
1833,9.498575082034222e-08,0.0
1834,3.080395316601425e-08,0.0
1835,5.8235777089521434e-08,0.0
1836,4.435694939131096e-08,0.0
1837,1.6698937344017395e-08,0.0
1838,6.56464820281144e-08,0.0
1839,3.5656523067473245e-08,0.0
1840,6.815566555573582e-08,6.369688665408546e-10
1841,5.457466256686416e-08,0.0
1842,6.439934363555722e-08,6.708265054555795e-10
1843,5.375289108267012e-08,0.0
1844,1.920996517412732e-08,0.0
1845,8.537749085490987e-08,0.0
1846,5.034871297660004e-08,0.0
1847,5.2314271137277046e-08,0.0
1848,7.964769310753184e-08,0.0
1849,2.2624419893091385e-08,0.0
1850,5.906426547852561e-08,0.0
1851,2.257303544084266e-08,0.0
1852,6.054807055733136e-08,0.0
1853,5.971931926751495e-08,0.0
1854,8.884586205626377e-08,0.0
1855,4.8823821430232783e-08,0.0
1856,7.040977578753882e-08,0.0
1857,5.4672902649599564e-08,0.0
1858,7.585198025239492e-08,0.0
1859,5.754155996129384e-08,0.0
1860,5.446849016266242e-08,0.0
1861,4.951762078153621e-08,0.0
1862,5.737842556641226e-08,1.3553959066214816e-09
1863,3.8458580597922065e-08,1.4983863039219614e-09
1864,5.418042547944424e-08,2.3973640850272204e-09
1865,9.507825637911083e-08,2.3534221238463715e-09
1866,5.498142618964863e-08,0.0
1867,6.066014179850754e-08,1.455843445796745e-09
1868,5.335063946176888e-08,4.93987406535723e-10
1869,3.66263921414145e-08,1.4650557433881772e-09
1870,5.504686706458983e-08,0.0
1871,6.585129597169725e-08,0.0
1872,5.321658758106196e-08,1.2094678591978436e-09
1873,7.42264560926742e-08,0.0
1874,5.735624597491551e-08,0.0
1875,8.06735354075272e-08,0.0
1876,4.413590914964516e-08,1.209202959984168e-09
1877,3.5253449937044934e-08,0.0
1878,4.046189405748635e-08,6.039088673581716e-10
1879,5.742765596394861e-08,6.10932526790009e-10
1880,1.1808837396820593e-07,0.0
1881,4.880755333225295e-08,0.0
1882,7.454031147879903e-08,6.655385131892899e-10
1883,3.6020232130340446e-08,0.0
1884,8.450172028773295e-08,6.601696966868076e-10
1885,3.8029249194160286e-08,0.0
1886,5.8726520535401505e-08,0.0
1887,6.790081386043312e-08,0.0
1888,3.233713385952797e-08,0.0
1889,6.515742256851809e-08,0.0
1890,7.668632512336515e-08,0.0
1891,7.33035321331954e-08,6.374220040683554e-10
1892,5.2655504845233736e-08,0.0
1893,6.220000559054029e-08,0.0
1894,6.616616077259607e-08,6.301539290376468e-10
1895,4.935263930860856e-08,0.0
1896,6.545702291305133e-08,0.0
1897,5.418843618265612e-08,0.0
1898,4.979352252743041e-08,0.0
1899,3.592925956752424e-08,0.0
1900,4.412395238073685e-08,0.0
1901,5.47696430430733e-08,0.0
1902,5.0084896952018454e-08,0.0
