year,son_DET or_NOUN,son_DET nord_NOUN
1800,1.25452167765161e-06,7.545995117652637e-08
1801,1.0381955606320048e-06,5.9529565277216534e-08
1802,9.95838888684375e-07,2.394488944901241e-07
1803,1.0044246694373982e-06,1.950339267864365e-08
1804,1.2977217114240602e-06,6.426812682036598e-08
1805,9.950072372699736e-07,4.264316544322355e-08
1806,7.578790048867745e-07,7.492339904047185e-08
1807,9.394952158459091e-07,2.8469551160981155e-09
1808,1.0741191260876803e-06,2.4926813058101516e-08
1809,9.82678247218871e-07,3.840352036377226e-08
1810,9.407309633502337e-07,7.020380277111826e-09
1811,1.0178731670862362e-06,2.7327136820076703e-07
1812,6.107906798114016e-07,1.3336041604361526e-08
1813,8.655982277616658e-07,2.8757416448144113e-09
1814,9.471498465529749e-07,2.2026739543434815e-08
1815,1.1220449911419905e-06,9.170560133497929e-08
1816,1.0614625640670283e-06,1.8540831092650478e-08
1817,9.761595762824982e-07,1.0898113522728181e-08
1818,8.750144031566265e-07,7.867977025455275e-08
1819,1.1613878356797613e-06,1.8631890696951814e-08
1820,1.301752971194503e-06,2.7292905713238724e-08
1821,8.924646834884697e-07,2.5639868894700157e-08
1822,8.431543250253526e-07,7.017931125119503e-09
1823,9.872803836685762e-07,1.9765373338032077e-08
1824,1.142745000848322e-06,2.947389443619386e-08
1825,1.0997997854644836e-06,2.289415190759314e-08
1826,1.026130223347188e-06,1.9377565774192362e-08
1827,6.885303113213226e-07,1.198245475064752e-08
1828,7.989074619629832e-07,2.2930753296179773e-08
1829,9.207591245008473e-07,4.286587973467704e-09
1830,7.723258761416218e-07,2.0873671680021744e-09
1831,6.89131281594868e-07,1.091384405071949e-08
1832,8.104451931778556e-07,4.058990921151917e-09
1833,1.0911778209887757e-06,5.444305450907905e-08
1834,9.455880087827495e-07,1.8669062296083894e-08
1835,8.417716941266917e-07,1.1344631900556124e-08
1836,8.078341666717392e-07,3.29316747205155e-08
1837,9.170500074873189e-07,1.87863058442872e-08
1838,9.076888827230789e-07,2.6511079775914936e-08
1839,7.858418245021426e-07,9.788065469251706e-09
1840,8.917564064958583e-07,2.6752693393916616e-08
1841,8.539329705570253e-07,2.24719207686519e-08
1842,1.0042272644561479e-06,6.708265054555795e-09
1843,9.297478165137818e-07,3.5441467538532834e-09
1844,9.270180119091975e-07,1.4819115712327857e-08
1845,8.05226888278554e-07,1.1718479075994992e-08
1846,8.418772874385638e-07,1.8148954339380907e-08
1847,8.612977966393487e-07,5.9325460100012606e-09
1848,8.302668921267298e-07,8.84974404868899e-09
1849,8.320759299351721e-07,1.0055298149680425e-08
1850,8.106061244461671e-07,1.2899092460827433e-08
1851,8.010203007557948e-07,1.096404567135778e-08
1852,7.747549211067906e-07,2.2135854038651814e-08
1853,8.181546871099954e-07,1.1943863675867306e-08
1854,6.785537687292731e-07,7.793496792363186e-09
1855,8.761753029773445e-07,1.2736649068756378e-08
1856,6.947788167011026e-07,1.4496129407959302e-08
1857,8.630508023799166e-07,2.2943092758964667e-08
1858,8.015841483910435e-07,1.4681028059904122e-09
1859,9.57837786197402e-07,6.110608019582742e-09
1860,9.07655541837471e-07,3.661747127736703e-09
1861,8.328392091527803e-07,1.4147890858851042e-08
1862,8.588691873256948e-07,1.8975542942500923e-08
1863,8.161210391932627e-07,1.5982786927271064e-08
1864,7.091402398629043e-07,1.0548401263577034e-08
1865,8.458199216576645e-07,1.1767110841276462e-08
1866,8.037992778042735e-07,8.271541673821048e-09
1867,8.201251535666643e-07,1.358787216076962e-08
1868,6.871364561789051e-07,1.2349685496459983e-08
1869,7.676892104235833e-07,6.348574888015435e-09
1870,7.012741516376764e-07,8.601073187008978e-09
1871,6.691341827291808e-07,4.248470908407853e-09
1872,6.839540471759165e-07,1.269941218851045e-08
1873,5.596914229855088e-07,1.2570609608797412e-08
1874,6.10007602652729e-07,4.182226454041427e-09
1875,6.60264239726871e-07,2.0025344937835143e-08
1876,6.511557675281665e-07,1.4510435075720807e-08
1877,6.957918161631937e-07,9.277223766979148e-09
1878,5.284202395650084e-07,7.2469064082980594e-09
1879,6.763023017164471e-07,1.4662380642960215e-08
1880,6.052028771463824e-07,1.4761046163158653e-08
1881,6.066081423838909e-07,1.3247764218959901e-08
1882,6.442412558982369e-07,1.4641846846075168e-08
1883,5.207135540530317e-07,2.6541223441256534e-08
1884,6.03395125864381e-07,7.922036360241691e-09
1885,5.240301841347161e-07,1.4824961813708626e-08
1886,6.434103374530764e-07,1.4842966855610484e-08
1887,4.642065440929599e-07,3.0033054043698826e-08
