year,mon_DET aîné_NOUN
1800,9.746909634955614e-08
1801,7.619784270218588e-08
1802,4.4756802708434407e-08
1803,6.241085515057421e-08
1804,8.651478111687538e-08
1805,8.24434520652062e-08
1806,4.610670600868616e-08
1807,4.839823652957875e-08
1808,2.945896149242344e-08
1809,3.8403518809460024e-08
1810,1.3338722748557075e-07
1811,2.757784400841956e-08
1812,5.601137331723294e-08
1813,2.8757416448144113e-08
1814,6.293354370967563e-08
1815,1.888056444521169e-08
1816,1.8540831092650478e-08
1817,8.251429228778306e-08
1818,7.86797682561513e-08
1819,7.866798168443268e-08
1820,5.221251875298094e-08
1821,1.351023950491026e-07
1822,5.81485721795616e-08
1823,4.4472090010572174e-08
1824,5.978989925381484e-08
1825,9.421823765620729e-08
1826,4.227832528513886e-08
1827,7.465991469501887e-08
1828,1.5317743340403922e-07
1829,8.48744439174709e-08
1830,9.706257220187808e-08
1831,4.2096258034973744e-08
1832,7.306183669175681e-08
1833,8.687721297917506e-08
1834,9.801257760955195e-08
1835,7.33619529569296e-08
1836,5.1077699181334424e-08
1837,6.749153991236767e-08
1838,4.1660269900489766e-08
1839,5.8728391039153394e-08
1840,5.732719809969922e-08
1841,4.173356460412947e-08
1842,5.433694827416957e-08
1843,4.548321408393008e-08
1844,2.250310116025389e-08
1845,2.6785093254488856e-08
1846,7.493761700061441e-08
1847,1.6718993300912643e-08
1848,3.3789932407657375e-08
1849,6.787325745882811e-08
1850,5.4311967367937086e-08
1851,4.321123969752705e-08
1852,5.2084361934490175e-08
1853,2.8068080082377378e-08
1854,7.014146707895463e-08
1855,4.988520885262915e-08
1856,2.433278978308806e-08
1857,6.882927916507242e-08
1858,4.8447393208306266e-08
1859,4.582955837051372e-08
1860,5.858795226743041e-08
1861,7.215424657758263e-08
1862,5.3312238623703934e-08
1863,4.844782353075061e-08
1864,4.8906225069700326e-08
1865,3.2947911732250645e-08
1866,5.060237473486495e-08
1867,7.521857625647499e-08
1868,8.150792107919358e-08
1869,6.446245226499059e-08
1870,6.479475178622351e-08
1871,2.0180236148803488e-08
1872,7.498700971275696e-08
1873,4.669083319974732e-08
1874,4.2419725676534625e-08
1875,7.78127668965567e-08
1876,5.6227935862906975e-08
1877,6.926993934008863e-08
1878,4.166971256935881e-08
1879,3.787781777120358e-08
1880,6.096953897305468e-08
1881,6.414706898993927e-08
1882,3.3276926103553706e-08
1883,6.572112154490384e-08
1884,6.931781904029322e-08
1885,3.738468756786517e-08
1886,7.808691115940292e-08
1887,8.030577136608485e-08
1888,3.614150267949867e-08
1889,8.082026337064008e-08
1890,5.177965434199905e-08
1891,7.64906387118458e-08
1892,5.7043463286277074e-08
1893,5.419406456930176e-08
1894,5.923446799727117e-08
1895,4.754705384968361e-08
1896,7.194375095664896e-08
1897,5.185774876181881e-08
1898,5.8846890915731365e-08
1899,5.472302611053692e-08
1900,3.94520034419088e-08
1901,6.87414891675786e-08
1902,4.3210496514234364e-08
1903,5.0762069658816245e-08
1904,3.815983884436491e-08
1905,5.005936198898553e-08
1906,4.732649738770078e-08
1907,3.3428482648645286e-08
1908,5.2060724398117486e-08
1909,3.850688345963249e-08
1910,6.840512656314246e-08
1911,6.012022757406754e-08
1912,5.990834317515237e-08
1913,6.310557854050103e-08
1914,6.094036830717187e-08
1915,4.7123047686170594e-08
1916,5.493730803607377e-08
1917,1.0198774980096914e-07
1918,5.51346053256907e-08
1919,1.0036554698444888e-07
1920,7.420787140333118e-08
1921,8.935842110702197e-08
1922,7.230376897204849e-08
1923,8.917396243646181e-08
1924,6.059063606400628e-08
1925,1.2317959630081532e-07
1926,1.047737026027562e-07
1927,1.1483701634062982e-07
1928,8.226749592665783e-08
1929,6.572839605922809e-08
1930,8.087774983067675e-08
1931,9.46644611587999e-08
1932,7.781270650042416e-08
1933,9.405943224294333e-08
1934,6.47005329312833e-08
1935,5.6250933688772875e-08
1936,8.608547252819676e-08
1937,9.443338533365875e-08
1938,9.983215321085481e-08
1939,1.1164656665840766e-07
1940,7.860927153657826e-08
1941,1.1510859865282441e-07
1942,1.1530004506710156e-07
1943,1.248391119368364e-07
1944,1.3174063262511027e-07
1945,1.0456819676818441e-07
1946,1.6287691195771004e-07
1947,1.2993749542999922e-07
1948,1.0980606823807193e-07
1949,1.1976750435849226e-07
1950,1.2124312442907126e-07
1951,1.1834155655421341e-07
1952,7.381363020808607e-08
1953,1.0666089256261557e-07
1954,1.3290649292230228e-07
1955,1.2389002268520244e-07
1956,1.0639792646927049e-07
1957,8.304935539271696e-08
1958,9.843969905887207e-08
1959,1.1936151977920417e-07
1960,1.0450458365340864e-07
1961,1.3896319028816606e-07
1962,1.236681530514261e-07
1963,1.2867445553510493e-07
1964,9.490990704463798e-08
1965,1.2257376802438102e-07
1966,1.2130573878721407e-07
1967,1.2572355867490614e-07
1968,1.0464998634329703e-07
1969,8.992680422537092e-08
