year,ton_DET aîné_NOUN
1948,1.9569398546082084e-08
1949,6.8719057111366055e-09
1950,1.0635361258337639e-08
1951,1.7058242818279723e-08
1952,1.4762725264461096e-08
1953,1.6160740301529586e-08
1954,8.795282724349818e-09
1955,9.385607846468247e-09
1956,6.976913491385517e-09
1957,1.501956425897788e-08
1958,1.2408364835625463e-08
1959,6.200598257066758e-09
1960,2.07624992754063e-08
1961,1.1811870759270704e-08
1962,1.4586499841318101e-08
1963,1.0345685197421517e-08
1964,6.692365217553231e-09
1965,7.1136563306595235e-09
1966,9.970334224895794e-09
1967,4.930335695263466e-09
1968,1.0779397818794223e-08
1969,1.2716922154210053e-08
1970,6.898087712148282e-09
1971,4.624557625731995e-09
1972,1.6929485369132635e-08
1973,1.2680368532969055e-08
1974,1.012602895977821e-08
1975,1.0851811893530794e-08
1976,1.371246471926213e-08
1977,1.23412418062685e-08
1978,1.0693064211864112e-08
1979,1.2289143924704149e-08
1980,1.4212876653374451e-08
1981,1.3283653788054295e-08
1982,1.2415004135846175e-08
1983,1.38936957494451e-08
1984,1.0438215625185876e-08
1985,1.9851341903631692e-08
1986,1.7983455669057236e-08
1987,2.261002229886344e-08
1988,6.596209356501959e-09
1989,1.4269117443177493e-08
1990,9.80757214330552e-09
1991,1.75843961613964e-08
1992,9.917899890243831e-09
1993,1.4955859939380645e-08
1994,1.160483886764041e-08
1995,1.7894086878911253e-08
1996,1.3345230476247139e-08
1997,1.6782131240233866e-08
1998,1.144351013948608e-08
1999,1.1882523409667556e-08
2000,1.9439339027371716e-08
2001,1.883921035839009e-08
2002,1.358178702837165e-08
2003,2.6668307562260907e-08
2004,1.585724868080618e-08
2005,1.170974872621855e-08
2006,2.0177660431386357e-08
2007,1.837460494868992e-08
2008,2.0435711123312217e-08
2009,1.8119131084404216e-08
2010,3.401131076774533e-08
2011,2.4855817737368113e-08
2012,2.7914871414402853e-08
2013,3.960557437565626e-08
2014,3.57298471920231e-08
2015,3.9676700480661964e-08
2016,3.4798512071887444e-08
2017,3.421231298261773e-08
2018,3.201018761167518e-08
2019,3.8775015309688854e-08
