year,en_ADP aire_NOUN,en_ADP nerfs_NOUN
1800,4.7162466820793725e-08,6.917161954334006e-08
1801,1.619204113012529e-07,2.3811825400343878e-08
1802,3.3567602031325805e-08,3.5805442166747525e-08
1803,2.9255089017965474e-08,5.655983770225248e-08
1804,1.730295728918918e-08,9.887403784603066e-09
1805,3.695740935505398e-08,9.665784261869703e-08
1806,4.8988376022407465e-08,4.8988376022407465e-08
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,4.5321479014148736e-08,6.798221985349073e-09
1809,7.00299480627109e-08,2.0331274441787173e-08
1810,5.3822916346035754e-08,1.8721014072298203e-08
1811,5.0141535368197765e-09,5.0141535368197765e-09
1812,3.200649700829672e-08,1.0668832928217853e-08
1813,2.0130190847567064e-08,2.300593315851529e-08
1814,4.090680150170556e-08,0.0
1815,8.091670444798638e-09,2.697223555614414e-09
1816,7.184571870766376e-08,7.648093003354006e-08
1817,1.2454987263765815e-08,1.0898113522728181e-08
1818,7.152706427149269e-09,3.9339884239097955e-08
1819,2.484252026313527e-08,6.624672010957511e-08
1820,1.7799721696576398e-08,1.1866481131050932e-08
1821,3.7473656067099625e-08,4.832129363308013e-08
1822,3.0076847679083585e-08,2.5064039732569654e-08
1823,3.2612866407433216e-08,5.929612001409623e-08
1824,1.431589158329416e-08,3.03160057057994e-08
1825,1.3208164117983756e-08,3.522177394188475e-08
1826,2.466235649034587e-08,1.4092774947016551e-08
1827,2.027800155568471e-08,3.133872894522938e-08
1828,2.384798225563145e-08,8.530240336313e-08
1829,4.800978425922864e-08,6.515613648616636e-08
1830,1.6698937788106605e-08,3.444155893816969e-08
1831,1.4032085493553836e-08,6.704218691311326e-08
1832,9.470978445946798e-09,2.841293600397421e-08
1833,1.2741991461950875e-08,4.6334513115198206e-08
1834,2.1469421573883096e-08,5.880754372356023e-08
1835,2.571449897459388e-08,6.958040899007756e-08
1836,2.9571301130015826e-08,5.443807538085821e-08
1837,1.8786305289175687e-08,1.2524203896191466e-07
1838,3.8504186727905676e-08,4.86036455527028e-08
1839,2.6567605448946097e-08,9.648235987924636e-08
1840,5.860113566624747e-08,7.898413656448611e-08
1841,4.173356549230789e-08,9.823439484080154e-08
1842,3.287049921141261e-08,5.2995293486901573e-08
1843,3.0125246297529884e-08,1.4412863436064072e-07
1844,5.488561261035585e-08,9.495210662180398e-08
1845,2.7343117381395388e-08,1.545723193885351e-07
1846,1.3465352832753297e-08,6.322861167973315e-08
1847,2.480882788091776e-08,3.66739207890987e-08
1848,2.0113054055581614e-08,4.424871846708811e-08
1849,2.3462362719328667e-08,2.8490010350878947e-08
1850,2.1724787302446202e-08,5.906426636670403e-08
1851,2.1283148576856092e-08,8.319776156895387e-08
1852,1.9531636752390114e-08,1.282577386518824e-07
1853,2.26933418723263e-08,7.703791737867505e-08
1854,2.1821789930598356e-08,5.247621004400571e-08
1855,1.1144567935161831e-08,9.074862816760287e-08
1856,2.0191037064520856e-08,8.645906035553708e-08
1857,1.2691923956253959e-08,6.345961622855611e-08
1858,4.502181916166137e-08,5.04048642824273e-08
1859,2.6479301196147276e-08,6.976277688863775e-08
1860,1.373155189554609e-08,4.027921818305913e-08
1861,1.3204698334767784e-08,5.611996911625283e-08
1862,3.6143891435358455e-08,3.930648162508987e-08
1863,1.947902072974017e-08,2.6970951694238465e-08
1864,2.5412057458318316e-08,3.452204211384924e-08
1865,2.9653119293371333e-08,6.730787305286867e-08
1866,1.8489329622894957e-08,1.3088498462821008e-07
1867,2.8631587767335986e-08,8.783588612004678e-08
1868,3.112120594561674e-08,1.2843672436702036e-07
1869,3.174287332985415e-08,7.569454396616493e-08
1870,4.0711745086241535e-08,7.683625113941162e-08
1871,3.929835434846041e-08,1.391374269132939e-07
1872,2.0560953717385644e-08,7.861540751719076e-08
1873,3.8909028887701425e-08,1.0355788049309922e-07
1874,5.616132481289782e-08,1.1351757223110326e-07
1875,2.4030413270370587e-08,4.291145216939185e-08
1876,3.748529087133079e-08,6.771536220639973e-08
1877,5.999271590617639e-08,9.833857461671869e-08
1878,2.2344627481629686e-08,1.020605964185961e-07
1879,1.8327976358811782e-08,7.209003882735487e-08
1880,4.492492533536563e-08,8.086486502634216e-08
1881,6.83305714233029e-08,5.020205406935929e-08
1882,6.25606177973026e-08,7.52058539887912e-08
1883,3.475636339844712e-08,6.066565561013704e-08
1884,3.6969503902639644e-08,1.1156868140460574e-07
1885,3.287274280561192e-08,6.703461252755005e-08
1886,5.0982363997142954e-08,6.517998230037847e-08
1887,3.199173115309151e-08,5.092561039532484e-08
1888,2.4728397107764977e-08,5.389522428345117e-08
1889,3.8217333020451605e-08,7.455512474052739e-08
1890,3.211649390877369e-08,4.7191583973926754e-08
1891,3.44207886637804e-08,4.398211927991724e-08
1892,2.7581454897784852e-08,5.0774950466347946e-08
1893,2.832871559554917e-08,5.4194064347257154e-08
1894,3.591877373310126e-08,6.994708456886656e-08
1895,2.106515117894503e-08,4.513960760732516e-08
1896,2.122930492509667e-08,5.130415203780103e-08
1897,2.9133568113515196e-08,5.127508018176741e-08
1898,2.6594268232038587e-08,5.545187775624072e-08
1899,2.984892333302014e-08,9.231055742020544e-08
1900,2.0764213348734017e-08,6.02162160134867e-08
