year,ton_DET or_NOUN,ton_DET nord_NOUN
1941,3.8369532440185594e-08,0.0
1942,4.551317811518629e-08,0.0
1943,4.6451763546784264e-08,0.0
1944,5.1410978585408884e-08,0.0
1945,3.267756198965799e-08,0.0
1946,3.619487021211398e-08,0.0
1947,5.8412266579210836e-08,1.1920870957027319e-09
1948,3.4790040626120344e-08,0.0
1949,4.908504047662632e-08,0.0
1950,4.4668516441248585e-08,0.0
1951,3.731490771929913e-08,2.1322803522849654e-09
1952,6.537778207693634e-08,0.0
1953,4.5250076685654506e-08,2.1547654771580937e-09
1954,4.1044653009691956e-08,0.0
1955,1.970977603349411e-08,0.0
1956,5.145473469525541e-08,2.616342476002842e-09
1957,3.0922632010543794e-08,0.0
1958,4.9633462229081715e-08,8.272243445794913e-10
1959,4.5729413145068065e-08,7.750747821333448e-10
1960,4.913791784577626e-08,0.0
1961,4.933192965239641e-08,0.0
1962,3.805173776072479e-08,1.2683912808952869e-09
1963,5.8841084893401785e-08,6.466053248388448e-10
1964,4.258777996923868e-08,1.2167936658258327e-09
1965,5.143720827049947e-08,0.0
1966,6.979234001835977e-08,0.0
1967,5.078245596257247e-08,4.930335584241163e-10
1968,5.749012288447375e-08,4.4914158503495116e-10
1969,3.996746922307892e-08,4.5417578031781147e-10
1970,4.3228016055607554e-08,3.219107563845469e-09
1971,4.8300937471879024e-08,1.541519245584766e-09
1972,3.231992473651246e-08,5.130146862875051e-10
1973,3.6387143520499876e-08,1.102640756478479e-09
1974,3.037808715689039e-08,0.0
1975,2.8557400000295274e-08,3.998036124386317e-09
1976,3.199574982737374e-08,1.7140580066410394e-09
1977,2.11564152863275e-08,0.0
1978,4.514849250014663e-08,0.0
1979,3.043026175486574e-08,0.0
1980,2.5014662785594055e-08,2.2740603289328476e-09
1981,2.8464972379182996e-08,6.325549528618524e-10
1982,4.034876344150007e-08,0.0
1983,2.336666926616715e-08,0.0
1984,2.7255340206977507e-08,5.799008495621649e-10
1985,2.8874678426049627e-08,0.0
1986,2.997242765090391e-08,1.1988970927134801e-09
1987,1.772136820621384e-08,1.2221633705067347e-09
1988,2.518552633112847e-08,1.7989661427186832e-09
1989,2.6342985570693145e-08,0.0
1990,2.9967581305356816e-08,0.0
1991,2.930732689865323e-08,1.1722930404189924e-09
1992,2.6998725921600908e-08,5.509944167592096e-10
1993,3.3235243224183364e-08,2.2156829704300662e-09
1994,2.7429619020580276e-08,1.5824779819872958e-09
1995,3.416143945500494e-08,0.0
1996,2.882569782869382e-08,0.0
1997,3.787966806889642e-08,4.79489448146353e-10
1998,2.8608776236893618e-08,0.0
1999,3.0620348590026936e-08,1.3710603485872497e-09
2000,3.7995070645280293e-08,0.0
2001,3.242096580091669e-08,4.3812117822561447e-10
2002,3.1106672349068276e-08,0.0
2003,2.9585152550026805e-08,1.2500768753476166e-09
2004,3.611928783842089e-08,8.809582507929292e-10
2005,3.693074512867156e-08,2.251874686720612e-09
2006,2.5119128999051554e-08,8.235779835885637e-10
2007,2.95591473520318e-08,7.988958938831558e-10
2008,4.470311798510096e-08,8.514879357157668e-10
2009,3.385416791346074e-08,3.337734755248789e-09
2010,5.385123991175078e-08,1.4171379625338432e-09
2011,5.238841427335217e-08,3.4415747474092484e-09
2012,6.434037702618411e-08,0.0
2013,7.558528691831157e-08,1.3945625210176615e-09
2014,7.622367403925523e-08,2.598534165620947e-09
2015,8.156997455266435e-08,2.21657536769726e-09
2016,8.451067357029274e-08,2.278474076078396e-09
2017,1.1471187910672143e-07,1.760927903493581e-09
2018,8.131620088391855e-08,1.0325866828253538e-09
2019,7.219295605764842e-08,2.0407902590058313e-09
