year,son_DET aval_NOUN
1800,1.2576657937302116e-08
1801,2.3811825400343878e-08
1802,4.923248297927785e-08
1803,3.315576790896557e-08
1804,1.4831105232815389e-08
1805,8.528632911009026e-09
1806,1.729001475325731e-08
1807,4.839823652957875e-08
1808,5.211970233176544e-08
1809,1.581321384946932e-07
1810,1.1700633706368535e-07
1811,8.022645658911642e-08
1812,5.3344162864732425e-08
1813,2.0130190847567064e-08
1814,6.608021863030444e-08
1815,1.0788894222457657e-08
1816,1.1588019432906549e-08
1817,1.0898113522728181e-08
1818,1.4305412854298538e-08
1819,2.6912729822470283e-08
1820,2.610625848831205e-08
1821,1.4792232327920374e-08
1822,2.5064039732569654e-08
1823,2.174191138237802e-08
1824,2.0210670470532932e-08
1825,1.584979791857677e-08
1826,2.554315514657901e-08
1827,3.87125478340522e-08
1828,1.0456423105154045e-07
1829,6.172686539684946e-08
1830,9.288783520133848e-08
1831,2.0268567268999504e-08
1832,2.976593194148336e-08
1833,1.2741991461950875e-08
1834,2.240287422239362e-08
1835,3.327758690829796e-08
1836,1.008112526790228e-08
1837,2.1569462660409044e-08
1838,3.3454458758797045e-08
1839,2.23727205650448e-08
1840,1.0828470564661075e-08
1841,3.4028907691663335e-08
1842,2.0124794275488966e-08
1843,7.088293507706567e-09
1844,2.305195678786731e-08
1845,4.408380149811819e-08
1846,9.952652035849496e-09
1847,8.952751073820764e-08
1848,1.689496542667257e-08
1849,4.524883934209356e-08
1850,8.350465208195601e-08
1851,5.159551008659946e-08
1852,3.841221740685796e-08
1853,1.1346670270029335e-08
1854,2.182179059673217e-08
1855,2.9188154115900034e-08
1856,1.2942972915652717e-08
1857,1.5620829074691756e-08
1858,1.9085335978274998e-08
1859,1.9350258284589472e-08
1860,1.6020143434047895e-08
1861,1.839225838295988e-08
1862,5.2408640982548604e-08
1863,8.490855130105501e-09
1864,2.3014694150447212e-08
1865,1.0825742080555756e-08
1866,1.6543083347642096e-08
1867,2.232293283555009e-08
1868,1.1361710683388537e-08
1869,5.371870948067681e-09
1870,1.4335121534259088e-08
1871,4.0360472297606975e-08
1872,2.660829245826335e-08
1873,2.334541804316359e-08
1874,2.5690820137924675e-08
1875,1.5448122780981066e-08
1876,8.464420275799966e-09
1877,2.5976227391311113e-08
1878,2.294853729267743e-08
1879,1.710611030603104e-08
1880,4.492492600149944e-09
1881,1.8128519130300447e-08
1882,7.786800892972678e-08
1883,1.0110942305630033e-08
1884,4.093052297093891e-08
1885,5.80107206715752e-09
1886,1.613365974151293e-08
1887,1.9586773092328258e-08
1888,5.389522428345117e-08
1889,2.8193115397812107e-08
1890,3.342736931699619e-08
1891,5.099376210182527e-08
1892,4.0745330665004076e-08
1893,2.46336657738766e-08
1894,2.520615716150587e-08
1895,3.009307292245467e-08
1896,1.0024948871034667e-08
1897,1.8645483379486905e-08
1898,2.319925584970406e-08
1899,3.205995469102163e-08
1900,2.28406342728249e-08
1901,2.1237207548097103e-08
1902,1.5712908307818907e-08
1903,1.4040573148577096e-08
1904,2.741058935384899e-08
1905,2.7868098939620722e-08
1906,1.800464666246171e-08
1907,2.8799922446864912e-08
1908,2.3083527977973972e-08
1909,1.1001967337165297e-08
1910,2.7255168788542505e-08
1911,1.702519725199636e-08
1912,2.917275843117295e-08
1913,2.8636144122629048e-08
1914,2.209925398233281e-08
1915,5.772573163920214e-08
1916,4.8344833913915863e-08
1917,2.7416060532914344e-08
1918,1.722956355365568e-08
1919,1.4732557396257562e-08
1920,7.572231730534895e-09
1921,2.3475516641724425e-08
1922,1.8444838545406128e-08
1923,1.6985516992917837e-08
1924,2.5783249313349188e-08
1925,3.299453510408057e-08
1926,2.229227646921572e-08
1927,1.3379070296082318e-08
1928,1.0283437212876834e-08
1929,1.6710609784809094e-08
1930,1.575540586884472e-08
1931,2.5091784650044247e-08
1932,6.356530946050043e-08
1933,3.211785326584504e-08
1934,4.313368862085554e-08
1935,2.2739740757060645e-08
1936,2.66743711563322e-08
1937,1.0072894696122603e-07
1938,5.8343463393839556e-08
1939,5.6587985852729616e-08
1940,6.085878823114399e-08
1941,1.1806010391524069e-08
1942,2.730790527039062e-08
1943,2.322588166236983e-08
1944,2.2492303131116387e-08
1945,8.714016175304096e-09
1946,3.3410650246423756e-08
1947,3.2186353138285995e-08
1948,5.3272248834446145e-08
1949,1.0700539121444308e-07
1950,4.0414374069541736e-08
1951,9.168805803483338e-08
1952,1.0228459501604448e-07
1953,8.188109035245361e-08
1954,4.10446503451567e-08
1955,7.226918086189471e-08
1956,5.6687419203171885e-08
1957,9.89524195915692e-08
1958,8.520410688106494e-08
1959,5.8905683886223414e-08
1960,6.297958066170395e-08
1961,8.546236074380431e-08
1962,5.327243357555744e-08
1963,7.241979460559378e-08
1964,6.874884123098113e-08
1965,6.128688312401209e-08
1966,5.760637833418514e-08
1967,9.219727559184321e-08
1968,7.815063440830272e-08
1969,8.356834513278955e-08
1970,1.057706739970854e-07
1971,1.0379562809248455e-07
1972,8.977757204320369e-08
1973,1.1191803395149691e-07
1974,1.2094979240373505e-07
1975,1.4221585331597453e-07
