year,en_ADP os_NOUN,en_ADP noce_NOUN
1800,2.389564883742423e-07,0.0
1801,1.7620750725200196e-07,0.0
1802,4.184761053238617e-07,0.0
1803,2.691468239390815e-07,1.950339223455444e-09
1804,1.7055771195373381e-07,0.0
1805,3.5820258403873595e-07,0.0
1806,3.976703339958476e-07,0.0
1807,2.391442421867396e-07,0.0
1808,1.3369836437959748e-07,0.0
1809,1.9201759471343394e-07,2.259030518203531e-09
1810,2.223120389999167e-07,0.0
1811,2.8329966994533606e-07,0.0
1812,2.2137828636914492e-07,0.0
1813,3.134558426154399e-07,0.0
1814,2.454408161156607e-07,0.0
1815,1.6992508733437717e-07,2.697223555614414e-09
1816,2.2248997311180574e-07,0.0
1817,1.7748357095115352e-07,0.0
1818,2.527289666431898e-07,0.0
1819,3.105315045104362e-07,0.0
1820,2.408895625194418e-07,0.0
1821,2.692186171771027e-07,0.0
1822,2.7871212182617455e-07,0.0
1823,3.024102284143737e-07,0.0
1824,2.6442293687978236e-07,0.0
1825,2.764909083907696e-07,8.805443041381977e-10
1826,2.589547420939198e-07,0.0
1827,3.4564774864520587e-07,0.0
1828,2.595761259271967e-07,0.0
1829,3.0349042390298564e-07,0.0
1830,3.1832348668103805e-07,0.0
1831,3.492430096230237e-07,0.0
1832,3.9236911675288866e-07,0.0
1833,5.421138098427036e-07,1.1583628500844156e-09
1834,4.5085783995091333e-07,0.0
1835,5.347102955965966e-07,0.0
1836,4.4222534256732615e-07,0.0
1837,5.621976129077666e-07,0.0
1838,4.778306674779742e-07,0.0
1839,5.411401957644557e-07,0.0
1840,4.955617782798072e-07,0.0
1841,6.670949801446113e-07,1.2841097074556274e-09
1842,5.903273176954826e-07,2.0124795163667386e-09
1843,5.03268836382631e-07,5.906911071384968e-10
1844,4.807979507859272e-07,0.0
1845,5.864819740963867e-07,1.1160455892778032e-09
1846,5.632030024571577e-07,1.1709002656346001e-09
1847,6.358610562529066e-07,0.0
1848,4.738635652756784e-07,0.0
1849,6.234284910533461e-07,8.379414939696517e-10
1850,5.607710704680358e-07,0.0
1851,4.849977699450392e-07,6.449438760824933e-10
1852,5.240988798504986e-07,0.0
1853,5.840549306412868e-07,0.0
1854,5.756796213063353e-07,3.117398783558656e-09
1855,7.169671789597487e-07,2.1227748447927297e-09
1856,5.896818606743182e-07,1.5531567143511893e-09
1857,1.0446429996591178e-06,1.4644527812635033e-09
1858,6.342203846543271e-07,1.468102750479261e-09
