year,en_ADP aire_NOUN,en_ADP nerf_NOUN
1800,4.7162466820793725e-08,0.0
1801,1.619204113012529e-07,4.7623651688866175e-09
1802,3.3567602031325805e-08,2.2378401354217203e-09
1803,2.9255089017965474e-08,2.5354410126965377e-08
1804,1.730295728918918e-08,1.730295728918918e-08
1805,3.695740935505398e-08,0.0
1806,4.8988376022407465e-08,8.645007376628655e-09
1807,1.1387820464392462e-08,8.540865792383556e-09
1808,4.5321479014148736e-08,9.064295980465431e-09
1809,7.00299480627109e-08,4.743964154840796e-08
1810,5.3822916346035754e-08,3.2761775514700275e-08
1811,5.0141535368197765e-09,0.0
1812,3.200649700829672e-08,8.00162425207418e-09
1813,2.0130190847567064e-08,2.8757416448144113e-09
1814,4.090680150170556e-08,5.034683425719777e-08
1815,8.091670444798638e-09,0.0
1816,7.184571870766376e-08,6.952811659743929e-09
1817,1.2454987263765815e-08,6.227493631882908e-09
1818,7.152706427149269e-09,0.0
1819,2.484252026313527e-08,2.070210003424222e-09
1820,1.7799721696576398e-08,3.5599443393152796e-09
1821,3.7473656067099625e-08,1.0847637454958203e-08
1822,3.0076847679083585e-08,5.012807946513931e-09
1823,3.2612866407433216e-08,1.087095569118901e-08
1824,1.431589158329416e-08,8.421112696055388e-10
1825,1.3208164117983756e-08,8.805443485471187e-09
1826,2.466235649034587e-08,6.1655889282974385e-09
1827,2.027800155568471e-08,3.6869092223668076e-09
1828,2.384798225563145e-08,1.0089530988466322e-08
1829,4.800978425922864e-08,7.715858174606183e-09
1830,1.6698937788106605e-08,1.3567886369969528e-08
1831,1.4032085493553836e-08,1.5591206103948707e-09
1832,9.470978445946798e-09,0.0
1833,1.2741991461950875e-08,4.6334514003376626e-09
1834,2.1469421573883096e-08,1.4935249481595747e-08
1835,2.571449897459388e-08,1.9664028627630614e-08
1836,2.9571301130015826e-08,1.9490174807401672e-08
1837,1.8786305289175687e-08,2.435261770017405e-08
1838,3.8504186727905676e-08,9.468243078458727e-09
1839,2.6567605448946097e-08,9.088918062616358e-09
1840,5.860113566624747e-08,1.0828470564661075e-08
1841,4.173356549230789e-08,1.0914932957462042e-08
1842,3.287049921141261e-08,1.341653010911159e-08
1843,3.0125246297529884e-08,4.666459574309556e-08
1844,5.488561261035585e-08,4.9397050894128824e-09
1845,2.7343117381395388e-08,3.738752596404993e-08
1846,1.3465352832753297e-08,2.0490753982471688e-08
1847,2.480882788091776e-08,3.235934187273415e-09
1848,2.0113054055581614e-08,1.850401076808339e-08
1849,2.3462362719328667e-08,1.508294644736452e-08
1850,2.1724787302446202e-08,1.9009188889640427e-08
1851,2.1283148576856092e-08,1.3543821175687754e-08
1852,1.9531636752390114e-08,1.5625309046640723e-08
1853,2.26933418723263e-08,5.3747388761848924e-09
1854,2.1821789930598356e-08,2.234135720868835e-08
1855,1.1144567935161831e-08,7.429711956774554e-09
1856,2.0191037064520856e-08,1.1907535402144731e-08
1857,1.2691923956253959e-08,1.4156376515472857e-08
1858,4.502181916166137e-08,1.3212924976357954e-08
1859,2.6479301196147276e-08,5.092173349652285e-09
