year,en_ADP ombre_NOUN,en_ADP nombres_NOUN
1800,2.5153315874604232e-08,1.1318992694242525e-06
1801,3.809892135109294e-08,8.310327004323881e-07
1802,1.1189200677108602e-08,7.272980155903497e-07
1803,1.3652374342143503e-08,4.797834662895184e-07
1804,1.9774807569206132e-08,9.195285315399815e-07
1805,2.55858996212055e-08,9.097208817365754e-07
1806,1.152667650217154e-08,1.0374009207225754e-06
1807,1.9928686256776018e-08,1.5231209999910789e-06
1808,2.2660739951163578e-09,1.5590589539371535e-06
1809,2.259030518203531e-09,4.992457434127573e-07
1810,3.7442028144596406e-08,9.290303069064976e-07
1811,0.0,8.925193242248497e-07
1812,1.8670457180292033e-08,8.855131454765797e-07
1813,4.3136125782439194e-08,1.2595747875820962e-06
1814,1.3845379953636439e-07,9.219763796863845e-07
1815,6.47333635583891e-08,8.19955971564923e-07
1816,2.3176038865813098e-09,1.395197500642098e-06
1817,9.341240669868967e-09,6.710124580422416e-07
1818,1.668964877410417e-08,5.173790782464494e-07
1819,3.001804671498576e-08,5.682726715861008e-07
1820,1.898636980968149e-08,3.9278052099689376e-07
1821,3.944595405869222e-08,6.774842518098012e-07
1822,2.3058916553964082e-08,7.248520148550597e-07
1823,1.680056804787e-08,4.7239242473295917e-07
1824,1.3473780313688621e-08,4.917930027659168e-07
1825,2.553578504205234e-08,4.798966244390357e-07
1826,2.6423952803611428e-08,9.125071898097303e-07
1827,1.7512819638909605e-08,5.788447309806877e-07
1828,8.255071293206129e-09,5.053938233468003e-07
1829,2.0575622983187714e-08,6.961419155016024e-07
1830,1.3567886369969528e-08,9.821062993964347e-07
1831,2.8064171431196883e-08,6.563897727573931e-07
1832,1.8941957335982806e-08,7.441483005354854e-07
1833,1.6217079235048004e-08,7.239767914057893e-07
1834,4.293884248163238e-08,6.235466389892252e-07
1835,1.2100940693926532e-08,5.884082341367503e-07
1836,6.922372364215335e-08,4.986796415806793e-07
1837,8.906100701366881e-08,6.97180648323581e-07
1838,1.199310784016916e-08,6.078611818338686e-07
1839,6.152498077671709e-08,5.705043728543302e-07
1840,1.8472096741106725e-08,6.662694485015663e-07
1841,3.467096121312352e-08,6.985556777472368e-07
1842,2.884553929050071e-08,4.239623492274802e-07
1843,3.6622846977252266e-08,7.265500627795518e-07
1844,4.116420815325483e-08,5.653217929335597e-07
1845,3.8503573496218024e-08,8.325700298073002e-07
1846,2.0490753982471688e-08,7.856740689149433e-07
1847,1.941560512364049e-08,1.0031396247001112e-06
1848,4.82713291560799e-09,7.10393063485526e-07
1849,5.6980020701757894e-08,7.583370802421996e-07
1850,1.6972489191857676e-08,6.94514310950467e-07
1851,1.6123596680017727e-08,6.430090500053609e-07
1852,8.463709066930392e-09,8.867362879527718e-07
1853,1.1346670270029335e-08,6.706479513951535e-07
1854,3.4810952342922974e-08,7.845453176003048e-07
1855,2.5473298137512757e-08,6.830028169702018e-07
1856,2.0708757375587084e-08,7.698480537499108e-07
1857,5.2232145719699474e-08,7.097714078696526e-07
1858,3.52344677878591e-08,6.699442423041546e-07
1859,2.5460867192350634e-08,7.246162567753345e-07
1860,2.334363732869882e-08,5.32784205864445e-07
1861,3.159695727283918e-08,6.126037108700189e-07
1862,4.02100790442006e-08,5.358331529592419e-07
1863,3.0467187883687075e-08,4.7398950298038756e-07
1864,1.6781547707012123e-08,6.012588631421067e-07
1865,2.9182434246877165e-08,6.598995536677421e-07
1866,1.7029645471566823e-08,5.415426969079817e-07
1867,3.3484399253325137e-08,5.124568964731679e-07
1868,1.136171079441084e-08,9.247444161530893e-07
1869,3.271957993433716e-08,6.72460601869318e-07
1870,2.2936195609446486e-08,8.159551310171764e-07
1871,2.0180236148803488e-08,7.880913308611071e-07
1872,3.4469832765893216e-08,6.204570128787168e-07
1873,3.35216241431624e-08,7.171233331604299e-07
1874,2.6885741633009275e-08,8.053773044025547e-07
1875,1.3159512313176691e-08,7.872821328192003e-07
1876,2.9020871039620033e-08,7.448690126921065e-07
1877,1.7317484335421796e-08,1.0674992445558473e-06
1878,2.8987625577681086e-08,9.499486743891339e-07
1879,3.0546626561545054e-08,7.862701822958229e-07
1880,2.1178892639639457e-08,6.87993091830208e-07
1881,1.9523021421719022e-08,6.805167611645402e-07
1882,1.3976308999019693e-08,5.271065237621997e-07
1883,1.1374809816278031e-08,6.192951937933344e-07
1884,2.970763635090634e-08,6.812951305334991e-07
1885,2.449341557353435e-08,6.561657017734035e-07
1886,1.8069698626277386e-08,6.240499723642046e-07
1887,2.415702127223085e-08,6.02619733669485e-07
1888,3.106901180771615e-08,5.693871871770284e-07
1889,2.06749512510207e-08,4.6612617055075134e-07
1890,1.7696843102044113e-08,4.4963091738736694e-07
1891,3.633305567518619e-08,6.074631624386484e-07
1892,4.450643809050803e-08,5.083763721103196e-07
1893,2.586534897375259e-08,4.4402182242109234e-07
1894,4.978215928375107e-08,4.871089984703758e-07
1895,3.671354997791809e-08,6.295470698081118e-07
1896,5.071444852955409e-08,5.897029051737945e-07
1897,4.603103676004139e-08,4.6788510843498443e-07
1898,3.564763650931724e-08,4.4022000711407827e-07
1899,4.2009595802028343e-08,3.896942715186924e-07
1900,2.803168763776398e-08,4.6719479573908984e-07
1901,2.3472703003513118e-08,4.0183033811480584e-07
1902,3.0934789674308405e-08,4.7138725989270824e-07
1903,2.6461078883599498e-08,4.870998786543623e-07
1904,3.278521365501774e-08,4.606053769506957e-07
1905,3.7673540398408534e-08,3.308046614414195e-07
1906,4.629766081620801e-08,5.118463644038229e-07
1907,3.599990305858114e-08,3.8005612412739254e-07
