year,un_DET an_NOUN
1800,2.065401696427216e-05
1801,1.8870872679599415e-05
1802,2.064631223674951e-05
1803,1.965746980658878e-05
1804,2.160644874038553e-05
1805,1.9544784152003558e-05
1806,2.088921922904774e-05
1807,2.2809804022472235e-05
1808,2.2792173126617854e-05
1809,2.104286875237449e-05
1810,2.2191421578554582e-05
1811,2.3202996260351938e-05
1812,1.9139885921504174e-05
1813,2.1648583356181916e-05
1814,1.9182143887519487e-05
1815,1.9614209008977923e-05
1816,1.8413362852243154e-05
1817,1.8037934694348223e-05
1818,2.2023183362307464e-05
1819,2.257356914014963e-05
1820,2.1815338527630956e-05
1821,2.1181491547395126e-05
1822,1.979156860443254e-05
1823,2.0159692155630182e-05
1824,1.9963090494456992e-05
1825,2.186831864037231e-05
1826,2.178390661811136e-05
1827,2.2704908076320862e-05
1828,2.097338466455767e-05
1829,2.0859394453509594e-05
1830,2.163869237392646e-05
1831,2.1741936109265225e-05
1832,2.361114900395478e-05
1833,2.2751404912924045e-05
1834,2.3242048655447434e-05
1835,2.2531194360908557e-05
1836,2.33613275213429e-05
1837,2.430878402037706e-05
1838,2.4272787300105847e-05
1839,2.1895203417443554e-05
1840,2.3132797764446877e-05
1841,2.3125531356527063e-05
1842,2.389282769854617e-05
1843,2.350182637655962e-05
1844,2.482750744547957e-05
1845,2.3381713617709465e-05
1846,2.4084248366307293e-05
1847,2.4692335387044295e-05
1848,2.4372999632760184e-05
1849,2.701523294490471e-05
1850,2.3052035430737305e-05
1851,2.4945139216470125e-05
1852,2.4500484073541884e-05
1853,2.3782621269674564e-05
1854,2.3131617240323976e-05
1855,2.4107293256747653e-05
1856,2.357847222356213e-05
1857,2.367824788507278e-05
1858,2.352292119667254e-05
1859,2.2499768192574265e-05
1860,2.318297811143566e-05
1861,2.3103035232452385e-05
1862,2.4454505023641104e-05
1863,2.4611993467260618e-05
1864,2.474175516908872e-05
1865,2.437862940496416e-05
1866,2.334715657070774e-05
1867,2.4310645130753983e-05
1868,2.4710238449188182e-05
1869,2.4774581220299297e-05
1870,2.4546889108023606e-05
1871,2.594647332898603e-05
1872,2.82942912690487e-05
1873,2.694480235732044e-05
1874,2.7689326543622883e-05
1875,2.7299123075863463e-05
