year,bien_ADV ôté_VERB,bien_ADV noté_VERB
1800,3.144164484325529e-09,1.5720821977538435e-08
1801,2.8574191901498125e-08,2.8574191901498125e-08
1802,2.2378401354217203e-09,4.0281122437590966e-08
1803,7.801356893821776e-09,1.950339223455444e-09
1804,1.4831105232815389e-08,2.4718509461507665e-09
1805,0.0,8.528632911009026e-09
1806,1.152667650217154e-08,0.0
1807,0.0,5.693910232196231e-09
1808,2.2660739062985158e-08,1.3596443970698147e-08
1809,0.0,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,2.5070768572277302e-08
1812,2.6672082320544632e-09,5.3344166417446104e-08
1813,0.0,5.751483289628823e-09
1814,0.0,1.2586708564299443e-08
1815,1.0788894222457657e-08,1.6183340889597275e-08
1816,1.1588019432906549e-08,1.3905623319487859e-08
1817,7.784366928831332e-09,3.113746815941454e-09
1818,1.1921177378582115e-09,1.668964877410417e-08
1819,0.0,3.9333990287104825e-08
1820,2.3732962262101864e-09,8.306536791735653e-09
1821,3.94459531705138e-09,8.875339574387908e-09
1822,2.3058916553964082e-08,1.4035862250239006e-08
1823,1.9765373782121287e-09,5.731958552246397e-08
1824,8.421112696055388e-09,4.126345132249298e-08
1825,2.8177417732422327e-08,5.107157008410468e-08
1826,2.642395191543301e-09,1.4092774947016551e-08
1827,1.013900075008678e-08,1.1060727445055818e-08
1828,9.172301251858528e-10,2.8434133825250285e-08
1829,1.714635211591542e-09,9.430493719264632e-09
1830,3.1310507520032616e-09,1.5655253093882493e-08
1831,6.236482441579483e-09,1.5591206548037917e-08
1832,1.2176972319366541e-08,3.5177919244233635e-08
1833,2.3167257001688313e-09,1.9692167896323554e-08
1834,3.733812370398937e-09,2.7070139907436896e-08
1835,6.050470346963266e-09,3.403389570166837e-08
1836,8.736974699274924e-09,6.58633538819231e-08
1837,1.3219993100221927e-08,3.5485243188304594e-08
1838,2.5248647617104325e-09,2.9667161172142187e-08
1839,6.9914751765765e-10,4.754203075663099e-08
1840,3.1848443882154243e-09,3.05745047057826e-08
1841,1.2841097074556274e-09,6.805781360696983e-08
1842,2.683306021822318e-09,1.8112315203211438e-08
1843,3.5441467538532834e-09,4.548321541619771e-08
1844,1.097712254427563e-09,4.665277231197251e-08
1845,3.348136878855712e-09,2.6785095030845696e-08
1846,5.854501328173001e-09,3.805426018743674e-08
1847,4.853901280910122e-09,2.2651539310913904e-08
1848,2.413566457803995e-09,2.735375304041554e-08
1849,0.0,2.8490010350878947e-08
1850,2.7155984128057753e-09,3.733947906425783e-08
1851,6.449438760824933e-09,4.06314653034201e-08
1852,5.859490670445666e-09,1.6927417689771573e-08
1853,8.360704129017904e-09,4.896984151514516e-08
1854,3.117398783558656e-09,3.117398605922972e-08
1855,5.306937111981824e-09,2.9188154115900034e-08
1856,6.73034605824796e-09,4.4523826403519706e-08
1857,7.322263684272912e-09,5.125584578991038e-08
1858,7.34051397444091e-09,3.034079298913639e-08
1859,1.018434669930457e-09,5.550468884507609e-08
1860,1.373155145145688e-09,2.746310379109218e-08
1861,3.772770984511453e-09,2.5937801240161207e-08
1862,6.325180823552046e-09,2.3493528900075944e-08
1863,3.995696662428827e-09,2.1476870060155306e-08
1864,4.794728170054441e-09,3.0206784629172034e-08
1865,1.882737743486018e-09,2.023943146411966e-08
1866,6.811858188626729e-09,4.670988573707291e-08
1867,8.73506067478047e-09,4.270474107670452e-08
1868,4.93987406535723e-10,4.841076584050086e-08
1869,2.441759683335931e-09,4.688178323331016e-08
1870,1.7202146374017957e-09,4.931282049369656e-08
1871,0.0,4.885741589077952e-08
1872,1.8142017887967654e-09,5.32165849165267e-08
1873,2.9930022904522957e-09,4.7289436366781956e-08
1874,8.961913877669758e-09,4.062734149101743e-08
1875,3.432916173551348e-09,5.9503882710032485e-08
1876,0.0,8.948101992700686e-08
1877,4.329371083855449e-09,5.813727099734933e-08
1878,0.0,5.3747889694477635e-08
1879,0.0,5.1318330918093125e-08
1880,4.492492600149944e-09,8.02230788465863e-08
1881,0.0,9.064260053648354e-08
1882,3.3276925659464496e-09,4.791877272758427e-08
1883,0.0,4.2971503688704615e-08
1884,1.9805090900604227e-09,5.3473744543452995e-08
1885,1.933690763067375e-09,4.3185760745245716e-08
1886,4.5174246565693466e-09,5.549978809860079e-08
1887,1.9586774424595887e-09,8.161156017649773e-08
1888,3.1703073499755874e-09,7.418519087920572e-08
1889,0.0,8.833843112565631e-08
1890,6.554386478008212e-10,6.095579152542996e-08
1891,1.2748440081367107e-09,1.0899916480511251e-07
1892,0.0,8.775917215153584e-08
1893,1.847525021858587e-09,8.868119755200965e-08
1894,3.780923574225881e-09,1.0838647312993999e-07
