year,certain_ADJ air_NOUN,certain_ADJ nerf_NOUN
1800,4.0245306109909507e-07,0.0
1801,4.548058663012e-07,0.0
1802,5.370816325012129e-07,0.0
1803,5.148895745321624e-07,1.3652374342143503e-08
1804,7.390834433351756e-07,0.0
1805,4.747605641952646e-07,0.0
1806,5.993871923237748e-07,0.0
1807,4.98217161748471e-07,0.0
1808,4.804076860764894e-07,0.0
1809,4.0888451291465344e-07,0.0
1810,6.973577750812865e-07,1.8721014072298203e-08
1811,6.86939010563492e-07,0.0
1812,6.721364824713305e-07,1.8670457180292033e-08
1813,6.873022417863694e-07,8.627225156487839e-09
1814,4.908816322313214e-07,0.0
1815,3.668224120012553e-07,1.3486118000116676e-08
1816,3.986278791501263e-07,0.0
1817,5.760431385226639e-07,0.0
1818,5.698322702585301e-07,0.0
1819,5.682726600397814e-07,0.0
1820,5.600979307018861e-07,0.0
1821,5.157558344848212e-07,9.86148829262845e-10
1822,5.223346022376063e-07,1.0025615893027862e-09
1823,5.208175863913311e-07,0.0
1824,5.692672075952032e-07,5.052667617633233e-09
1825,5.90845206538404e-07,0.0
1826,3.9019371000925673e-07,0.0
1827,3.972644548322357e-07,5.530363722527909e-09
1828,5.622620493639374e-07,0.0
1829,5.17819831458155e-07,8.57317605795771e-10
1830,5.844628239159988e-07,0.0
1831,3.1026501345898794e-07,0.0
1832,5.398457871841345e-07,1.3529969367098715e-09
1833,3.7067610136887197e-07,0.0
1834,4.72327278622231e-07,1.8669061851994684e-09
1835,5.097521480479372e-07,2.2689263801112247e-09
1836,4.529785648799134e-07,0.0
1837,4.7104920808394013e-07,0.0
1838,4.740433725558546e-07,0.0
1839,4.6842882861497515e-07,2.0974426639952526e-09
1840,3.904619176875457e-07,0.0
1841,4.5200661880073767e-07,0.0
1842,5.091573451743159e-07,3.3541325272778977e-09
1843,5.038595127793144e-07,5.906910960362666e-09
1844,4.2152149903884606e-07,0.0
1845,5.290056295237378e-07,5.580227946389016e-10
1846,4.349894542343691e-07,1.7563503984519002e-09
1847,3.446269838391913e-07,5.3932236454556914e-09
1848,4.5053242864190324e-07,0.0
1849,3.829392674070675e-07,0.0
1850,4.72514111393707e-07,0.0
1851,3.682629550194605e-07,1.9348316282474798e-09
1852,4.2904494446105446e-07,6.510545436100301e-10
1853,6.288444069912913e-07,0.0
1854,5.497013022548458e-07,0.0
1855,5.497986990121717e-07,0.0
1856,5.208252407129521e-07,0.0
1857,5.696721321335474e-07,3.4170564155999728e-09
1858,5.931135289571898e-07,1.9574704079872163e-09
1859,6.334663549267816e-07,9.165912473463322e-09
1860,5.323265026557777e-07,4.577183909670879e-10
1861,4.961193851293899e-07,0.0
1862,4.960749184768076e-07,0.0
1863,5.564007468095156e-07,0.0
1864,5.130358768923315e-07,4.794728170054441e-09
