year,en_ADP air_NOUN,en_ADP nerfs_NOUN
1800,9.023752340908686e-07,6.917161954334006e-08
1801,4.4528114284680953e-07,2.3811825400343878e-08
1802,2.506380951672327e-07,3.5805442166747525e-08
1803,4.5442902552039754e-07,5.655983770225248e-08
1804,3.8808059343864443e-07,9.887403784603066e-09
1805,2.7575912708854844e-07,9.665784261869703e-08
1806,3.7749865100522584e-07,4.8988376022407465e-08
1807,2.0498076924724273e-07,2.8469551160981155e-09
1808,2.062127402169267e-07,6.798221985349073e-09
1809,2.4397530085096264e-07,2.0331274441787173e-08
1810,1.7550951270095538e-07,1.8721014072298203e-08
1811,2.0808736911348547e-07,5.0141535368197765e-09
1812,1.3869483117545656e-07,1.0668832928217853e-08
1813,2.0992913585260453e-07,2.300593315851529e-08
1814,1.3530711839848664e-07,0.0
1815,2.8320846801044297e-07,2.697223555614414e-09
1816,1.7150268938337376e-07,7.648093003354006e-08
1817,1.3077736582545185e-07,1.0898113522728181e-08
1818,2.2888661255215936e-07,3.9339884239097955e-08
1819,1.3870406800897683e-07,6.624672010957511e-08
1820,1.8511710120350244e-07,1.1866481131050932e-08
1821,8.776724769177235e-08,4.832129363308013e-08
1822,1.0426640528748976e-07,2.5064039732569654e-08
1823,9.586206450862278e-08,5.929612001409623e-08
1824,1.4905369027928828e-07,3.03160057057994e-08
1825,1.1270966804310945e-07,3.522177394188475e-08
1826,9.776862741617265e-08,1.4092774947016551e-08
1827,1.6222400611720644e-07,3.133872894522938e-08
1828,1.4033620721054518e-07,8.530240336313e-08
1829,1.3717081515096652e-07,6.515613648616636e-08
1830,1.8786305133744463e-07,3.444155893816969e-08
1831,1.7306238930814288e-07,6.704218691311326e-08
1832,1.1094574858816486e-07,2.841293600397421e-08
1833,1.4247862734073635e-07,4.6334513115198206e-08
1834,1.474855890748472e-07,5.880754372356023e-08
1835,1.1722786297241328e-07,6.958040899007756e-08
1836,1.9624590608113834e-07,5.443807538085821e-08
1837,9.253994626146067e-08,1.2524203896191466e-07
1838,1.7484688585867048e-07,4.86036455527028e-08
1839,1.3143973565110656e-07,9.648235987924636e-08
1840,1.1720227499623093e-07,7.898413656448611e-08
1841,1.4703056194775854e-07,9.823439484080154e-08
1842,1.1739464067517247e-07,5.2995293486901573e-08
