year,voulait_VERB ôter_VERB,voulait_VERB oter_VERB,voulait_VERB voter_VERB
1800,9.432493897065797e-09,0.0,9.432493897065797e-09
1801,3.5717739876872656e-08,0.0,2.3811825844433088e-09
1802,4.475680270843441e-09,0.0,2.2378401354217203e-09
1803,1.1702034896643454e-08,0.0,0.0
1804,2.2246657849223084e-08,0.0,0.0
1805,4.8328921309348516e-08,0.0,0.0
1806,5.187004603612877e-08,0.0,0.0
1807,1.4234775136401367e-08,0.0,0.0
1808,1.5862518409903714e-08,0.0,0.0
1809,2.0331274441787173e-08,0.0,0.0
1810,3.978215445954447e-08,0.0,0.0
1811,9.27618373225414e-08,0.0,0.0
1812,5.867858021701977e-08,0.0,0.0
1813,4.601186631703058e-08,0.0,5.751483289628823e-09
1814,6.293354282149721e-09,0.0,1.2586708564299443e-08
1815,3.506390555685357e-08,0.0,2.697223555614414e-09
1816,2.7811246638975717e-08,1.1588019432906549e-08,6.952811659743929e-09
1817,3.42512151974006e-08,0.0,0.0
1818,5.2453181353939726e-08,0.0,1.4305412854298538e-08
1819,4.0369094733705424e-08,0.0,1.035105001712111e-09
1820,6.645229433388522e-08,3.5599443393152796e-09,4.746592452420373e-09
1821,9.565643921405353e-08,0.0,0.0
1822,4.3110148340019805e-08,1.0025615893027862e-09,8.02049271442229e-09
1823,4.4472091786929013e-08,0.0,0.0
1824,4.6316120716483056e-08,0.0,1.6842225392110777e-09
1825,2.6416328680056722e-08,8.805443041381977e-10,0.0
1826,2.3781558056157337e-08,8.807984341885344e-10,3.5231937367541377e-09
1827,2.8573547083965423e-08,0.0,1.013900075008678e-08
1828,2.8434133270138773e-08,0.0,4.586150570418113e-09
1829,2.914879893012312e-08,0.0,5.143905745796928e-09
1830,6.366470017837855e-08,1.0436835840010872e-09,1.0436835840010872e-09
1831,4.8332740476553226e-08,1.5591206103948707e-09,0.0
1832,9.606278439378002e-08,1.3529969367098715e-09,2.0294953273491956e-08
1833,3.938433579264711e-08,0.0,0.0
1834,4.667265329771908e-08,0.0,1.213489042584115e-08
1835,4.764745398233572e-08,0.0,3.025235173481633e-09
1836,4.838939915430274e-08,6.720750067579218e-10,2.688300027031687e-09
1837,3.061472142462662e-08,0.0,1.3915781860163179e-09
1838,3.787297231383491e-08,6.312161904276081e-10,6.943378316748294e-09
1839,4.6842885126352485e-08,6.9914751765765e-10,3.4957374772659477e-09
1840,5.223144583510475e-08,0.0,7.64362617644565e-09
1841,3.78812359258518e-08,6.420548537278137e-10,1.926164561183441e-09
1842,7.982835370512475e-08,0.0,4.024959032733477e-09
1843,2.7171790151214736e-08,5.906911071384968e-10,3.1306630177141415e-08
1844,3.1833653935109396e-08,5.488561272137815e-10,1.2623690537338916e-08
1845,5.412821124650691e-08,5.580227946389016e-10,1.4508592549589139e-08
1846,4.390875929516369e-08,0.0,9.367202125076801e-09
1847,3.343798482546845e-08,0.0,9.168480197274675e-09
1848,3.539897619475596e-08,0.0,1.367687652020777e-08
1849,3.100383594301093e-08,0.0,1.5920887719289567e-08
1850,2.2403686017469226e-08,0.0,2.0366988096043315e-09
1851,2.257303499675345e-08,6.449438760824933e-10,1.483370937194195e-08
1852,2.799534470909748e-08,0.0,1.0416872697760482e-08
1853,4.478948767427937e-08,5.971931837933653e-10,6.569124799682413e-09
1854,3.065441944727354e-08,0.0,4.1565315633818045e-09
1855,4.404757802944914e-08,5.306937111981824e-10,8.491099379170919e-09
1856,4.0899795550330964e-08,0.0,2.0708756931497874e-09
1857,1.757343248698362e-08,0.0,4.881509085841174e-10
1858,4.257498176230001e-08,0.0,5.872411001917044e-09
1859,4.3283474582267445e-08,1.018434669930457e-09,6.110608019582742e-09
1860,4.165237399433863e-08,0.0,1.0985241161165504e-08
1861,3.159695793897299e-08,0.0,0.0
1862,2.1234535907410645e-08,0.0,9.035972525772706e-10
1863,2.3474717281146695e-08,0.0,8.490855130105501e-09
1864,3.9796240969280916e-08,0.0,7.671564716815737e-09
1865,3.435996376310868e-08,0.0,2.8241067262513297e-09
1866,6.033359767343427e-08,9.731225825149181e-10,1.1190909532388105e-08
1867,2.135237053835226e-08,0.0,1.261730986357179e-08
1868,3.062721987134864e-08,1.975949626142892e-09,1.975949626142892e-09
