year,auront_VERB eu_VERB,auront_VERB vu_VERB
1800,6.005354293847631e-07,1.320549074534938e-07
1801,3.881327472754492e-07,1.6668278135512082e-07
1802,4.3637882640723547e-07,1.2531904758361634e-07
1803,6.631153155467473e-07,1.5797748176282767e-07
1804,6.995338139859086e-07,1.3347995775347954e-07
1805,4.918178433399589e-07,1.5635826855486812e-07
1806,9.912942005030345e-07,1.7578182109900808e-07
1807,1.0135159982382902e-06,1.9359295322374237e-07
1808,8.089884317996621e-07,2.1074488643080258e-07
1809,5.489443992701126e-07,1.7394535234416253e-07
1810,7.605411838085274e-07,1.661489932303084e-07
1811,7.01981491602055e-07,2.2312983105621242e-07
1812,8.375033644369978e-07,1.440292436427626e-07
1813,5.722725973100751e-07,2.01301915581098e-07
1814,5.066150379207102e-07,1.258670891957081e-07
1815,5.36747506885149e-07,2.2386954867670283e-07
1816,6.929635674168821e-07,1.1819779643928996e-07
1817,6.38318113033165e-07,1.5413046128287533e-07
1818,7.832213668734767e-07,2.062363648747123e-07
1819,6.728182597726118e-07,1.8528379541749018e-07
1820,6.348567467284738e-07,1.886770490955314e-07
1821,6.715673634971608e-07,2.445649158744345e-07
1822,7.248520432767691e-07,1.954995099140433e-07
1823,3.9728402612126956e-07,1.3341627891350072e-07
1824,4.875824402006401e-07,1.5579058754155994e-07
1825,5.697121423509088e-07,1.9460028966022946e-07
1826,6.500292215605441e-07,1.928948591967128e-07
1827,9.927002793119755e-07,1.8065854590076924e-07
1828,8.025763804653252e-07,1.1465376559272045e-07
1829,6.849967917332833e-07,1.7575010247128375e-07
1830,6.658701181549986e-07,2.0456198512874835e-07
1831,6.111752668402914e-07,1.387617345471881e-07
1832,6.318495593404805e-07,1.4341767951009388e-07
1833,5.096796371617529e-07,7.876867158529421e-08
1834,7.402283017654554e-07,1.3535070308989816e-07
1835,4.7042408368724864e-07,1.8378304389443656e-07
1836,6.619939085794613e-07,1.3374292961998435e-07
1837,6.199480822033365e-07,1.2872098409388855e-07
1838,5.529453801500495e-07,1.4770458278690057e-07
1839,5.607163302556728e-07,1.1815593126129897e-07
1840,6.407906880667724e-07,1.840840013755951e-07
1841,5.05939226513874e-07,1.6500810318120784e-07
1842,5.554443305300083e-07,1.1605298766426131e-07
1843,4.4951593736186624e-07,2.0792326438368036e-07
1844,4.2371692643428105e-07,1.2184605679976812e-07
1845,4.519984599937743e-07,1.0211817169647475e-07
1846,3.9283705177695083e-07,1.6568239402658946e-07
1847,5.743783049183548e-07,1.4615636700909818e-07
1848,4.545550211787486e-07,1.1665571264529717e-07
1849,5.178478659217944e-07,1.8183330041665613e-07
1850,3.849360723506834e-07,1.1812853273340806e-07
1851,4.4630115780819324e-07,9.932135469625791e-08
1852,4.908951041215914e-07,1.5039360334867524e-07
1853,3.3920574082912935e-07,1.1346670447665019e-07
1854,4.0058571926238074e-07,1.2417638117767638e-07
1855,3.7360837268352043e-07,1.422259146011129e-07
1856,4.995987410438829e-07,1.3408920551682968e-07
1857,3.592790562834125e-07,1.4009931703640177e-07
1858,3.5870644410351815e-07,1.2136317195654556e-07
1859,3.5696135114449135e-07,1.1050016013314234e-07
1860,4.5405664650388644e-07,1.1259872678692773e-07
1861,4.234935317981581e-07,1.7213267256011022e-07
1862,4.350820859144733e-07,1.6806909286515292e-07
1863,3.995696715719532e-07,1.5483324489196093e-07
1864,3.950855784751184e-07,1.4240342238736048e-07
1865,3.101810364114499e-07,1.3838122470133385e-07
1866,3.960608978559321e-07,1.1190909532388105e-07
1867,3.542552349244943e-07,1.5626052629613696e-07
1868,3.6110478163209336e-07,1.2102691471227445e-07
