year,tout_DET air_NOUN,tout_DET vert_NOUN
1800,8.803660733747165e-08,3.458580977167003e-08
1801,1.0239084957675004e-07,0.0
1802,8.056224487518193e-08,4.699464284385613e-08
1803,4.6808139586573816e-08,1.1702034896643454e-08
1804,1.5819846055364906e-07,2.4718509905596875e-08
1805,1.0802935435094696e-07,1.421438877713399e-08
1806,4.610670600868616e-08,1.152667650217154e-08
1807,3.4163460504998966e-08,2.8469550272802735e-08
1808,8.837688625362716e-08,9.064295980465431e-09
1809,7.680704072754452e-08,2.0331274441787173e-08
1810,1.7316938283329364e-07,1.8721014072298203e-08
1811,2.0056613259100686e-08,4.011322829455821e-08
1812,9.601949368942542e-08,1.0668832928217853e-08
1813,5.176335093892703e-08,1.1502966579257645e-08
1814,1.6048053197437184e-07,9.440030979135372e-09
1815,5.933891955578474e-08,8.091670444798638e-09
1816,8.806894591373293e-08,1.622322720606917e-08
1817,6.538868291272593e-08,3.89218364205135e-08
1818,9.656153565629211e-08,5.6029534789558966e-08
1819,5.693077387292078e-08,3.1053151161586356e-09
1820,8.899861114741725e-08,2.7292905713238724e-08
1821,8.185035138552621e-08,2.9584463767662328e-09
1822,5.213320264374488e-08,1.2030739071633434e-08
1823,5.040170203418626e-08,3.65659422740805e-08
1824,6.147412268120434e-08,1.3473780313688621e-08
1825,1.0126259830656181e-07,3.6982861217893515e-08
1826,5.549030035467695e-08,3.170874451896566e-08
1827,7.189472972513045e-08,3.7790819362726324e-08
1828,4.769596717579816e-08,3.760643352279658e-08
1829,1.243110556714555e-07,4.286587973467704e-09
1830,3.965997530386289e-08,3.235419043789989e-08
1831,3.897801348351493e-08,2.18276889896174e-08
1832,4.19429042608499e-08,2.1647950987357945e-08
1833,3.243415958031903e-08,1.853380560135065e-08
1834,2.42697808516823e-08,2.5203233278148218e-08
1835,5.7479468296151026e-08,3.2521278114927554e-08
1836,3.8980349170714135e-08,8.06490002558391e-09
1837,6.192522938874845e-08,2.5744196108234974e-08
1838,3.913540558286854e-08,2.840472923537618e-08
1839,4.6842884238174065e-08,3.355908262392404e-08
1840,2.7389661649834807e-08,1.2102408852854296e-08
1841,3.5955071808757566e-08,2.8892468861840825e-08
1842,3.6224630406422875e-08,2.2137275124123335e-08
1843,6.852016487535195e-08,1.5357969118667825e-08
1844,4.9945909186277504e-08,1.5916826967554698e-08
1845,3.0691253649628436e-08,2.2320911341466854e-08
1846,3.0443406462410394e-08,9.952652035849496e-09
1847,1.9954927488186058e-08,1.240441438454809e-08
1848,2.735375348450475e-08,1.850401076808339e-08
1849,2.0110596077316245e-08,1.4245005175439474e-08
1850,2.308258650884909e-08,1.2899092460827433e-08
1851,2.5152811833351052e-08,1.6768540334055615e-08
1852,3.971432893656868e-08,2.669323651005584e-08
1853,4.001194353620008e-08,8.360704795151719e-09
1854,4.1565314301550416e-08,3.221311895007517e-08
1855,5.890700194299825e-08,2.9188154115900034e-08
1856,4.607698289582629e-08,1.346069211649592e-08
1857,6.053071155420753e-08,2.4895696171256532e-08
1858,3.6213203102875013e-08,2.0064071293290908e-08
1859,4.8884864156661934e-08,9.165912473463322e-09
1860,3.890606170564581e-08,1.2358396972445007e-08
1861,2.405141441563785e-08,1.744906530376511e-08
1862,2.6656119089807362e-08,2.0782737308877586e-08
1863,3.4962344408473456e-08,2.946826338501296e-08
1864,4.7947280257254477e-08,2.205574922697906e-08
1865,3.765475320438583e-08,2.2122168985561075e-08
1866,4.427707916976331e-08,5.4494865509013835e-08
1867,2.426405742994575e-08,2.7661025470138156e-08
1868,1.877152078222366e-08,2.3711395069625496e-08
1869,3.7114745499167157e-08,2.2952540645881925e-08
1870,2.9243648835830527e-08,2.0642576092910758e-08
1871,1.0621176826930423e-08,1.1683295220166201e-08
1872,4.354084193192165e-08,2.237515461800399e-08
1873,3.3521626696675355e-08,1.8556614689302364e-08
1874,3.10679680870507e-08,1.3144140442733487e-08
1875,1.4875970122396609e-08,2.7463329388410784e-08
1876,4.0508298493335815e-08,3.083467703390852e-08
1877,2.4120783148617875e-08,2.4739264858908427e-08
1878,1.811726657585666e-08,2.2344628314296955e-08
1879,4.887460258728993e-08,2.6881030734671185e-08
1880,2.5671384795700192e-08,4.364135475221076e-08
1881,2.9284531355422416e-08,1.8128519130300447e-08
1882,2.5956001570293097e-08,2.928369524646257e-08
1883,2.654122283063387e-08,4.9290843961991015e-08
1884,3.4328825115892414e-08,2.772712726084592e-08
1885,4.447488510805897e-08,2.8360796378024133e-08
1886,1.4842967244188543e-08,2.3232469670286804e-08
1887,2.285123695822122e-08,3.852065649789793e-08
1888,2.346027505595316e-08,1.7119660356001987e-08
1889,4.51089832154139e-08,4.1976416120803606e-08
1890,4.0637195386494795e-08,3.277193327821948e-08
1891,2.1672347472190268e-08,3.952016580655027e-08
1892,2.1312942521944933e-08,2.382034658410248e-08
1893,1.4780199342201428e-08,3.7566341204442466e-08
1894,3.7179083589578e-08,3.7179082479354975e-08
1895,1.5648397910794642e-08,2.7083764564395096e-08
1896,2.2998413173880294e-08,1.2973464080801023e-08
1897,1.5732126934508983e-08,3.1464253424928756e-08
1898,1.69750646872302e-08,3.168678830434146e-08
1899,9.949641111006713e-09,3.150719685152126e-08
1900,1.1939422339679595e-08,3.322274011452464e-08
1901,2.2913829500481597e-08,2.0119459875900247e-08
1902,3.83002145554201e-08,2.4551419397500496e-08
1903,2.7001100910695186e-08,2.214090244478939e-08
1904,2.20359632763234e-08,2.2573424907079698e-08
1905,1.341797323251015e-08,1.7030505006232488e-08
1906,1.3374879426208963e-08,3.9095802151223324e-08
1907,1.337139288182243e-08,2.6228502036929058e-08
1908,2.062783477363439e-08,4.0273391732625896e-08
1909,1.3752459171456621e-08,3.630649092478677e-08
1910,3.046165797382372e-08,2.6186338430989053e-08
1911,9.576673454247953e-09,3.245428259468497e-08
1912,1.7712032729377825e-08,2.135862686714063e-08
1913,2.8636144122629048e-08,2.0151361468379037e-08
1914,1.674185973188358e-08,2.1429579888376793e-08
1915,2.1205371680821372e-08,4.476689596799588e-08
1916,3.2962386153911893e-09,1.2086208478478966e-08
1917,1.0966424213165737e-08,4.276905585243185e-08
1918,1.9526840588923733e-08,1.8378202071289707e-08
1919,3.867296449744373e-08,1.1970202606903513e-08
1920,4.240449769099541e-08,4.543338993912016e-08
1921,1.741731914250977e-08,1.6660044011018726e-08
1922,1.0329110011753073e-08,2.7298360627536766e-08
1923,2.44166811214086e-08,3.503262746562541e-08
1924,1.5469949654622894e-08,4.512068585427187e-08
1925,2.3096174084358267e-08,4.06932585406139e-08
1926,1.5604593173179637e-08,4.124071395494866e-08
1927,3.34476758512281e-08,2.787306307983073e-08
1928,1.7139061725401916e-08,2.2852082892654835e-08
1929,3.342121956961819e-08,4.233354289340241e-08
1930,2.520864939015155e-08,1.8906487042613662e-08
1931,7.983749661377715e-09,3.193499864551086e-08
1932,2.301502632917618e-08,2.520693342944469e-08
1933,9.176529758292418e-09,2.982372038218273e-08
1934,1.9170528275935794e-08,3.4746584276490466e-08
1935,1.795242710045386e-08,3.8298509252854274e-08
1936,1.2124715009775855e-08,2.7886843056990074e-08
1937,2.2664012888640173e-08,2.7700460591972842e-08
1938,7.779128452511941e-09,2.7226950249925608e-08
1939,1.8352860564618823e-08,3.5176316970364496e-08
1940,2.5357829169792012e-09,1.2678914806940611e-08
1941,3.541802984230458e-08,1.7709016475464523e-08
1942,3.034211770724937e-09,5.158160121254696e-08
1943,2.322588166236983e-08,2.6129116648121453e-08
1944,9.639558484764166e-09,2.2492303131116387e-08
1945,3.0499055725385915e-08,2.6142048525912287e-08
1946,4.1763311919851276e-08,3.201854070766785e-08
1947,2.6225916327504706e-08,2.0265479960812627e-08
1948,1.195907639583993e-08,1.522064252412747e-08
1949,1.5707213085747185e-08,9.817008539414473e-09
1950,2.0207187478860078e-08,1.808011518278363e-08
1951,3.1984203729962246e-08,4.157946520422229e-08
1952,1.4762725264461096e-08,1.5817205989421268e-08
1953,1.508335856215126e-08,2.3702419582605216e-08
1954,1.8567819282111486e-08,2.2476832617357445e-08
1955,2.3464020060259827e-08,3.566531026066855e-08
1956,1.0465370126055973e-08,2.093073958597813e-08
1957,1.8553580005686854e-08,3.092263228809955e-08
1958,4.9633461784992505e-09,2.068060889204304e-08
1959,2.8677767716089875e-08,3.255313996142206e-08
1960,7.61291657491725e-09,2.837541629441276e-08
1961,3.265634918037108e-08,2.987708569435199e-08
1962,1.5220695481765745e-08,3.7417542841922113e-08
1963,2.0691370394843034e-08,2.7804028301936512e-08
1964,1.0342745992986124e-08,3.1636636366183524e-08
1965,2.517140029745235e-08,4.322914171073222e-08
1966,2.1602390987141007e-08,3.489617128593636e-08
1967,2.3665610304757223e-08,2.9088979114355595e-08
1968,2.290622025391542e-08,2.739763657610972e-08
1969,2.089208669953102e-08,2.9067249940339934e-08
1970,2.1614008027803777e-08,3.17312032205308e-08
