year,tout_DET air_NOUN,tout_DET ver_NOUN
1800,8.803660733747165e-08,0.0
1801,1.0239084957675004e-07,0.0
1802,8.056224487518193e-08,2.2378401354217203e-09
1803,4.6808139586573816e-08,1.950339223455444e-09
1804,1.5819846055364906e-07,0.0
1805,1.0802935435094696e-07,0.0
1806,4.610670600868616e-08,0.0
1807,3.4163460504998966e-08,0.0
1808,8.837688625362716e-08,4.5321479902327155e-09
1809,7.680704072754452e-08,2.0331274441787173e-08
1810,1.7316938283329364e-07,2.3401267590372754e-09
1811,2.0056613259100686e-08,0.0
1812,9.601949368942542e-08,0.0
1813,5.176335093892703e-08,0.0
1814,1.6048053197437184e-07,0.0
1815,5.933891955578474e-08,0.0
1816,8.806894591373293e-08,0.0
1817,6.538868291272593e-08,1.556873407970727e-09
1818,9.656153565629211e-08,1.1921177378582115e-09
1819,5.693077387292078e-08,0.0
1820,8.899861114741725e-08,0.0
1821,8.185035138552621e-08,8.875339574387908e-09
1822,5.213320264374488e-08,1.0025615893027862e-09
1823,5.040170203418626e-08,4.941343334508019e-09
1824,6.147412268120434e-08,0.0
1825,1.0126259830656181e-07,8.805443041381977e-10
1826,5.549030035467695e-08,8.807984341885344e-10
1827,7.189472972513045e-08,3.6869091668556564e-09
1828,4.769596717579816e-08,2.7516904310687096e-09
1829,1.243110556714555e-07,8.57317605795771e-10
1830,3.965997530386289e-08,0.0
1831,3.897801348351493e-08,0.0
1832,4.19429042608499e-08,1.3529969367098715e-09
1833,3.243415958031903e-08,1.1583628500844156e-09
1834,2.42697808516823e-08,9.334530925997342e-10
1835,5.7479468296151026e-08,7.563087933704082e-10
1836,3.8980349170714135e-08,0.0
1837,6.192522938874845e-08,0.0
1838,3.913540558286854e-08,0.0
1839,4.6842884238174065e-08,0.0
1840,2.7389661649834807e-08,0.0
1841,3.5955071808757566e-08,0.0
1842,3.6224630406422875e-08,7.379091560011375e-09
1843,6.852016487535195e-08,0.0
1844,4.9945909186277504e-08,0.0
1845,3.0691253649628436e-08,5.580227946389016e-10
1846,3.0443406462410394e-08,0.0
1847,1.9954927488186058e-08,0.0
1848,2.735375348450475e-08,0.0
1849,2.0110596077316245e-08,0.0
1850,2.308258650884909e-08,4.752297222410107e-09
1851,2.5152811833351052e-08,0.0
1852,3.971432893656868e-08,2.6042181744401205e-09
1853,4.001194353620008e-08,0.0
1854,4.1565314301550416e-08,1.0391328908454511e-09
1855,5.890700194299825e-08,1.5920811335945473e-09
1856,4.607698289582629e-08,0.0
1857,6.053071155420753e-08,9.763018171682347e-10
1858,3.6213203102875013e-08,1.4681028059904122e-09
1859,4.8884864156661934e-08,3.055304009791371e-09
1860,3.890606170564581e-08,3.112485025269507e-08
1861,2.405141441563785e-08,2.3108222002576895e-08
1862,2.6656119089807362e-08,4.517986262886353e-10
1863,3.4962344408473456e-08,7.991393269346503e-09
1864,4.7947280257254477e-08,8.6305100843731e-09
1865,3.765475320438583e-08,2.8241067262513297e-09
1866,4.427707916976331e-08,1.1190909809943861e-08
1867,2.426405742994575e-08,5.82337378318698e-09
1868,1.877152078222366e-08,2.9639244392143382e-09
1869,3.7114745499167157e-08,6.348574776993132e-09
1870,2.9243648835830527e-08,1.6055336615750093e-08
1871,1.0621176826930423e-08,0.0
1872,4.354084193192165e-08,1.8142017887967654e-09
1873,3.3521626696675355e-08,6.584604750337064e-09
1874,3.10679680870507e-08,2.3898436007918633e-09
1875,1.4875970122396609e-08,4.577221712764867e-09
1876,4.0508298493335815e-08,3.02300739996042e-09
1877,2.4120783148617875e-08,4.329371083855449e-09
1878,1.811726657585666e-08,2.4156354139215352e-09
1879,4.887460258728993e-08,2.443730107160036e-09
1880,2.5671384795700192e-08,6.417846254436199e-10
1881,2.9284531355422416e-08,3.486253841167297e-09
1882,2.5956001570293097e-08,1.9966155395678697e-09
1883,2.654122283063387e-08,8.215140789857855e-09
1884,3.4328825115892414e-08,3.9610181801208455e-09
1885,4.447488510805897e-08,2.578254332252783e-09
1886,1.4842967244188543e-08,1.936039106809062e-09
1887,2.285123695822122e-08,0.0
