year,tout_DET empire_NOUN,tout_DET vampire_NOUN
1800,1.1004575828366114e-07,0.0
1801,1.1429676249896659e-07,2.3811825844433088e-09
1802,1.1412984690650774e-07,0.0
1803,1.7943120766972243e-07,0.0
1804,7.909923227522597e-08,0.0
1805,1.4782963742021593e-07,0.0
1806,6.916005901302924e-08,0.0
1807,1.594294829487808e-07,0.0
1808,1.3143229216083796e-07,6.798221985349073e-09
1809,1.2650571168393299e-07,0.0
1810,1.1934646515499026e-07,2.3401267590372754e-09
1811,4.7634459932055506e-08,0.0
1812,3.7340915692851695e-08,0.0
1813,8.052076272413444e-08,0.0
1814,3.1466772298927026e-08,9.440031423224582e-09
1815,4.5852800223400436e-08,0.0
1816,1.8309070526356663e-07,0.0
1817,1.2610674782198572e-07,0.0
1818,1.9193095579517205e-07,0.0
1819,1.7493274606650289e-07,2.070210003424222e-09
1820,1.1391822152262421e-07,2.3732962262101864e-09
1821,1.6271455294258885e-07,9.86148829262845e-10
1822,1.082766516447009e-07,1.0025615893027862e-09
1823,6.917880934764753e-08,9.882686891060644e-10
1824,1.507379190357483e-07,1.6842225392110777e-09
1825,1.0038205422446822e-07,0.0
1826,1.4004695125802158e-07,0.0
1827,1.1521591147811705e-07,0.0
1828,1.1740545807770175e-07,9.172301251858528e-10
1829,8.74463982336593e-08,0.0
1830,9.810625911654824e-08,0.0
1831,1.02901957177437e-07,3.1182412207897414e-09
1832,6.629684889958298e-08,1.3529969367098715e-09
1833,9.730247985118012e-08,4.6334514003376626e-09
1834,9.987948135226077e-08,9.334530925997342e-10
1835,9.302598158456021e-08,2.2689263801112247e-09
1836,9.812294832212132e-08,1.3441500135158435e-09
1837,1.0645573356171667e-07,1.3915781860163179e-09
1838,8.837026910235579e-08,6.312161904276081e-10
1839,8.809258766895312e-08,6.9914751765765e-10
1840,1.0255198357178585e-07,0.0
1841,1.2584275310700832e-07,0.0
1842,9.05615813451277e-08,7.379091560011375e-09
1843,1.2877066263294878e-07,0.0
1844,1.355674590364231e-07,0.0
1845,8.035528137328996e-08,1.1160455892778032e-09
