year,auraient_VERB omis_VERB,auraient_VERB vomi_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,7.801356893821776e-09,0.0
1804,9.887403784603066e-09,0.0
1805,5.685755422035754e-09,0.0
1806,1.2103009794373065e-07,1.4408345627714425e-08
1807,9.679647661187119e-08,0.0
1808,4.985362878073829e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,6.552355102940055e-08,0.0
1811,4.262030373070047e-08,0.0
1812,4.267533171287141e-08,0.0
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,8.251429051142622e-08,0.0
1818,3.5763530803478716e-08,0.0
1819,2.173720581311045e-08,0.0
1820,1.779972080839798e-08,0.0
1821,5.9168927535324656e-09,0.0
1822,2.7069162911175226e-08,0.0
1823,2.7671523739059012e-08,0.0
1824,3.8737120178211626e-08,0.0
1825,3.522177394188475e-08,0.0
1826,2.025836387531399e-08,0.0
1827,2.3043183361437514e-08,0.0
1828,2.5682442839070063e-08,0.0
1829,4.372319750700626e-08,1.714635211591542e-09
1830,4.383471008395645e-08,0.0
1831,4.365537620287796e-08,0.0
1832,3.788391467196561e-08,4.058990921151917e-09
1833,4.170106393530659e-08,0.0
1834,5.507373401769655e-08,0.0
1835,2.647080776796429e-08,0.0
1836,2.419469957715137e-08,0.0
1837,2.435261770017405e-08,0.0
1838,3.408567295082321e-08,0.0
1839,4.055055669027752e-08,3.4957374772659477e-09
1840,7.070354257621148e-08,0.0
1841,3.467096121312352e-08,0.0
1842,2.884553929050071e-08,0.0
1843,3.5441466650354414e-08,0.0
1844,4.226192018563779e-08,0.0
1845,3.459741293454499e-08,0.0
1846,5.3861413107370026e-08,5.854501328173001e-09
1847,4.961765753819236e-08,0.0
1848,2.896279838182636e-08,0.0
1849,4.9438547478075634e-08,0.0
1850,2.9192683825840504e-08,0.0
1851,2.7732586005413395e-08,6.449438760824933e-10
1852,4.492276417522589e-08,0.0
1853,3.941475057445132e-08,0.0
1854,5.0397943596180994e-08,0.0
1855,2.2289135870323662e-08,0.0
1856,1.7084724746041502e-08,0.0
1857,3.856392183365642e-08,0.0
1858,1.6149130033227266e-08,0.0
1859,2.7497735644033128e-08,0.0
1860,2.8378540406492903e-08,8.238931314963338e-09
1861,1.6034276129062164e-08,0.0
1862,2.3493528900075944e-08,4.517986262886353e-10
1863,1.9479021062807078e-08,0.0
1864,3.0206784629172034e-08,0.0
1865,1.0825742080555756e-08,4.706844358715045e-10
1866,2.1895258939252926e-08,9.731225825149181e-10
1867,2.9602150064533816e-08,0.0
1868,2.420538258718352e-08,0.0
1869,3.027781758646597e-08,0.0
1870,2.121598008386627e-08,0.0
1871,3.823623728749226e-08,0.0
1872,3.4469834986339265e-08,0.0
1873,1.3169209722718733e-08,5.986004469882289e-10
1874,1.4339061493728877e-08,3.5847653734322193e-09
1875,3.718992758194872e-08,3.432916173551348e-09
