year,voudraient_VERB ôter_VERB,voudraient_VERB voter_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,1.0898113522728181e-08,0.0
1818,0.0,0.0
1819,2.070210003424222e-09,0.0
1820,2.610625848831205e-08,0.0
1821,8.875339574387908e-09,0.0
1822,8.02049271442229e-09,0.0
1823,4.941343334508019e-09,0.0
1824,4.210556348027694e-09,0.0
1825,2.641632912414593e-09,0.0
1826,0.0,0.0
1827,1.1982455028203276e-08,0.0
1828,5.503380862137419e-09,0.0
1829,1.714635211591542e-09,0.0
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,1.5591206103948707e-09
1832,0.0,0.0
1833,4.6334514003376626e-09,0.0
1834,9.334530925997342e-10,0.0
1835,4.5378527602224494e-09,1.5126175867408165e-09
1836,9.409050427677812e-09,1.3441500135158435e-09
1837,1.6698937344017395e-08,1.3915781860163179e-09
1838,3.787297142565649e-09,6.312161904276081e-10
1839,6.292327547896548e-09,0.0
1840,1.0828470564661075e-08,0.0
1841,2.5682194149112547e-09,6.420548537278137e-10
1842,1.341653010911159e-09,0.0
1843,2.3627644285539873e-09,2.953455480181333e-09
1844,5.488561272137815e-10,0.0
1845,2.7901139176833567e-09,1.674068439427856e-09
1846,6.439951683034906e-09,0.0
1847,3.235934187273415e-09,1.6179670936367074e-09
1848,8.045221711050488e-10,7.24069959545659e-09
1849,6.703531951757213e-09,8.379414495607307e-09
1850,1.3577992064028876e-09,6.788996032014438e-09
1851,1.2898877521649865e-09,1.2898877521649865e-09
1852,2.6042181744401205e-09,3.906327261660181e-09
1853,2.388772735173461e-09,1.7915795513800958e-09
1854,5.195664454227256e-10,0.0
1855,1.5920811335945473e-09,3.1841622671890946e-09
1856,0.0,0.0
1857,3.905207268672939e-09,4.881509085841174e-10
1858,4.404308473482388e-09,0.0
1859,6.110608019582742e-09,5.092173349652285e-10
1860,1.8308735638683515e-09,9.154367819341758e-10
1861,5.187560159214399e-09,9.431927461278633e-10
1862,2.2589932147099034e-09,3.162590411776023e-09
1863,4.994620828036034e-10,0.0
1864,2.8768367688059016e-09,4.794727948009836e-10
1865,9.41368871743009e-10,0.0
1866,2.432806400776144e-09,4.865612912574591e-10
1867,9.7056229719783e-10,0.0
1868,0.0,0.0
1869,9.767038733343725e-09,9.278686263769487e-09
1870,1.1468097582678638e-09,0.0
1871,0.0,0.0
1872,2.4189357183956872e-09,3.628403577593531e-09
1873,3.591602570907071e-09,4.788803575905831e-09
1874,0.0,2.9873046258899194e-09
1875,0.0,0.0
1876,4.836811839936672e-09,1.813804439976252e-09
1877,1.8554447978047506e-09,6.184815992682502e-10
1878,0.0,5.435179861734696e-09
1879,6.720257683667796e-09,0.0
1880,0.0,0.0
1881,2.091752326904839e-09,0.0
1882,6.655385131892899e-10,0.0
1883,0.0,0.0
1884,1.3203393933736152e-09,1.3203393933736152e-09
1885,6.445635691854079e-10,1.933690763067375e-09
1886,3.2267319927115068e-09,3.2267319927115068e-09
1887,0.0,0.0
1888,0.0,0.0
1889,5.012109394186837e-09,0.0
1890,1.3108772956016423e-09,1.9663159989136147e-09
1891,1.2748440081367107e-09,6.374220040683554e-10
1892,1.2537024751679837e-09,3.1342561879199593e-09
1893,2.463366621796581e-09,6.158416554491453e-10
1894,0.0,0.0
1895,6.018614495673091e-10,1.8055843487019274e-09
1896,1.179405795248556e-09,3.5382172747233653e-09
1897,1.7480140668268973e-09,1.1653427112179315e-09
1898,1.6975064687230201e-09,3.3950129374460403e-09
1899,1.1055156790007459e-09,0.0
1900,2.07642125715779e-09,0.0
1901,2.794369402536745e-09,2.235495566438317e-09
1902,1.4730852093691738e-09,3.437198747846537e-09
1903,2.7001101354784396e-09,0.0
1904,0.0,0.0
1905,5.160759042333041e-10,5.160759042333041e-10
1906,0.0,5.144184522798412e-10
1907,0.0,5.142843373384665e-10
1908,0.0,0.0
1909,0.0,0.0
1910,5.344150677544235e-10,0.0
1911,5.320374141248863e-10,3.1922244847493175e-09
1912,1.5628263128064646e-09,0.0
1913,1.060597942803554e-09,4.242391771214216e-09
1914,6.696743715117748e-10,0.0
1915,0.0,1.1780761921542648e-09
1916,2.197492410260793e-09,1.0987462051303964e-09
1917,0.0,1.0966424435210342e-09
1918,0.0,0.0
1919,0.0,9.207848372660976e-10
1920,0.0,7.572231730534895e-10
1921,0.0,7.572747429129834e-10
1922,7.377935484775833e-10,0.0
1923,5.307974060286824e-09,0.0
1924,0.0,2.578324886925998e-09
1925,0.0,0.0
1926,1.1146138456652466e-09,0.0
1927,4.4596899506643695e-09,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,3.1510811737689437e-09,0.0
